time,open,close,high,low,volume,Unnamed: 0
1628623080000,2.7569,2.7569,2.7569,2.7569,0.0187694,
1628623620000,2.7615,2.7629,2.7629,2.7615,25.44372838,
1628623680000,2.7702,2.7702,2.7702,2.7702,0.00432388,
1628623740000,2.7745,2.7745,2.7745,2.7745,0.03401151,
1628623980000,2.7636,2.7636,2.7636,2.7636,11.03,
1628624220000,2.765,2.765,2.765,2.765,0.20437208,
1628624340000,2.7658,2.7652,2.7658,2.7652,0.19551926,
1628625360000,2.7707,2.7707,2.7707,2.7707,4.22637477,
1628625480000,2.783,2.783,2.783,2.783,0.00712023,
1628625540000,2.7777,2.7777,2.7777,2.7777,0.00373598,
1628625780000,2.7896,2.7896,2.7896,2.7896,0.19009737,
1628625900000,2.7786,2.7786,2.7786,2.7786,0.00849444,
1628625960000,2.7751,2.7751,2.7751,2.7751,0.15231972,
1628626680000,2.7825,2.7825,2.7825,2.7825,0.04780548,
1628626920000,2.7817,2.7817,2.7817,2.7817,0.02942291,
1628627040000,2.7861,2.7861,2.7861,2.7861,0.28758808,
1628627460000,2.7771,2.7771,2.7771,2.7771,0.02276756,
1628627520000,2.777,2.777,2.777,2.777,0.26603849,
1628628420000,2.7905,2.7905,2.7905,2.7905,4.19581805,
1628628480000,2.7897,2.7897,2.7897,2.7897,0.36869559,
1628628720000,2.7915,2.7915,2.7915,2.7915,0.0594269,
1628628840000,2.7846,2.7839,2.7846,2.7839,0.06272575,
1628629500000,2.7919,2.7933,2.7933,2.7919,25.16936693,
1628629620000,2.7937,2.7936,2.7937,2.7936,0.4040051,
1628630760000,2.8051,2.8051,2.8051,2.8051,4.17433144,
1628630880000,2.7955,2.7955,2.7955,2.7955,8.37309184,
1628631120000,2.7963,2.8027,2.8027,2.7963,20.8636293,
1628631180000,2.7984,2.8012,2.8012,2.7984,0.1742978,
1628631300000,2.8042,2.8042,2.8042,2.8042,0.21388662,
1628634240000,2.7899,2.7899,2.7899,2.7899,4.19889277,
1628634300000,2.7903,2.7903,2.7903,2.7903,0.06063137,
1628634420000,2.7903,2.7903,2.7903,2.7903,0.0141503,
1628634540000,2.7884,2.7884,2.7884,2.7884,0.11130574,
1628636100000,2.7788,2.7788,2.7788,2.7788,4.21205018,
1628636460000,2.774,2.7724,2.774,2.7724,0.20742188,
1628637720000,2.7775,2.7775,2.7775,2.7775,4.2145957,
1628637780000,2.7804,2.7804,2.7804,2.7804,0.1952032,
1628637900000,2.7754,2.7754,2.7754,2.7754,0.02481619,
1628638440000,2.7841,2.7841,2.7841,2.7841,4.209184,
1628638500000,2.7848,2.7848,2.7848,2.7848,0.25705195,
1628640300000,2.787,2.787,2.787,2.787,0.09690189,
1628640420000,2.7942,2.7942,2.7942,2.7942,0.25628806,
1628640540000,2.792,2.792,2.792,2.792,0.03258191,
1628641440000,2.789,2.789,2.789,2.789,0.02595804,
1628641620000,2.7936,2.7936,2.7936,2.7936,4.1875135,
1628641680000,2.7963,2.7963,2.7963,2.7963,0.03202127,
1628641740000,2.8016,2.8016,2.8016,2.8016,8.35089844,
1628641920000,2.8003,2.8003,2.8003,2.8003,0.0472949,
1628641980000,2.8086,2.8086,2.8086,2.8086,0.12463275,
1628642160000,2.7943,2.7943,2.7943,2.7943,0.05858358,
1628642340000,2.7883,2.7928,2.7928,2.7883,0.07507982,
1628643240000,2.8151,2.8151,2.8151,2.8151,4.16105811,
1628643360000,2.8127,2.8125,2.8127,2.8125,0.81954225,
1628644020000,2.8134,2.8165,2.8165,2.8134,4.17122269,
1628644140000,2.816,2.8159,2.816,2.8159,0.12744156,
1628644560000,2.8263,2.8263,2.8263,2.8263,0.27639682,
1628644680000,2.8313,2.8313,2.8313,2.8313,0.06978764,
1628644800000,2.8339,2.8339,2.8339,2.8339,0.17954636,
1628644920000,2.8353,2.8353,2.8353,2.8353,0.04753048,
1628645040000,2.8394,2.8394,2.8394,2.8394,0.22608489,
1628645160000,2.8416,2.8416,2.8416,2.8416,0.01228266,
1628645520000,2.8409,2.8409,2.8409,2.8409,0.00956875,
1628645580000,2.8417,2.8417,2.8417,2.8417,0.07633726,
1628646720000,2.8279,2.8288,2.8288,2.8279,0.17433881,
1628646960000,2.8289,2.8289,2.8289,2.8289,0.016969,
1628647020000,2.8283,2.8283,2.8283,2.8283,0.1353747,
1628648280000,2.8424,2.8432,2.8432,2.8424,0.43016744,
