time,open,close,high,low,volume
1685776380000,0.3777,0.3777,0.3777,0.3777,2.80618902
1685779860000,0.37696,0.37696,0.37696,0.37696,2.34404523
1685780220000,0.37745,0.37745,0.37745,0.37745,3.23372828
1685781720000,0.37638,0.37638,0.37638,0.37638,2.74934275
1685783100000,0.37596,0.37596,0.37596,0.37596,2.59861209
1685783460000,0.37643,0.37643,0.37643,0.37643,2.49535281
1685784780000,0.37701,0.37701,0.37701,0.37701,116.08839074
1685785620000,0.37668,0.37668,0.37668,0.37668,3.07513923
1685787000000,0.37619,0.37619,0.37619,0.37619,3.36099112
1685787360000,0.37592,0.37592,0.37592,0.37592,3.99986533
1685788200000,0.37671,0.37671,0.37671,0.37671,115.93232301
1685789700000,0.37717,0.37717,0.37717,0.37717,3.27439
1685790060000,0.37721,0.37721,0.37721,0.37721,3.47831165
1685791080000,0.37684,0.37684,0.37684,0.37684,2.27373367
1685791500000,0.37702,0.37702,0.37702,0.37702,3.86532689
1685793180000,0.37641,0.37641,0.37641,0.37641,2.67005496
1685794320000,0.37534,0.37534,0.37534,0.37534,2.79309827
1685794800000,0.37643,0.37643,0.37643,0.37643,660.97074467
1685795820000,0.3758,0.3758,0.3758,0.3758,3.66531997
1685796240000,0.37681,0.37681,0.37681,0.37681,2.84089211
1685797320000,0.37661,0.37661,0.37661,0.37661,663.96373575
1685797680000,0.376,0.376,0.376,0.376,665.34505126
1685797980000,0.37632,0.37632,0.37632,0.37632,664.25880259
1685798820000,0.37615,0.37615,0.37615,0.37615,340.0
1685799000000,0.37629,0.37629,0.37629,0.37629,661.56914893
1685800200000,0.3755,0.3755,0.3755,0.3755,3.91503882
1685801460000,0.37594,0.37594,0.37594,0.37594,116.07262795
1685801700000,0.37628,0.37628,0.37628,0.37628,652.85904255
1685802120000,0.37727,0.37727,0.37727,0.37727,170.0
1685803440000,0.37628,0.37628,0.37628,0.37628,3.98960429
1685804880000,0.37539,0.37539,0.37539,0.37539,2.74505947
1685806440000,0.37526,0.37526,0.37526,0.37526,661.68066194
1685807820000,0.37626,0.37626,0.37626,0.37626,2.3551699
1685808420000,0.37614,0.37587,0.37614,0.37587,184.56416344
1685809320000,0.3759,0.3759,0.3759,0.3759,46.4752608
1685810340000,0.37643,0.37643,0.37643,0.37643,2.02365484
1685811360000,0.37729,0.37643,0.37729,0.37643,837.1988657899999
1685812380000,0.37536,0.37536,0.37536,0.37536,2.69004907
1685813640000,0.37448,0.37448,0.37448,0.37448,2.89887268
1685813880000,0.37315,0.37315,0.37315,0.37315,23.30157768
1685813940000,0.37377,0.37377,0.37377,0.37377,2.32419908
1685814480000,0.37318,0.37318,0.37318,0.37318,23.40344637
1685814780000,0.37292,0.37292,0.37292,0.37292,22.94679662
1685815680000,0.37185,0.37185,0.37185,0.37185,23.15576054
1685816220000,0.37173,0.37184,0.37184,0.37173,69.40056683
1685816460000,0.37192,0.37248,0.37248,0.37192,415.10903869
1685817000000,0.37296,0.37334,0.37334,0.37296,382.87735433
1685817060000,0.37339,0.37311,0.37339,0.37311,188.24825784
1685817900000,0.37248,0.37248,0.37248,0.37248,3.48244354
1685818140000,0.3726,0.3726,0.3726,0.3726,206.58829
1685818980000,0.37211,0.37211,0.37211,0.37211,23.48514036
1685820000000,0.37123,0.37123,0.37123,0.37123,662.87061993
1685820060000,0.37124,0.37124,0.37124,0.37124,670.55256063
1685820960000,0.37031,0.37033,0.37033,0.37031,971.62183138
1685821860000,0.37094,0.37094,0.37094,0.37094,673.6882252
1685821920000,0.37057,0.37083,0.37083,0.37057,269.62433127
1685821980000,0.37053,0.37052,0.37053,0.37052,574.19779508
1685822040000,0.37093,0.37093,0.37093,0.37093,93.96697245
1685822100000,0.37136,0.37136,0.37136,0.37136,673.11875919
1685822160000,0.37136,0.37136,0.37136,0.37136,1.67908446
1685822220000,0.37136,0.37136,0.37136,0.37136,0.32091554
1685822760000,0.37024,0.37034,0.37034,0.37024,674.97439717
1685823120000,0.36967,0.36967,0.36967,0.36967,54.55511131
1685823480000,0.37006,0.3705,0.3705,0.37006,546.6927684899999
1685824500000,0.36959,0.36959,0.36959,0.36959,2.23677906
1685826060000,0.37013,0.37013,0.37013,0.37013,2.60560189
1685826420000,0.36948,0.36948,0.36948,0.36948,3.83853446
1685826660000,0.36948,0.36948,0.36948,0.36948,234.75243365
1685826720000,0.36901,0.36901,0.36901,0.36901,506.12310105000006
1685826780000,0.36901,0.36899,0.36901,0.36899,144.76750101
1685827080000,0.36959,0.3697,0.3697,0.36959,70.4114867
1685827320000,0.36967,0.36984,0.36984,0.36967,164.35956865
1685827500000,0.3698,0.3698,0.3698,0.3698,68.85135134
1685827560000,0.36978,0.36978,0.36978,0.36978,67.14864864
1685827740000,0.37005,0.37005,0.37005,0.37005,47.21973066
1685828340000,0.36968,0.36968,0.36968,0.36968,47.34774859
1685829600000,0.37023,0.36957,0.37023,0.36957,1123.15325877
1685829660000,0.36955,0.36954,0.36955,0.36954,644.96707376
1685829900000,0.36972,0.36972,0.36972,0.36972,161.77235772
1685830080000,0.36964,0.36981,0.36981,0.36964,165.44413
1685830920000,0.37056,0.37056,0.37056,0.37056,47.22500549
1685832000000,0.37061,0.37078,0.37078,0.37061,165.28552107000002
1685832360000,0.37084,0.37084,0.37084,0.37084,47.15798449
1685832600000,0.37086,0.37085,0.37086,0.37085,1180.21010869
1685832660000,0.37097,0.37098,0.37098,0.37097,538.52579208
1685832720000,0.37098,0.37099,0.37099,0.37098,283.60040051
1685833620000,0.37031,0.37031,0.37031,0.37031,3.23903319
1685834760000,0.37078,0.37078,0.37078,0.37078,161.46409932
1685835900000,0.37141,0.37141,0.37141,0.37141,2.7153413
1685838420000,0.3707,0.3707,0.3707,0.3707,3.59233959
1685839200000,0.37014,0.36985,0.37014,0.36985,187.71369196
1685840520000,0.36922,0.36922,0.36922,0.36922,3.36872104
1685840880000,0.36821,0.36821,0.36821,0.36821,3.92257581
1685841060000,0.36982,0.37014,0.37014,0.36982,731.48167192
1685842140000,0.37064,0.37064,0.37064,0.37064,3.06565885
1685842200000,0.3715,0.3715,0.3715,0.3715,263.09141934
1685843340000,0.37041,0.37041,0.37041,0.37041,2.68525686
1685843580000,0.37085,0.37162,0.37162,0.37085,1769.21103734
1685843760000,0.37143,0.37439,0.37439,0.37143,2208.13517603
1685843820000,0.37312,0.37328,0.37366,0.37312,727.58679811
1685844420000,0.37411,0.37394,0.37411,0.37394,160.88043958
1685845380000,0.37423,0.37423,0.37423,0.37423,3.06733981
1685845440000,0.37408,0.37374,0.37408,0.37374,350.96110608
1685846280000,0.37328,0.37328,0.37328,0.37328,3.92806182
1685847120000,0.37379,0.37397,0.37397,0.37379,163.52211559
1685847900000,0.37424,0.37424,0.37424,0.37424,2.34515628
1685848320000,0.3746,0.3746,0.3746,0.3746,3.37437485
1685851260000,0.37425,0.37425,0.37425,0.37425,373.72821241
1685853480000,0.37411,0.37394,0.37411,0.37394,163.48083764
1685854440000,0.37342,0.37342,0.37342,0.37342,2.38154842
1685855880000,0.3733,0.3733,0.3733,0.3733,260.0
1685856000000,0.37286,0.37315,0.37315,0.37286,186.38002742
1685858820000,0.37365,0.37365,0.37365,0.37365,2.78488692
1685859180000,0.37314,0.37314,0.37314,0.37314,619.94238
1685859240000,0.37289,0.37277,0.37289,0.37277,70.18434861
1685860140000,0.37195,0.37195,0.37195,0.37195,2.49573711
1685860200000,0.37168,0.37168,0.37168,0.37168,672.35251596
1685860320000,0.37164,0.37163,0.37164,0.37163,545.3724481300001
1685860380000,0.37176,0.37174,0.37176,0.37174,211.5663111
1685860500000,0.37234,0.37234,0.37234,0.37234,104.21028822
1685861220000,0.37386,0.37385,0.37386,0.37385,437.09937286
1685862360000,0.37343,0.37343,0.37343,0.37343,3.46373449
1685864700000,0.37319,0.37319,0.37319,0.37319,46.77867027
1685869560000,0.37379,0.37396,0.37396,0.37379,163.93245919999998
1685870160000,0.37455,0.37455,0.37455,0.37455,206.58829
1685870220000,0.37468,0.37468,0.37468,0.37468,46.74753264
1685872740000,0.37528,0.37528,0.37528,0.37528,660.39999999
1685872980000,0.37531,0.37487,0.37531,0.37487,431.86492009
1685874480000,0.37453,0.37453,0.37453,0.37453,2.41110938
1685876640000,0.37433,0.37433,0.37433,0.37433,659.09090908
1685876760000,0.37434,0.37434,0.37434,0.37434,667.57922062
1685876940000,0.37431,0.37431,0.37431,0.37431,89.21905256
1685877480000,0.37398,0.37381,0.37398,0.37381,163.58850357
1685879580000,0.37335,0.37335,0.37335,0.37335,2.19055802
1685880060000,0.3733,0.3733,0.3733,0.3733,3.98652604
1685881920000,0.37251,0.37251,0.37251,0.37251,3.28666569
1685882280000,0.37353,0.37353,0.37353,0.37353,3.33385037
1685886600000,0.37261,0.37261,0.37261,0.37261,3.33931007
1685887260000,0.37272,0.37272,0.37272,0.37272,46.84106613
1685889060000,0.37206,0.37169,0.37206,0.37169,327.75725543
1685890140000,0.37247,0.37247,0.37247,0.37247,3.48044141
1685891580000,0.37154,0.37154,0.37154,0.37154,3.36388385
1685893140000,0.37245,0.37245,0.37245,0.37245,3.35870187
1685894700000,0.37164,0.37164,0.37164,0.37164,2.48061035
1685895060000,0.37119,0.37119,0.37119,0.37119,2.73406712
1685895600000,0.37105,0.37095,0.37105,0.37079,262.06278671
1685895660000,0.37076,0.37076,0.37076,0.37076,85.53982406
1685895840000,0.37083,0.37094,0.37094,0.37083,70.46714022
1685896140000,0.37071,0.37071,0.37071,0.37071,23.38228015
1685896800000,0.37079,0.3709,0.3709,0.37079,70.10705752
1685897400000,0.3715,0.37149,0.3715,0.37149,672.88221997
1685897460000,0.37158,0.3715,0.37158,0.3715,306.84610146
1685897580000,0.3715,0.3715,0.3715,0.3715,260.0
1685897640000,0.37146,0.3716,0.3716,0.37146,209.90089027
1685898060000,0.37164,0.37165,0.37165,0.37164,299.11148614
1685898120000,0.3718,0.3718,0.3718,0.3718,120.65963479
1685898840000,0.3717,0.3717,0.3717,0.3717,104.96979906
1685898900000,0.37158,0.37158,0.37158,0.37158,94.54854233
1685901660000,0.37218,0.37218,0.37218,0.37218,671.3691673
1685901840000,0.37238,0.37238,0.37238,0.37238,170.0
1685902440000,0.37256,0.37256,0.37256,0.37256,23.49510687
1685902740000,0.37277,0.37279,0.37279,0.37277,70.29739363
1685902980000,0.37294,0.37294,0.37294,0.37294,46.96946201
1685904060000,0.37266,0.37266,0.37266,0.37266,23.42357572
1685906520000,0.37257,0.37268,0.37268,0.37257,70.27025377000001
1685907480000,0.37326,0.37326,0.37326,0.37326,2.70133442
1685908440000,0.37389,0.37401,0.37401,0.37389,70.15909873
1685908620000,0.37414,0.37414,0.37414,0.37414,117.41584722
1685909640000,0.37378,0.37378,0.37378,0.37378,2.14399217
1685909760000,0.3738,0.3738,0.3738,0.3738,260.0
1685909820000,0.37426,0.37426,0.37426,0.37426,667.69022374
1685910000000,0.37466,0.37466,0.37466,0.37466,3.01547768
1685911140000,0.37548,0.37548,0.37548,0.37548,2.23247003
1685911440000,0.37625,0.37596,0.37625,0.37596,185.13674687
1685912100000,0.37612,0.37572,0.37612,0.37572,486.06054961
1685912700000,0.37518,0.37518,0.37518,0.37518,4.12911021
1685913540000,0.37614,0.37614,0.37614,0.37614,46.17796626
1685914260000,0.37441,0.37441,0.37441,0.37441,217.13228759
1685914320000,0.3741,0.37369,0.3741,0.37369,441.17302118
1685914680000,0.37377,0.37388,0.37388,0.37377,69.67354758
1685915700000,0.37436,0.37436,0.37436,0.37436,2.71714297
1685916360000,0.37561,0.3758,0.3758,0.37561,170.0
1685916540000,0.37588,0.37609,0.37609,0.37588,170.0
1685916900000,0.37592,0.37592,0.37592,0.37592,117.06074636
1685917020000,0.37665,0.37677,0.37677,0.37665,69.71093237
1685917740000,0.37477,0.37457,0.37477,0.37457,301.97589456000003
1685918760000,0.37553,0.37553,0.37553,0.37553,3.77397153
1685919120000,0.37517,0.37517,0.37517,0.37517,2.95158394
1685919780000,0.37608,0.37678,0.37678,0.37608,817.93446564
1685920980000,0.37549,0.37549,0.37549,0.37549,3.77740304
1685921340000,0.37415,0.37415,0.37415,0.37415,2.45134343
1685922120000,0.37318,0.37301,0.37318,0.37301,161.95852858
1685922420000,0.37155,0.37155,0.37155,0.37155,47.05247189
1685922660000,0.37225,0.37189,0.37225,0.37189,301.64129299
1685923260000,0.37156,0.37105,0.37156,0.37105,352.44265079
1685924160000,0.37124,0.37124,0.37124,0.37124,2.37510044
1685925660000,0.37105,0.37114,0.37114,0.37105,1170.83635057
1685925960000,0.36855,0.36855,0.36855,0.36855,677.87814019
1685926080000,0.36769,0.36752,0.3678,0.36752,329.84288528
1685926140000,0.36749,0.36749,0.36749,0.36749,419.86726153
1685926260000,0.3675,0.36744,0.3675,0.36744,644.5782515
1685926980000,0.36867,0.36878,0.36878,0.36867,70.11861317
1685927100000,0.36938,0.36938,0.36938,0.36938,6.93332994
1685927580000,0.3676,0.36755,0.3676,0.36755,448.61480619
1685927640000,0.36774,0.36774,0.36774,0.36774,23.55801451
1685927700000,0.36766,0.36766,0.36766,0.36766,679.74865456
1685928360000,0.36858,0.36858,0.36858,0.36858,23.37540389
1685929800000,0.36952,0.36952,0.36952,0.36952,2.81107392
1685930220000,0.36916,0.36916,0.36916,0.36916,3.82808907
1685930700000,0.36953,0.36953,0.36953,0.36953,260.0
1685930760000,0.3695,0.3695,0.3695,0.3695,416.94023604
1685931720000,0.36852,0.36852,0.36852,0.36852,3.93888778
1685931840000,0.36866,0.36866,0.36866,0.36866,23.67876493
1685932980000,0.36753,0.36753,0.36753,0.36753,2.50476399
1685933100000,0.3668,0.36679,0.3668,0.36679,199.28352185
1685933460000,0.36433,0.36433,0.36433,0.36433,3.6310603
1685934000000,0.36188,0.3614,0.36188,0.3614,1574.56042364
1685934060000,0.35959,0.35891,0.35959,0.35891,1085.569132
1685934180000,0.35984,0.35984,0.35984,0.35984,22.6873049
1685934300000,0.36054,0.36054,0.36054,0.36054,9.37842214
1685934480000,0.36081,0.36081,0.36081,0.36081,641.59007
1685934780000,0.36049,0.36048,0.36049,0.36048,300.08147547
1685935020000,0.36058,0.36058,0.36058,0.36058,349.85066125000003
1685935380000,0.3617,0.3617,0.3617,0.3617,158.14105067
1685937000000,0.36135,0.36135,0.36135,0.36135,2.03255858
1685937060000,0.36096,0.36057,0.36096,0.36057,362.25656165
1685938020000,0.36145,0.36145,0.36145,0.36145,2.67685793
1685938920000,0.36186,0.36186,0.36186,0.36186,100.48115729
1685939700000,0.3618,0.3618,0.3618,0.3618,99.13520901
1685940780000,0.36136,0.36136,0.36136,0.36136,3.30038518
1685941860000,0.36039,0.36039,0.36039,0.36039,3.99230464
1685941980000,0.35982,0.35973,0.35982,0.35973,232.49236239
1685942100000,0.36001,0.36001,0.36001,0.36001,120.06762014
1685942220000,0.36134,0.36134,0.36134,0.36134,3.12124073
1685943300000,0.36109,0.36109,0.36109,0.36109,24.19908203
1685943720000,0.36113,0.36113,0.36113,0.36113,24.10656449
1685944380000,0.36212,0.36161,0.36212,0.36161,544.9741557699999
1685945940000,0.36092,0.36136,0.36136,0.36092,511.17072249
1685946000000,0.36138,0.36138,0.36138,0.36138,120.75970268
1685947020000,0.36052,0.36052,0.36052,0.36052,2.93389738
1685949180000,0.36148,0.36148,0.36148,0.36148,3.57123881
1685949960000,0.36212,0.36242,0.36242,0.36212,314.35174324
1685950260000,0.36305,0.36305,0.36305,0.36305,637.17201
1685951220000,0.36192,0.36192,0.36192,0.36192,2.89701116
1685951640000,0.36203,0.36203,0.36203,0.36203,2.27368682
1685951880000,0.36219,0.36219,0.36219,0.36219,58.4502622
