time,open,close,high,low,volume
1685775960000,63.79,63.79,63.79,63.79,0.02129017
1685776800000,63.864,63.864,63.864,63.864,0.03602917
1685777100000,63.821,63.821,63.821,63.821,0.03383135
1685777700000,63.864,63.864,63.864,63.864,0.15084983
1685778480000,64.084,64.084,64.084,64.084,0.02213522
1685780220000,63.951,63.951,63.951,63.951,0.02133073
1685785980000,64.084,64.084,64.084,64.084,0.02050113
1685787000000,63.937,63.937,63.937,63.937,0.03065374
1685787840000,64.08,64.08,64.08,64.08,0.03431877
1685788860000,64.234,64.234,64.234,64.234,0.02128956
1685791800000,64.248,64.248,64.248,64.248,0.02262496
1685792700000,64.138,64.138,64.138,64.138,0.03330482
1685795880000,64.101,64.101,64.101,64.101,0.03280146
1685797740000,63.991,63.991,63.991,63.991,0.02633031
1685799540000,64.033,64.033,64.033,64.033,0.02778671
1685804040000,63.934,63.934,63.934,63.934,0.02897276
1685804160000,63.937,63.937,63.937,63.937,0.03896039
1685805120000,63.809,63.809,63.809,63.809,0.03279962
1685806440000,63.838,63.838,63.838,63.838,0.02646839
1685807820000,63.96,63.96,63.96,63.96,0.03161288
1685808600000,63.874,63.874,63.874,63.874,0.02415845
1685809860000,63.921,63.921,63.921,63.921,0.03135252
1685811120000,63.828,63.828,63.828,63.828,0.03762577
1685812380000,63.582,63.582,63.582,63.582,0.03460504
1685812860000,63.601,63.601,63.601,63.601,0.03802174
1685813400000,63.481,63.481,63.481,63.481,0.02159101
1685814420000,63.28,63.28,63.28,63.28,0.02121737
1685815980000,63.144,63.144,63.144,63.144,0.02788982
1685817060000,63.322,63.322,63.322,63.322,0.02406203
1685817540000,63.451,63.451,63.451,63.451,0.0275879
1685818380000,63.291,63.291,63.291,63.291,0.02887213
1685820060000,63.214,63.214,63.214,63.214,0.02831868
1685820420000,63.148,63.148,63.148,63.148,0.02669618
1685821860000,62.946,62.944,62.946,62.944,16.231
1685822880000,63.12,63.12,63.12,63.12,0.03929903
1685824020000,63.171,63.171,63.171,63.171,0.03580043
1685824800000,63.302,63.302,63.302,63.302,0.02193724
1685825220000,63.213,63.213,63.213,63.213,0.02485581
1685826060000,63.264,63.264,63.264,63.264,0.02146367
1685832360000,63.379,63.379,63.379,63.379,0.03414136
1685833620000,63.532,63.532,63.532,63.532,0.03218554
1685837580000,63.63,63.63,63.63,63.63,0.02775406
1685841360000,63.898,63.898,63.898,63.898,0.02028091
1685843340000,63.803,63.803,63.803,63.803,0.03240157
1685847120000,63.905,63.905,63.905,63.905,0.03791981
1685847480000,64.015,64.015,64.015,64.015,0.03182891
1685850060000,64.059,64.059,64.059,64.059,0.03071568
1685851740000,63.998,63.998,63.998,63.998,0.02558517
1685852100000,63.957,63.957,63.957,63.957,0.03203943
1685853240000,64.136,64.136,64.136,64.136,0.0237251
1685854140000,63.984,63.984,63.984,63.984,0.02727437
1685856180000,63.878,63.878,63.878,63.878,0.02956355
1685856420000,63.944,63.944,63.944,63.944,0.02127201
1685859180000,64.08,64.08,64.08,64.08,0.02966694
1685860140000,64.036,64.036,64.036,64.036,0.03940927
1685861280000,64.252,64.252,64.252,64.252,0.0357488
1685862420000,64.432,64.432,64.432,64.432,0.03475858
1685863500000,64.624,64.624,64.624,64.624,0.03538072
1685864100000,64.589,64.589,64.589,64.589,3.341
1685865180000,64.516,64.516,64.516,64.516,0.03983715
1685865540000,64.466,64.466,64.466,64.466,0.02692266
1685866380000,64.34,64.34,64.34,64.34,0.03739859
1685867160000,64.452,64.452,64.452,64.452,0.03443502
1685868240000,64.344,64.344,64.344,64.344,0.03239428
1685868780000,64.283,64.283,64.283,64.283,16.22506765
1685869680000,64.453,64.453,64.453,64.453,0.02488887
1685869740000,64.531,64.531,64.531,64.531,0.03509882
1685871360000,64.425,64.425,64.425,64.425,0.0344551
1685871720000,64.581,64.581,64.581,64.581,0.02543382
1685872500000,64.429,64.429,64.429,64.429,0.02382721
1685873700000,64.535,64.535,64.535,64.535,0.02004958
1685874900000,64.571,64.571,64.571,64.571,0.03162493
1685876580000,64.53,64.53,64.53,64.53,0.03062768
1685877120000,64.533,64.533,64.533,64.533,0.0831
1685878560000,64.381,64.381,64.381,64.381,0.02400449
1685882280000,64.423,64.423,64.423,64.423,0.02353264
