time,open,close,high,low,volume
1685776500000,63.784,63.784,63.784,63.784,0.70387324
1685777760000,63.944,63.944,63.944,63.944,0.02559779
1685778540000,64.07,64.07,64.07,64.07,8.15119031
1685780100000,63.914,63.914,63.914,63.914,0.0936167
1685780940000,64.014,64.014,64.014,64.014,0.58305416
1685782260000,63.98,63.98,63.98,63.98,0.03950595
1685785980000,64.047,64.047,64.047,64.047,0.03789534
1685786040000,64.067,64.046,64.067,64.046,23.34803
1685786100000,64.043,64.043,64.043,64.042,15.56809001
1685786400000,64.137,64.043,64.137,64.043,0.2637897
1685788200000,64.167,64.167,64.167,64.167,0.02402044
1685788920000,64.282,64.282,64.282,64.282,0.41994401
1685790720000,64.142,64.142,64.142,64.142,0.03758692
1685791140000,64.188,64.188,64.188,64.188,0.02237308
1685792220000,64.298,64.298,64.298,64.298,0.03472028
1685792700000,64.101,64.101,64.101,64.101,0.02605877
1685794680000,64.094,64.094,64.094,64.094,1.21604725
1685797740000,63.96,63.96,63.96,63.96,0.03226212
1685799600000,63.992,63.992,63.992,63.992,0.03815587
1685799780000,64.034,64.033,64.034,64.033,9.805
1685801040000,63.955,63.955,63.955,63.955,0.02091171
1685801400000,64.029,64.029,64.029,64.029,0.02056061
1685802720000,63.947,63.946,63.947,63.946,3.40404703
1685802900000,63.93,63.93,63.93,63.93,2.0
1685804400000,63.876,63.876,63.876,63.876,0.03904486
1685805480000,63.697,63.697,63.697,63.697,0.03778947
1685805900000,63.761,63.761,63.761,63.761,0.02146144
1685806920000,63.818,63.818,63.818,63.818,0.02172042
1685808000000,63.912,63.912,63.912,63.912,0.0232951
1685808420000,63.987,63.987,63.987,63.987,0.02168931
1685809500000,63.856,63.856,63.856,63.856,0.03403206
1685810340000,63.968,63.968,63.968,63.968,0.02348507
1685811120000,63.861,63.861,63.861,63.861,0.03574106
1685811900000,63.77,63.77,63.77,63.77,0.0366639
1685812380000,63.537,63.537,63.537,63.537,0.02228465
1685812980000,63.506,63.506,63.506,63.506,2.0
1685813160000,63.49,63.49,63.49,63.49,1.7948
1685813940000,63.296,63.296,63.296,63.296,0.03567252
1685814120000,63.335,63.335,63.335,63.335,15.5555
1685815200000,63.309,63.309,63.309,63.309,0.03167409
1685816340000,63.184,63.184,63.184,63.184,0.02578296
1685817540000,63.337,63.337,63.337,63.337,0.03905282
1685817900000,63.382,63.382,63.382,63.382,0.03547931
1685818800000,63.282,63.282,63.282,63.282,0.03963707
1685819160000,63.211,63.211,63.211,63.211,0.03713331
1685821200000,63.16,63.16,63.16,63.16,0.02865343
1685821680000,63.095,63.095,63.095,63.095,0.02327727
1685821860000,62.92,62.911,62.92,62.911,16.36865179
1685822880000,63.027,63.027,63.027,63.027,0.02397734
1685823000000,63.117,63.117,63.117,63.117,0.09148092
1685824800000,63.277,63.277,63.277,63.277,0.0281101
1685825220000,63.195,63.195,63.195,63.195,0.0393261
1685826060000,63.299,63.299,63.299,63.299,0.02197993
1685826720000,63.253,63.253,63.253,63.253,3.65714
1685829180000,63.225,63.225,63.225,63.225,0.03086946
1685829360000,63.219,63.219,63.219,63.219,1.08876298
1685829600000,63.287,63.287,63.287,63.287,1.67489448
1685831100000,63.325,63.325,63.325,63.325,0.08451067
1685832780000,63.471,63.471,63.471,63.471,0.03269072
1685833440000,63.443,63.443,63.443,63.443,0.08642
1685835900000,63.578,63.578,63.578,63.578,0.02218203
1685840040000,63.627,63.627,63.627,63.627,2.34233582
1685840880000,63.593,63.593,63.593,63.593,0.03818117
1685841780000,63.903,63.903,63.903,63.903,0.03437727
1685843340000,63.775,63.775,63.775,63.775,0.02545118
1685843760000,63.712,63.712,63.712,63.712,0.02842066
1685845020000,63.773,63.773,63.773,63.773,0.03194083
1685847120000,63.955,63.955,63.955,63.955,0.03551478
1685847480000,63.916,63.916,63.916,63.916,0.02514117
1685848320000,64.08,64.08,64.08,64.08,0.03125501
