time,open,close,high,low,volume
1685775960000,63.766,63.766,63.766,63.766,0.04996077
1685776500000,63.808,63.808,63.808,63.808,0.7735
1685777700000,63.911,63.924,63.924,63.911,4.7299069
1685778060000,64.044,64.044,64.044,64.044,0.6494
1685779920000,64.038,64.038,64.038,64.038,4.07789651
1685780700000,63.968,63.968,63.968,63.968,0.04994748
1685780760000,64.038,64.038,64.038,64.038,0.02050346
1685781600000,63.967,63.967,63.967,63.967,0.0693558
1685781660000,64.019,64.019,64.019,64.019,0.07595253
1685782440000,63.987,63.987,63.987,63.987,0.5852
1685785920000,64.044,64.044,64.044,64.044,0.07551618
1685785980000,64.139,64.139,64.139,64.139,0.02088343
1685786880000,63.962,63.962,63.962,63.962,0.07047416
1685787000000,63.943,63.943,63.943,63.943,2.45894207
1685787180000,63.951,63.951,63.951,63.951,0.575
1685787300000,63.999,63.999,63.999,63.999,0.5745
1685788080000,64.161,64.161,64.161,64.161,0.04216929
1685788920000,64.234,64.234,64.234,64.234,0.05056949
1685789700000,64.291,64.291,64.291,64.291,0.57166526
1685790540000,64.223,64.216,64.223,64.216,0.55826224
1685791320000,64.193,64.193,64.193,64.193,0.57267741
1685791620000,64.272,64.272,64.272,64.272,0.57195727
1685791860000,64.299,64.299,64.299,64.299,0.5717
1685792640000,64.133,64.133,64.133,64.133,0.02125291
1685792700000,64.193,64.193,64.193,64.193,0.03468406
1685793480000,64.068,64.068,64.068,64.068,0.03890728
1685793900000,64.111,64.111,64.111,64.111,0.5735
1685794680000,64.041,64.041,64.041,64.041,0.0313126
1685797620000,63.983,63.983,63.983,63.983,0.02032883
1685797680000,63.961,63.961,63.961,63.961,0.5119
1685798400000,63.946,63.946,63.946,63.946,0.5749
1685799480000,64.067,64.067,64.067,64.067,0.06208093
1685800080000,63.959,63.949,63.959,63.949,1.02424925
1685800260000,64.009,64.009,64.009,64.009,0.5744
1685802960000,63.947,64.004,64.004,63.947,0.07725248
1685803980000,63.937,63.937,63.937,63.937,0.05767693
1685804040000,64.007,64.007,64.007,64.007,0.07419277
1685804100000,63.926,63.926,63.926,63.926,0.09173159
1685804400000,63.907,63.907,63.907,63.907,0.5754
1685805060000,63.817,63.817,63.817,63.817,2.67283462
1685805480000,63.734,63.734,63.734,63.734,4.09307263
1685805660000,63.718,63.712,63.718,63.712,1.15422891
1685805900000,63.816,63.816,63.816,63.816,0.5762
1685807640000,63.926,63.926,63.926,63.926,0.5752
1685808540000,63.861,63.861,63.861,63.861,0.07740883
1685808600000,63.95,63.95,63.95,63.95,0.04455533
1685809260000,63.924,63.924,63.924,63.924,0.5753
