time,open,close,high,low,volume
1682761500000,72.023,72.023,72.023,72.023,0.4535
1682762280000,72.126,72.126,72.126,72.126,0.02596945
1682763600000,72.065,72.011,72.065,72.011,33.90731931
1682764080000,71.975,71.975,71.975,71.975,0.45
1682764200000,71.991,71.991,71.991,71.991,0.4543202899999999
1682764380000,71.983,71.983,71.983,71.983,0.4518
1682764860000,71.989,71.989,71.989,71.989,0.44
1682765280000,71.996,72.01,72.01,71.996,1.95393454
1682765640000,72.089,72.101,72.101,72.089,4.95
1682766000000,72.088,72.088,72.088,72.088,0.45331211
1682766060000,72.012,72.012,72.012,72.012,0.45331211
1682766360000,71.989,71.989,71.989,71.989,0.45333863
1682766780000,72.046,72.046,72.046,72.046,0.45519872
1682766960000,72.064,72.068,72.078,72.064,2.42732198
1682767380000,72.01,71.987,72.01,71.987,0.9046
1682767860000,71.932,71.932,71.932,71.932,0.45536625
1682768280000,71.892,71.888,71.892,71.888,0.90951689
1682768400000,71.974,71.993,71.993,71.974,2.12983585
1682769000000,72.097,72.097,72.097,72.097,0.45
1682769300000,72.098,72.072,72.098,72.072,3.646
1682769720000,72.105,72.105,72.105,72.105,0.45
1682771280000,72.092,72.105,72.105,72.092,1.96914787
1682772180000,72.207,72.162,72.207,72.162,0.08303627
1682772720000,72.195,72.203,72.208,72.195,2.12685213
1682773560000,72.113,72.088,72.113,72.088,5.146
1682773800000,72.099,72.099,72.099,72.099,0.45
1682774460000,72.199,72.199,72.199,72.199,0.45396014
1682774640000,72.322,72.29,72.322,72.29,0.82080263
1682774760000,72.247,72.247,72.247,72.247,0.08755751
1682774880000,72.268,72.268,72.268,72.268,0.453
1682775180000,72.365,72.395,72.419,72.365,22.79355008
1682776140000,72.474,72.474,72.474,72.474,0.04663122
1682776260000,72.5,72.5,72.5,72.5,0.02
1682776500000,72.605,72.579,72.605,72.579,4.07701361
1682777040000,72.601,72.564,72.601,72.564,1.2281
1682777160000,72.569,72.488,72.569,72.488,12.99330722
