time,open,close,high,low,volume
1682762220000,72.179,72.179,72.179,72.179,0.02290046
1682763600000,72.027,71.999,72.027,71.999,7.0707795
1682766000000,72.054,72.054,72.054,72.054,0.03942196
1682766420000,72.003,72.003,72.003,72.003,0.02873933
1682768160000,71.898,71.898,71.898,71.898,0.0262621
1682769000000,72.123,72.123,72.123,72.123,0.02734794
1682769360000,72.013,72.013,72.013,72.013,0.0352293
1682770620000,72.109,72.109,72.109,72.109,0.03478954
1682770740000,72.108,72.108,72.108,72.108,0.68274
1682772360000,72.231,72.231,72.231,72.231,0.03978245
1682773500000,72.182,72.182,72.182,72.182,0.02658098
1682774760000,72.277,72.277,72.277,72.277,0.02161162
1682775180000,72.391,72.409,72.409,72.391,0.99302187
1682776260000,72.576,72.576,72.576,72.576,0.02226639
1682777880000,72.485,72.485,72.485,72.485,0.02276517
1682778180000,72.472,72.472,72.472,72.472,0.02517012
1682779320000,72.713,72.713,72.713,72.713,0.0373771
1682780520000,72.499,72.499,72.499,72.499,0.03530453
1682780640000,72.381,72.381,72.381,72.381,0.6006
1682781660000,72.513,72.513,72.513,72.513,0.03866239
1682782500000,72.386,72.386,72.386,72.386,0.03861101
1682782860000,72.346,72.346,72.346,72.346,0.02706485
1682783220000,72.218,72.218,72.218,72.218,0.60388665
1682783280000,72.073,72.073,72.073,72.073,3.19013805
1682783340000,72.006,72.006,72.006,72.006,1.2077234
1682784480000,72.289,72.289,72.289,72.289,0.02319615
1682784960000,72.319,72.319,72.319,72.319,0.37346685
1682785860000,72.199,72.199,72.199,72.199,0.03642452
1682787900000,72.37,72.37,72.37,72.37,0.03635156
1682788140000,72.227,72.227,72.227,72.227,0.12669
1682789460000,71.406,71.406,71.406,71.406,5.80828134
1682790240000,71.712,71.712,71.712,71.712,0.6045
1682790540000,71.525,71.525,71.525,71.525,0.6096
1682791560000,71.762,71.762,71.762,71.762,0.03250778
1682791920000,71.701,71.701,71.701,71.701,0.03773564
1682793780000,71.571,71.571,71.571,71.571,0.02469718
1682794140000,71.595,71.595,71.595,71.595,0.03861186
1682796720000,71.844,71.844,71.844,71.844,0.03693139
1682797860000,72.003,71.986,72.003,71.986,14.37751173
1682799180000,72.076,72.076,72.076,72.076,0.03431467
1682800320000,72.006,72.006,72.006,72.006,0.02938346
1682800680000,71.919,71.919,71.919,71.919,0.02298947
1682801820000,71.82,71.82,71.82,71.82,0.03234962
1682802540000,71.825,71.825,71.825,71.825,0.37517375
1682803440000,71.76,71.76,71.76,71.76,0.03637016
1682804340000,71.56,71.56,71.56,71.56,0.03302391
1682805240000,71.701,71.701,71.701,71.701,0.03510001
1682808900000,71.789,71.789,71.789,71.789,0.02670925
1682809980000,71.521,71.521,71.521,71.521,0.030842
1682810820000,71.681,71.681,71.681,71.681,0.02048549
1682811180000,71.587,71.587,71.587,71.587,0.0209759
1682812320000,71.778,71.778,71.778,71.778,0.03896748
1682812680000,71.733,71.732,71.733,71.732,3.4557587400000003
1682813880000,71.611,71.611,71.611,71.611,0.0286972
1682815080000,71.445,71.445,71.445,71.445,0.03335296
1682816160000,71.272,71.272,71.272,71.272,0.03241106
1682818080000,71.198,71.198,71.198,71.198,0.02853219
1682819220000,70.969,70.969,70.969,70.969,0.03771776
1682820420000,70.862,70.862,70.862,70.862,0.02751565
1682821620000,70.973,70.973,70.973,70.973,0.02518319
1682822760000,71.071,71.071,71.071,71.071,0.02338725
1682823780000,71.26,71.26,71.26,71.26,0.02295
1682824500000,71.166,71.166,71.166,71.166,0.61672983
1682829420000,71.255,71.255,71.255,71.255,0.03146566
1682829720000,71.297,71.297,71.297,71.297,0.02087028
1682831400000,71.4,71.4,71.4,71.4,0.02772143
1682832600000,71.514,71.514,71.514,71.514,0.02366914
1682833920000,71.663,71.663,71.663,71.663,0.03906046
1682834400000,71.706,71.706,71.706,71.706,10.89863889
1682835000000,71.684,71.666,71.684,71.666,4.94113474
1682836080000,71.529,71.529,71.529,71.529,0.0391258
1682836560000,71.558,71.558,71.558,71.558,0.02486006
1682837940000,71.578,71.579,71.579,71.578,3.5861806
1682839200000,71.47,71.47,71.47,71.47,0.02461203
1682839560000,71.378,71.378,71.378,71.378,0.02970897
1682842260000,71.295,71.295,71.295,71.295,0.02050128
1682843400000,71.398,71.398,71.398,71.398,0.03032716
1682844900000,71.303,71.303,71.303,71.303,0.02966775
1682846280000,71.214,71.214,71.214,71.214,0.03677942
1682846760000,71.172,71.172,71.172,71.172,1.00301151
1682847240000,71.27,71.27,71.27,71.27,0.37761464
1682848320000,71.39,71.39,71.39,71.39,0.02536361
1682849160000,71.629,71.629,71.629,71.629,0.03975877
1682849400000,71.447,71.447,71.447,71.447,8.86461152
1682850360000,71.534,71.534,71.534,71.534,0.03962976
1682850480000,71.525,71.525,71.525,71.525,0.65615917
1682850840000,71.387,71.387,71.387,71.387,0.1086445499999999
1682851920000,71.158,71.158,71.158,71.158,0.03222425
1682853120000,71.356,71.356,71.356,71.356,0.02946945
1682853480000,71.134,71.134,71.134,71.134,0.02958111
1682856000000,71.068,71.068,71.068,71.068,2.00002815
1682857560000,70.981,70.981,70.981,70.981,0.0201723
1682857920000,70.926,70.926,70.926,70.926,0.02057454
1682858820000,71.076,71.076,71.076,71.076,0.02958056
1682858940000,71.076,71.076,71.076,71.076,0.66759409
1682859180000,71.087,71.087,71.087,71.087,0.02668408
1682859720000,71.083,71.083,71.083,71.083,0.09020124
1682860380000,71.089,71.089,71.089,71.089,0.36000684
1682861220000,71.142,71.142,71.142,71.142,0.02261454
1682861760000,71.185,71.185,71.185,71.185,0.0271996
1682862960000,71.067,71.067,71.067,71.067,0.0227317
1682863380000,70.983,70.983,70.983,70.983,0.03031745
1682864820000,71.029,71.029,71.029,71.029,6.32380072
1682866020000,71.225,71.225,71.225,71.225,0.03721182
1682867160000,71.713,71.713,71.713,71.713,0.03663982
1682868420000,72.132,72.132,72.132,72.132,0.02844966
1682868600000,72.196,72.196,72.196,72.196,0.37830516
1682869740000,71.797,71.797,71.797,71.797,0.02113652
1682870640000,72.37,72.305,72.37,72.305,5.86033756
1682871060000,72.391,72.391,72.391,72.391,7.2809
1682872200000,72.022,72.022,72.022,72.022,0.03798948
1682872560000,72.239,72.239,72.239,72.239,0.0343128
1682873160000,72.375,72.377,72.377,72.375,0.6904060599999999
1682873880000,72.432,72.432,72.432,72.432,0.374
1682874540000,72.192,72.192,72.192,72.192,0.60357898
1682875620000,72.374,72.374,72.374,72.374,0.03610641
1682876160000,72.361,72.363,72.363,72.361,0.61131684
1682876340000,72.208,72.208,72.208,72.208,0.30587
1682876580000,72.287,72.287,72.287,72.287,0.37401351
1682877540000,71.962,71.962,71.962,71.962,0.02812975
1682877780000,71.679,71.656,71.679,71.656,10.60502044
1682878740000,71.989,71.989,71.989,71.989,0.03832234
1682880060000,71.885,71.885,71.885,71.885,0.02053171
1682880900000,71.828,71.828,71.828,71.828,0.08442493
1682881680000,71.739,71.574,71.739,71.574,6.14280717
1682882400000,70.946,70.946,70.946,70.946,6.15945025
1682882460000,70.882,70.882,70.882,70.882,0.37381912
1682882580000,70.945,70.945,70.945,70.945,6.16335479
1682883660000,70.992,70.992,70.992,70.992,0.372
1682884680000,71.157,71.157,71.157,71.157,0.03583027
1682884740000,71.157,71.157,71.157,71.157,15.635
1682885040000,70.624,70.624,70.624,70.624,2.01425391
1682885100000,70.435,70.336,70.435,70.336,4.18713143
1682885160000,70.537,70.567,70.567,70.537,12.39285489
1682885520000,70.297,70.297,70.297,70.297,6.22002302
1682885580000,70.334,70.4,70.4,70.334,20.2245026
1682886540000,70.642,70.642,70.642,70.642,0.02706823
1682887980000,70.672,70.672,70.672,70.672,0.3774815
1682888880000,70.871,70.871,70.871,70.871,0.0271233
1682889240000,70.92,70.92,70.92,70.92,13.70588303
1682890440000,70.868,70.868,70.868,70.868,0.02316872
1682892120000,70.796,70.796,70.796,70.796,0.03459602
1682893860000,70.964,70.964,70.964,70.964,0.03283057
1682895720000,70.841,70.859,70.859,70.841,1.01202875
1682896560000,70.853,70.853,70.853,70.853,0.31057037
1682897580000,70.78,70.78,70.78,70.78,0.02596769
1682898600000,70.483,70.483,70.483,70.483,0.61826972
1682899680000,70.348,70.348,70.348,70.348,0.03021508
1682900580000,70.576,70.576,70.576,70.576,0.02357704
1682901840000,70.778,70.778,70.778,70.778,0.02111864
1682902680000,70.591,70.591,70.591,70.591,0.02419525
1682904300000,70.456,70.456,70.456,70.456,0.03315264
1682905140000,69.555,69.296,69.555,69.296,10.469
1682905260000,69.104,69.104,69.104,69.104,0.61946381
1682905620000,69.108,69.108,69.108,69.108,0.384
1682906580000,69.177,69.177,69.177,69.177,0.02451184
1682907120000,69.462,69.462,69.462,69.462,0.02935073
1682910300000,69.369,69.369,69.369,69.369,0.03632108
1682911920000,69.445,69.445,69.445,69.445,0.02645567
1682913180000,69.363,69.363,69.363,69.363,0.03535793
1682913660000,69.308,69.308,69.308,69.308,8.97123931
1682914320000,69.291,69.291,69.291,69.291,15.292
1682915280000,69.494,69.494,69.494,69.494,0.03825863
1682916540000,69.594,69.594,69.594,69.594,0.03116858
1682918340000,69.704,69.704,69.704,69.704,0.02048843
1682918820000,69.612,69.612,69.612,69.612,0.02416126
1682919060000,69.565,69.571,69.571,69.565,0.55222444
1682919540000,69.489,69.489,69.489,69.489,0.07914052
1682919840000,69.386,69.386,69.386,69.386,0.387
1682920380000,69.431,69.43,69.431,69.43,5.83150343
1682921280000,69.628,69.628,69.628,69.628,0.02385891
1682921640000,69.627,69.627,69.627,69.627,0.03593114
1682922780000,69.761,69.761,69.761,69.761,0.03887246
1682922840000,69.761,69.761,69.761,69.761,0.45990827
1682923980000,69.85,69.85,69.85,69.85,0.31489
