time,open,close,high,low,volume
1682761800000,0.18382,0.18382,0.18382,0.18382,19.9806879
1682762400000,0.18404,0.18404,0.18404,0.18404,178.1952
1682762460000,0.18405,0.18394,0.18405,0.18394,1302.02888748
1682762640000,0.18392,0.18393,0.18393,0.18392,8696.0
1682763420000,0.18412,0.18396,0.18412,0.18396,29.80169138
1682763540000,0.18391,0.18391,0.18391,0.18391,474.60363022
1682763960000,0.18366,0.18366,0.18366,0.18366,177.1705
1682764200000,0.18388,0.18388,0.18388,0.18388,178.1018
1682764500000,0.18398,0.18399,0.18399,0.18398,355.95789779
1682765580000,0.18402,0.18402,0.18402,0.18402,177.4913
1682766420000,0.1838,0.1838,0.1838,0.1838,10.68861653
1682766600000,0.18385,0.18392,0.18392,0.18385,890.9335026199999
1682766720000,0.18395,0.18396,0.18396,0.18395,356.38737654
1682766900000,0.184,0.184,0.184,0.184,178.0896
1682767800000,0.18391,0.18391,0.18391,0.18391,176.41086594
1682768100000,0.1837,0.18372,0.18372,0.1837,710.7502382399999
1682768220000,0.18374,0.18378,0.18378,0.18374,535.7770781
1682768760000,0.18414,0.18414,0.18414,0.18414,177.5306
1682769540000,0.18438,0.18438,0.18438,0.18438,17.47088479
1682769600000,0.18446,0.18446,0.18446,0.18446,177.29106028
1682770920000,0.18429,0.18414,0.18429,0.18414,29.25175508
1682771580000,0.18434,0.18444,0.18445,0.18434,1302.75998457
1682772360000,0.18428,0.18413,0.18428,0.18413,14706.65565743
1682772480000,0.18429,0.18429,0.18429,0.18429,177.4093
1682773140000,0.18425,0.18425,0.18425,0.18425,467.13831792
1682773380000,0.18424,0.18427,0.18427,0.18424,699.1509
1682773500000,0.18431,0.18429,0.18431,0.18429,1000.0
1682773740000,0.1842,0.1842,0.1842,0.1842,8274.0
1682773920000,0.18405,0.18405,0.18405,0.18405,8351.995368079999
1682774040000,0.18408,0.18408,0.18408,0.18408,177.30087501
1682774160000,0.18416,0.18416,0.18416,0.18416,474.4442
1682774460000,0.1843,0.1843,0.1843,0.1843,177.25746894
1682774520000,0.1844,0.1844,0.1844,0.1844,474.15799349
1682774700000,0.18412,0.18412,0.18412,0.18412,176.86039291999998
1682774760000,0.18418,0.18418,0.18418,0.18418,177.69731197
1682775000000,0.18452,0.18452,0.18452,0.18452,2666.60336407
1682775660000,0.18436,0.18436,0.18436,0.18436,177.0
1682775780000,0.18443,0.18443,0.18443,0.18443,472.62083431
1682776620000,0.18489,0.18489,0.18489,0.18489,15.6318427
1682777400000,0.18506,0.18506,0.18506,0.18506,23.68927854
1682777460000,0.18498,0.18498,0.18498,0.18498,13.36784137
1682777640000,0.18508,0.18512,0.18512,0.18508,649.61169101
1682778420000,0.18537,0.18523,0.18537,0.18523,20.88937021
1682779260000,0.18558,0.1856,0.1856,0.18558,933.40658165
1682779500000,0.18559,0.18559,0.18559,0.18559,176.32846521
1682779680000,0.18556,0.18556,0.18556,0.18556,176.46155184
1682779740000,0.18556,0.18556,0.18556,0.18556,176.0
1682780400000,0.18535,0.18535,0.18535,0.18535,175.44926855999998
1682780580000,0.18534,0.1853,0.18534,0.1853,16036.51082555
1682780640000,0.18523,0.18523,0.18523,0.18523,308.76056338
1682780760000,0.18506,0.18512,0.18512,0.18506,1649.23252983
1682781000000,0.18512,0.18515,0.18516,0.18512,1179.51678567
1682781360000,0.18509,0.18515,0.18515,0.18509,646.72747167
