time,open,close,high,low,volume,Unnamed: 0
1628623200000,1.0241,1.0241,1.0241,1.0241,4.02072827,
1628623440000,1.0172,1.0172,1.0172,1.0172,4.67489345,
1628623740000,1.0152,1.0152,1.0152,1.0152,2.43098527,
1628623980000,1.0168,1.0168,1.0168,1.0168,7.56633057,
1628624280000,1.0175,1.0175,1.0175,1.0175,7.52922478,
1628624520000,1.0178,1.0178,1.0178,1.0178,4.70879452,
1628624760000,1.0254,1.0254,1.0254,1.0254,4.719417,
1628625060000,1.0243,1.0243,1.0243,1.0243,5.60111644,
1628625120000,1.0333,1.0333,1.0333,1.0333,3.60294171,
1628625420000,1.0245,1.034,1.034,1.0245,7.284519700000001,
1628625720000,1.0241,1.0241,1.0241,1.0241,2.87727975,
1628625960000,1.0229,1.0229,1.0229,1.0229,3.32662733,
1628626260000,1.0227,1.0227,1.0227,1.0227,4.72011142,
1628626500000,1.0229,1.0229,1.0229,1.0229,7.50495123,
1628626740000,1.0232,1.0232,1.0232,1.0232,6.91240731,
1628626980000,1.0243,1.0243,1.0243,1.0243,2.41375433,
1628627040000,1.0335,1.0335,1.0335,1.0335,2.72648455,
1628627340000,1.0227,1.0227,1.0227,1.0227,7.25353408,
1628627580000,1.0236,1.0318,1.0318,1.0236,7.62773383,
1628627880000,1.0241,1.0241,1.0241,1.0241,5.04057113,
1628628120000,1.0265,1.0265,1.0265,1.0265,2.54168076,
1628628240000,1.027,1.027,1.027,1.027,2.55,
1628628540000,1.0257,1.0343,1.0343,1.0257,5.29718477,
1628628840000,1.0283,1.0373,1.0373,1.0283,11.7620009,
1628629080000,1.0257,1.0257,1.0257,1.0257,7.08083705,
1628629140000,1.0357,1.0357,1.0357,1.0357,2.61502799,
1628629440000,1.0278,1.0278,1.0278,1.0278,3.61983174,
1628629740000,1.0313,1.0313,1.0313,1.0313,2.98710331,
1628630040000,1.0316,1.0402,1.0402,1.0316,11.66733089,
1628630340000,1.0297,1.0381,1.0381,1.0297,12.59892884,
1628630580000,1.0312,1.0398,1.0398,1.0312,10.59238553,
1628630880000,1.0332,1.051,1.051,1.0332,6.939690110000001,
1628631120000,1.0297,1.0297,1.0297,1.0297,4.88649283,
1628631420000,1.0323,1.0323,1.0323,1.0323,3.43239787,
1628631660000,1.0332,1.0332,1.0332,1.0332,2.19790709,
1628631900000,1.0309,1.0309,1.0309,1.0309,3.18584209,
1628632200000,1.0302,1.0302,1.0302,1.0302,3.86055376,
1628632440000,1.0303,1.0303,1.0303,1.0303,3.54900277,
1628632680000,1.0305,1.0305,1.0305,1.0305,7.06927743,
1628632740000,1.0424,1.0424,1.0424,1.0424,3.66053177,
1628632980000,1.0316,1.0316,1.0316,1.0316,4.63629071,
1628633280000,1.0318,1.0318,1.0318,1.0318,3.13655696,
1628633520000,1.034,1.034,1.034,1.034,3.28038222,
1628633820000,1.0336,1.0336,1.0336,1.0336,5.33027764,
1628634060000,1.0327,1.0327,1.0327,1.0327,2.73770631,
1628634360000,1.0369,1.0369,1.0369,1.0369,7.03333585,
1628634600000,1.0325,1.0325,1.0325,1.0325,2.8926432,
1628634900000,1.0325,1.0325,1.0325,1.0325,6.98918453,
1628635200000,1.0313,1.0313,1.0313,1.0313,6.80064471,
1628635500000,1.033,1.0445,1.0445,1.033,7.03679124,
1628635800000,1.0343,1.0343,1.0343,1.0343,3.193442,
1628636040000,1.0326,1.0326,1.0326,1.0326,5.66635459,
1628636280000,1.0269,1.0269,1.0269,1.0269,3.57100367,
1628636580000,1.0281,1.0281,1.0281,1.0281,3.07437958,
1628636880000,1.0267,1.0267,1.0267,1.0267,5.58873148,
1628637120000,1.0246,1.0246,1.0246,1.0246,5.04341942,
1628637360000,1.0255,1.0255,1.0255,1.0255,3.51254416,
1628637660000,1.0244,1.0244,1.0244,1.0244,4.78414137,
1628637960000,1.023,1.023,1.023,1.023,2.62729059,
1628638200000,1.0178,1.0178,1.0178,1.0178,2.88935467,
1628638500000,1.0219,1.0219,1.0219,1.0219,4.11394859,
1628638740000,1.0129,1.0334,1.0334,1.0129,14.17271081,
1628638980000,1.0081,1.0081,1.0081,1.0081,4.58840787,
1628639040000,1.0187,1.0187,1.0187,1.0187,6.31359993,
1628639340000,1.0076,1.0076,1.0076,1.0076,3.59264283,
1628639640000,1.0081,1.0081,1.0081,1.0081,6.93651277,
1628639940000,1.0084,1.0084,1.0084,1.0084,7.34268062,
1628640240000,1.0064,1.0182,1.0182,1.0064,324.04954503,
1628640540000,1.0027,1.0027,1.0027,1.0027,7.750219,
1628640780000,1.0126,1.0126,1.0126,1.0126,2.70949983,
1628640840000,1.0037,1.0037,1.0037,1.0037,4.18715458,
1628641080000,1.0137,1.0137,1.0137,1.0137,3.46065774,
1628641380000,1.0122,1.0122,1.0122,1.0122,5.13312638,
1628641680000,1.0104,1.0034,1.0104,1.0034,9.33986864,
1628641980000,1.0122,1.0122,1.0122,1.0122,7.82513353,
1628642220000,1.0106,1.0106,1.0106,1.0106,2.27643009,
1628642280000,1.0069,1.0069,1.0069,1.0069,2.06252607,
1628642580000,1.0156,1.0156,1.0156,1.0156,7.88373623,
1628642880000,1.0149,1.0059,1.0149,1.0059,12.21720787,
1628643120000,1.0138,1.0138,1.0138,1.0138,7.2728333,
1628643420000,1.0143,1.0143,1.0143,1.0143,4.52625869,
1628643660000,1.001,1.001,1.001,1.001,5.9243187,
1628643960000,1.0185,1.0185,1.0185,1.0185,6.21218473,
1628644200000,1.0153,1.0153,1.0153,1.0153,7.57925116,
1628644500000,1.0171,1.0171,1.0171,1.0171,4.55426364,
1628644560000,1.0083,1.0083,1.0083,1.0083,2.85035015,
1628644800000,1.014,1.014,1.014,1.014,7.47682999,
1628645100000,1.0151,1.0151,1.0151,1.0151,3.61087246,
1628645340000,1.016,1.007,1.016,1.007,10.36658501,
1628645640000,1.0177,1.0177,1.0177,1.0177,4.6742792,
1628645700000,1.0064,1.0064,1.0064,1.0064,6.55622515,
1628645940000,1.0027,1.0027,1.0027,1.0027,4.34330984,
1628646180000,1.0119,1.0119,1.0119,1.0119,2.16317786,
1628646240000,1.003,1.003,1.003,1.003,6.68883094,
1628646540000,1.0112,1.0112,1.0112,1.0112,2.16119601,
1628646840000,1.0118,1.0118,1.0118,1.0118,7.42395798,
1628647080000,1.0115,1.0115,1.0115,1.0115,7.1049033,
1628647380000,1.0115,1.0115,1.0115,1.0115,5.2548704,
1628647680000,1.0115,1.0115,1.0115,1.0115,7.72398086,
1628647980000,1.0115,0.99951,1.0115,0.99951,7.64740615,
1628648280000,1.0115,1.0115,1.0115,1.0115,6.0454925,
1628648580000,1.0115,1.0036,1.0115,1.0036,9.77380871,
1628648880000,1.0187,1.0187,1.0187,1.0187,6.67779497,
1628649120000,1.0166,1.0166,1.0166,1.0166,7.94900463,
1628649420000,1.0213,1.009,1.0213,1.009,13.20945026,
1628649720000,1.0185,1.0185,1.0185,1.0185,5.45723838,
1628649960000,1.0178,1.0178,1.0178,1.0178,3.81436588,
1628650020000,1.0081,1.0081,1.0081,1.0081,5.07748455,
1628650260000,1.0191,1.0191,1.0191,1.0191,7.2054979,
1628650560000,1.0191,1.0191,1.0191,1.0191,5.30869155,
1628650620000,1.0106,1.0106,1.0106,1.0106,3.72144417,
1628650920000,1.0189,1.0189,1.0189,1.0189,5.11322326,
1628651160000,1.0197,1.0197,1.0197,1.0197,4.21965948,
1628651460000,1.0219,1.0136,1.0219,1.0136,8.6626477,
1628651760000,1.0252,1.0252,1.0252,1.0252,3.95771273,
1628652000000,1.0262,1.0262,1.0262,1.0262,6.70559837,
1628652300000,1.0279,1.018,1.0279,1.018,12.05590267,
1628652540000,1.0234,1.0234,1.0234,1.0234,6.52001632,
1628652840000,1.0365,1.0365,1.0365,1.0365,3.80008421,
1628653140000,1.0336,1.0336,1.0336,1.0336,7.02337855,
1628653380000,1.0326,1.0326,1.0326,1.0326,5.70857192,
1628653440000,1.0233,1.0233,1.0233,1.0233,4.46703372,
1628653740000,1.0352,1.0352,1.0352,1.0352,4.33831812,
1628654040000,1.0366,1.026,1.0366,1.026,9.93074484,
1628654340000,1.0358,1.0358,1.0358,1.0358,4.88913124,
1628654580000,1.0366,1.0366,1.0366,1.0366,6.78554222,
1628654880000,1.0372,1.0372,1.0372,1.0372,7.44418164,
1628655120000,1.035,1.035,1.035,1.035,2.32814748,
1628655180000,1.0267,1.0267,1.0267,1.0267,3.08412048,
1628655480000,1.0357,1.0357,1.0357,1.0357,2.58868935,
1628655780000,1.0356,1.0356,1.0356,1.0356,4.36515894,
1628656020000,1.0362,1.0362,1.0362,1.0362,5.47756558,
1628656260000,1.0359,1.0359,1.0359,1.0359,4.92435006,
1628656560000,1.0338,1.0338,1.0338,1.0338,2.34525775,
1628656860000,1.0331,1.0331,1.0331,1.0331,2.28151491,
1628656920000,1.0249,1.0249,1.0249,1.0249,7.95443835,
1628657220000,1.0365,1.0365,1.0365,1.0365,2.50382516,
1628657460000,1.0362,1.0362,1.0362,1.0362,3.10755995,
1628657760000,1.0357,1.0357,1.0357,1.0357,3.24453246,
1628658000000,1.0402,1.0402,1.0402,1.0402,4.6308632,
1628658300000,1.0413,1.0413,1.0413,1.0413,6.20679676,
1628658360000,1.0313,1.0313,1.0313,1.0313,7.17972767,
1628658600000,1.0398,1.0398,1.0398,1.0398,7.75622717,
1628658840000,1.0387,1.0387,1.0387,1.0387,3.21481867,
1628658900000,1.0301,1.0301,1.0301,1.0301,5.81738664,
1628659200000,1.0383,1.0383,1.0383,1.0383,4.77449213,
1628659440000,1.039,1.0301,1.039,1.0301,12.10444338,
1628659680000,1.0406,1.0406,1.0406,1.0406,6.0791028,
1628659920000,1.0401,1.0401,1.0401,1.0401,2.03023196,
1628659980000,1.0314,1.0314,1.0314,1.0314,2.22918073,
1628660220000,1.0395,1.0395,1.0395,1.0395,7.14425636,
