time,open,close,high,low,volume
1685775420000,1.0943,1.0943,1.0943,1.0943,4.82572739
1685775480000,1.0848,1.0848,1.0848,1.0848,7.76721321
1685776260000,1.0927,1.0927,1.0927,1.0927,4.24619751
1685776320000,1.0826,1.0826,1.0826,1.0826,6.94584643
1685777040000,1.0927,1.0927,1.0927,1.0927,2.74535488
1685777940000,1.0923,1.0923,1.0923,1.0923,6.61561512
1685779560000,1.095,1.095,1.095,1.095,7.18356408
1685786640000,1.0991,1.0896,1.0991,1.0896,7.6334811
1685787360000,1.0977,1.0977,1.0977,1.0977,2.67862495
1685788200000,1.0971,1.0971,1.0971,1.0971,3.81601547
1685788260000,1.097,1.097,1.097,1.097,3.23233611
1685789880000,1.0977,1.0977,1.0977,1.0977,7.94580422
1685790780000,1.0998,1.0998,1.0998,1.0998,6.91837746
1685791560000,1.1,1.1,1.1,1.1,3.37319594
1685792460000,1.0989,1.0998,1.0998,1.0989,10.36464186
1685793240000,1.1011,1.1011,1.1011,1.1011,6.5107121
1685794020000,1.0982,1.0982,1.0982,1.0982,2.76923632
1685794800000,1.1006,1.1006,1.1006,1.1006,7.16457318
1685795640000,1.1009,1.1009,1.1009,1.1009,5.31651838
1685796480000,1.1004,1.1004,1.1004,1.1004,5.21760202
1685797260000,1.1008,1.1008,1.1008,1.1008,7.24126521
1685797980000,1.1011,1.1011,1.1011,1.1011,7.99215887
1685798760000,1.0998,1.0998,1.0998,1.0998,2.34250053
1685798820000,1.0914,1.0914,1.0914,1.0914,2.58448082
1685799600000,1.0994,1.0994,1.0994,1.0994,3.69024169
1685800500000,1.1011,1.1011,1.1011,1.1011,7.6506248
1685801340000,1.1012,1.1012,1.1012,1.1012,3.72212734
1685802180000,1.1,1.0918,1.1,1.0918,8.61288237
1685803020000,1.0994,1.0994,1.0994,1.0994,4.9750024
1685803920000,1.0985,1.0918,1.0985,1.0918,6.4136943
1685804760000,1.1016,1.1016,1.1016,1.1016,7.77731369
1685805600000,1.1016,1.1016,1.1016,1.1016,3.34451297
1685806380000,1.1023,1.1023,1.1023,1.1023,6.51086499
1685807280000,1.0995,1.0912,1.0995,1.0912,8.34234459
1685808120000,1.1022,1.0945,1.1022,1.0945,7.38895737
1685809020000,1.1023,1.1023,1.1023,1.1023,7.72406135
1685814720000,1.1042,1.1042,1.1042,1.1042,3.69658369
1685815500000,1.1045,1.1045,1.1045,1.1045,4.25659321
1685816400000,1.1055,1.1055,1.1055,1.1055,5.42256781
1685817180000,1.106,1.0956,1.106,1.0956,10.08356226
1685817960000,1.104,1.104,1.104,1.104,5.15210201
1685822280000,1.1053,1.1053,1.1053,1.1053,5.27577624
1685823060000,1.1037,1.1037,1.1037,1.1037,3.80739711
1685825820000,1.1064,1.1064,1.1064,1.1064,3.97624613
1685826660000,1.106,1.0962,1.106,1.0962,14.66506076
1685827560000,1.1032,1.1032,1.1032,1.1032,4.61448193
1685828520000,1.1028,1.0963,1.1028,1.0963,9.69340294
1685829300000,1.1002,1.1002,1.1002,1.1002,7.54138483
1685829360000,1.0957,1.0957,1.0957,1.0957,5.02310454
1685830200000,1.1015,1.1015,1.1015,1.1015,3.11088886
1685830260000,1.0958,1.0958,1.0958,1.0958,5.19469122
1685831040000,1.1004,1.1004,1.1004,1.1004,7.40881794
1685831940000,1.1014,1.1014,1.1014,1.1014,3.64695693
1685832780000,1.1013,1.1022,1.1022,1.1013,3.37214282
