time,open,close,high,low,volume
1682761740000,1.1004,1.1004,1.1004,1.1004,3.78939288
1682762580000,1.1008,1.1008,1.1008,1.1008,4.69291331
1682763540000,1.1004,1.1012,1.1012,1.1004,7.28751125
1682763600000,1.095,1.095,1.095,1.095,4.6047725
1682764440000,1.1009,1.0956,1.1009,1.0956,11.83284748
1682765220000,1.1004,1.1004,1.1004,1.1004,7.19987516
1682766120000,1.1004,1.1015,1.1015,1.1004,4.90741803
1682768340000,1.0998,1.0998,1.0998,1.0998,7.92904474
1682769180000,1.0982,1.0982,1.0982,1.0982,2.00509404
1682770020000,1.0965,1.0965,1.0965,1.0965,4.07886822
1682770080000,1.0943,1.0943,1.0943,1.0943,6.53841129
1682770920000,1.0967,1.0936,1.0967,1.0936,9.05586948
1682771820000,1.0972,1.0972,1.0972,1.0972,6.94881727
1682772660000,1.0984,1.0984,1.0984,1.0984,6.99017636
1682773620000,1.0972,1.0972,1.0972,1.0972,7.67424165
1682777100000,1.0996,1.1,1.1,1.0996,5.78690447
1682777160000,1.0936,1.0936,1.0936,1.0936,5.20805118
1682778000000,1.0964,1.0964,1.0964,1.0964,3.84773769
1682778780000,1.0975,1.0975,1.0975,1.0975,3.83300201
1682779800000,1.0987,1.0987,1.0987,1.0987,3.1382305
1682780760000,1.0973,1.0973,1.0973,1.0973,5.71107778
1682781660000,1.098,1.098,1.098,1.098,2.33996678
1682782740000,1.0975,1.0975,1.0975,1.0975,2.55787464
1682783520000,1.0971,1.0971,1.0971,1.0971,6.62485752
1682784300000,1.0942,1.0938,1.0942,1.0938,11.49356858
1682785140000,1.0964,1.0964,1.0964,1.0964,4.66240789
1682786340000,1.0952,1.0952,1.0952,1.0952,3.66308113
1682786400000,1.0904,1.0904,1.0904,1.0904,4.12079187
1682787240000,1.095,1.095,1.095,1.095,4.26929627
1682788140000,1.0955,1.0955,1.0955,1.0955,3.25040018
1682788920000,1.0954,1.0954,1.0954,1.0954,7.8097481
1682788980000,1.0906,1.0906,1.0906,1.0906,4.83314202
1682789820000,1.095,1.095,1.095,1.095,4.40317359
1682789880000,1.0907,1.0907,1.0907,1.0907,7.21030514
1682790720000,1.0952,1.0906,1.0952,1.0906,9.74581109
1682791620000,1.0951,1.0951,1.0951,1.0951,6.5971781
1682792340000,1.0953,1.0953,1.0953,1.0953,7.03561281
1682793420000,1.0951,1.0951,1.0951,1.0951,4.63216117
1682794200000,1.0952,1.0952,1.0952,1.0952,4.8248933
1682794980000,1.0954,1.0954,1.0954,1.0954,4.49036296
1682795760000,1.0954,1.0954,1.0954,1.0954,6.34870829
1682795820000,1.0903,1.0903,1.0903,1.0903,6.89299393
1682796600000,1.0952,1.0952,1.0952,1.0952,4.66089114
1682798640000,1.0944,1.0944,1.0944,1.0944,6.18472526
1682799540000,1.0949,1.0949,1.0949,1.0949,4.42924526
1682800500000,1.0949,1.0949,1.0949,1.0949,4.75729588
1682800560000,1.0903,1.0903,1.0903,1.0903,4.26810208
1682801280000,1.0945,1.0945,1.0945,1.0945,4.95664635
1682802120000,1.0947,1.0947,1.0947,1.0947,7.5154651
1682802840000,1.0948,1.0948,1.0948,1.0948,2.09413188
1682802900000,1.0902,1.0902,1.0902,1.0902,4.6459247
1682803800000,1.0946,1.0946,1.0946,1.0946,3.90940446
1682804580000,1.0948,1.0948,1.0948,1.0948,2.40730027
1682805000000,1.0903,1.0903,1.0903,1.0903,9.98010701
1682805900000,1.0914,1.0914,1.0914,1.0914,5.01424957
1682806500000,1.0915,1.0915,1.0915,1.0915,8.80079096
1682808960000,1.0903,1.0903,1.0903,1.0903,3.0197283
1682810040000,1.0907,1.0907,1.0907,1.0907,6.16290195
1682810100000,1.0906,1.0906,1.0906,1.0906,8.91757431
1682811420000,1.091,1.091,1.091,1.091,3.02615438
1682812320000,1.09,1.09,1.09,1.09,2.0
1682813160000,1.0903,1.0663,1.0903,1.0663,2607.06443566
1682813700000,1.0899,1.0852,1.0899,1.0852,8.69531394
1682814540000,1.0894,1.0894,1.0894,1.0894,3.53163268
1682815260000,1.0889,1.0889,1.0889,1.0889,6.466834
1682816160000,1.0884,1.0884,1.0884,1.0884,7.4562814
1682816220000,1.0851,1.0851,1.0851,1.0851,5.39581551
1682817000000,1.0879,1.0889,1.0889,1.0879,6.22095806
1682817300000,1.0874,1.0908,1.0908,1.0874,8.907188009999999
1682818500000,1.0897,1.0897,1.0897,1.0897,6.89479159
1682819340000,1.0879,1.0879,1.0879,1.0879,7.79170543
1682820060000,1.0893,1.0775,1.0893,1.0775,11.59997205
1682820900000,1.0849,1.0849,1.0849,1.0849,8.83396491
1682821680000,1.0919,1.0919,1.0919,1.0919,5.62856299
1682822520000,1.0901,1.0901,1.0901,1.0901,3.67474726
1682822580000,1.0824,1.0824,1.0824,1.0824,7.90587783
1682823300000,1.0893,1.0893,1.0893,1.0893,4.34937841
1682823480000,1.0905,1.105,1.105,1.0905,2595.63326324
1682824260000,1.0897,1.0897,1.0897,1.0897,5.90317713
1682824500000,1.089,1.089,1.089,1.089,9.20274146
1682825400000,1.0891,1.085,1.0891,1.085,6.97126317
1682826180000,1.0888,1.0856,1.0888,1.0856,6.24365815
1682827080000,1.0887,1.0887,1.0887,1.0887,3.09620681
1682827980000,1.0883,1.0883,1.0883,1.0883,7.95167907
1682828100000,1.088,1.088,1.088,1.088,9.38959765
1682828580000,1.0862,1.0861,1.0862,1.0861,15.86601222
1682829420000,1.0886,1.0886,1.0886,1.0886,4.48145169
1682829480000,1.0816,1.0816,1.0816,1.0816,7.99983323
1682830380000,1.089,1.089,1.089,1.089,6.19370908
1682831700000,1.0894,1.0894,1.0894,1.0894,9.18628214
1682833440000,1.0899,1.0899,1.0899,1.0899,7.42628798
1682834640000,1.0882,1.0882,1.0882,1.0882,2.96296902
1682835300000,1.0893,1.0893,1.0893,1.0893,9.14416288
1682836200000,1.0921,1.0919,1.0921,1.0919,8.72486749
1682836440000,1.0881,1.0881,1.0881,1.0881,9.90585102
1682837280000,1.0877,1.0849,1.0877,1.0849,12.0306284
1682838060000,1.0874,1.0839,1.0874,1.0839,9.23972904
1682838900000,1.0872,1.0872,1.0872,1.0872,8.99975922
1682839800000,1.0887,1.0887,1.0887,1.0887,3.66059114
1682840400000,1.0813,1.0363,1.0813,1.0363,33.33582268
1682841180000,1.0484,1.048,1.0484,1.048,7.15190462
1682841240000,1.0414,1.0414,1.0414,1.0414,6.1709092
1682841960000,1.0449,1.0449,1.0449,1.0449,2.23283976
1682842500000,1.0445,1.0465,1.0465,1.0445,16.42783206
1682843220000,1.0465,1.0465,1.0465,1.0465,3.26155486
1682844480000,1.0464,1.042,1.0464,1.042,9.4199853
1682845320000,1.045,1.045,1.045,1.045,7.01742365
1682845380000,1.0407,1.0407,1.0407,1.0407,5.10187508
1682846100000,1.0451,1.0486,1.0486,1.0451,16.43163976
1682846880000,1.0471,1.0471,1.0471,1.0471,6.77571074
1682847840000,1.0474,1.0474,1.0474,1.0474,5.2777965
1682848560000,1.0453,1.0453,1.0453,1.0453,7.11068518
1682849700000,1.0466,1.0466,1.0466,1.0466,16.52482577
1682850540000,1.045,1.0399,1.045,1.0399,9.59106974
1682851380000,1.044,1.044,1.044,1.044,5.89909587
1682855700000,1.0446,1.0446,1.0446,1.0446,5.51375894
1682856540000,1.0441,1.0384,1.0441,1.0384,6.14456667
1682857260000,1.0443,1.0443,1.0443,1.0443,2.51912994
1682858040000,1.044,1.044,1.044,1.044,4.86000857
1682859840000,1.0436,1.0436,1.0436,1.0436,7.79631415
1682859900000,1.0377,1.0377,1.0377,1.0377,6.39597115
1682860620000,1.0423,1.0423,1.0423,1.0423,2.8072007
1682863800000,1.0419,1.0419,1.0419,1.0419,7.66973319
1682863920000,1.0372,1.0372,1.0372,1.0372,9.98239145
1682864760000,1.0347,1.0301,1.0347,1.0301,10.15571449
1682865600000,1.0343,1.0292,1.0343,1.0292,8.60740677
1682866440000,1.0347,1.0347,1.0347,1.0347,2.61739602
1682867160000,1.0352,1.0352,1.0352,1.0352,4.25987661
1682867940000,1.0395,1.0395,1.0395,1.0395,3.56014099
1682868000000,1.0326,1.0326,1.0326,1.0326,6.7607477
1682868780000,1.0381,1.0381,1.0381,1.0381,3.67860823
1682869560000,1.0333,1.0333,1.0333,1.0333,5.69191893
1682869620000,1.0319,1.0319,1.0319,1.0319,2.09192985
1682870400000,1.0329,1.0324,1.0329,1.0324,267.488673
1682870460000,1.0324,1.0324,1.0324,1.0324,320.72005419
1682870520000,1.0324,1.0324,1.0324,1.0324,267.1490478
1682870580000,1.0324,1.0324,1.0324,1.0324,106.76650576
1682870640000,1.0324,1.0324,1.0324,1.0324,152.73628803
1682871300000,1.0286,1.0286,1.0286,1.0286,19.53348839
1682872200000,1.0261,1.0261,1.0261,1.0261,3.96345109
