time,open,close,high,low,volume,Unnamed: 0
1628623200000,0.0922,0.092399,0.092399,0.0922,5.66322902,
1628623440000,0.0913,0.0913,0.0913,0.0913,0.44135874,
1628623560000,0.0913,0.0911,0.0913,0.0911,2490.87864126,
1628623620000,0.087586,0.087586,0.087586,0.087586,3.47171104,
1628623860000,0.090776,0.090776,0.090776,0.090776,4187.18669029,
1628623920000,0.090868,0.090776,0.090868,0.090776,2313.83425851,
1628623980000,0.0903,0.0902,0.0903,0.0902,30.92182539,
1628624460000,0.0912,0.091399,0.091399,0.0912,7.94527771,
1628624760000,0.0903,0.0901,0.0903,0.0901,45.56405802,
1628625300000,0.0913,0.0913,0.0913,0.0913,3.39490631,
1628625660000,0.0903,0.0901,0.0903,0.0901,34.99376848,
1628626260000,0.091199,0.091199,0.091199,0.091199,0.00109789,
1628626740000,0.0912,0.09,0.0912,0.09,34.99486575,
1628627040000,0.0912,0.091399,0.091399,0.0912,34.99376848,
1628627160000,0.0913,0.0913,0.0913,0.0913,0.903389,
1628627760000,0.0902,0.0913,0.0913,0.09,42.10208372,
1628628000000,0.0901,0.0901,0.0901,0.0901,4.1,
1628628540000,0.091,0.091,0.091,0.091,0.0012384,
1628628600000,0.09,0.09,0.09,0.09,0.00128365,
1628628720000,0.091,0.091199,0.091199,0.091,6.273398329999999,
1628628840000,0.0901,0.0898,0.0901,0.0898,47.76742637,
1628629320000,0.0909,0.0909,0.0909,0.0909,0.00104573,
1628629800000,0.0898,0.0898,0.0898,0.0898,0.00115736,
1628630340000,0.0909,0.0909,0.0909,0.0909,0.00110069,
1628630400000,0.0898,0.0898,0.0898,0.0898,0.00114401,
1628631000000,0.0909,0.0898,0.0909,0.0898,0.07096118,
1628631060000,0.0898,0.0898,0.0898,0.0898,0.00887593,
1628631600000,0.0909,0.0898,0.0909,0.0898,0.00225102,
1628631660000,0.0898,0.0898,0.0898,0.0898,4.48717948,
1628632260000,0.0909,0.0909,0.0909,0.0909,0.00122924,
1628632320000,0.0898,0.0898,0.0898,0.0898,0.00109286,
1628632740000,0.0909,0.0909,0.0909,0.0909,4.48717948,
1628633100000,0.0898,0.0896,0.0898,0.0896,42.22754025,
1628633340000,0.0897,0.0895,0.0897,0.0895,38.88488894,
1628633460000,0.0897,0.0897,0.0897,0.0897,0.06997147,
1628633640000,0.0897,0.0897,0.0897,0.0897,0.00889548,
1628634120000,0.0897,0.0895,0.0897,0.0895,38.88488894,
