time,open,close,high,low,volume,Unnamed: 0
1628623080000,8.3619,8.3619,8.3619,8.3619,4.18096362,
1628623140000,8.3955,8.3955,8.3955,8.3955,6.95895039,
1628623260000,8.4326,8.4494,8.4494,8.4326,50.0,
1628623620000,8.4549,8.4549,8.4549,8.4549,71.94590439,
1628623680000,8.5172,8.5051,8.5235,8.5051,177.02119855,
1628623860000,8.4244,8.3933,8.4244,8.3933,130.7431678,
1628624340000,8.4508,8.4508,8.4508,8.4508,0.24618279,
1628624760000,8.3887,8.4097,8.4097,8.3833,323.87040324,
1628625120000,8.3303,8.3519,8.3519,8.3239,71.3040554,
1628625180000,8.3486,8.355,8.355,8.3486,291.53245427,
1628625420000,8.3509,8.3509,8.3509,8.3509,7.00135827,
1628625540000,8.3521,8.3524,8.3524,8.3521,8.39267866,
1628625780000,8.361,8.361,8.361,8.361,4.19302133,
1628625840000,8.3603,8.3603,8.3603,8.3603,30.455,
1628625900000,8.3373,8.3386,8.3386,8.3373,8.41408698,
1628626020000,8.3544,8.3544,8.3544,8.3544,4.19361306,
1628626200000,8.3585,8.3585,8.3585,8.3585,6.98908814,
1628626260000,8.356,8.356,8.356,8.356,1.39831624,
1628626320000,8.3562,8.3562,8.3562,8.3562,5.59756263,
1628626380000,8.3642,8.3642,8.3642,8.3642,2.79790488,
1628626500000,8.3676,8.3676,8.3676,8.3676,4.19192975,
1628626560000,8.3957,8.3991,8.3991,8.3957,6.96518779,
1628626620000,8.4072,8.4072,8.4072,8.4072,1.39009663,
1628626740000,8.4136,8.4299,8.4299,8.4136,8.8,
1628626800000,8.4079,8.4079,8.4079,8.4079,4.1663205,
1628626860000,8.4412,8.4477,8.4479,8.4412,358.62775077,
1628627040000,8.439,8.439,8.439,8.439,0.20207054,
1628627100000,8.478,8.478,8.478,8.478,8.26589376,
1628627580000,8.4272,8.4272,8.4272,8.4272,0.24404273,
1628627640000,8.4182,8.4182,8.4182,8.4182,0.23433788,
1628627820000,8.3815,8.3815,8.3815,8.3815,2.64327056,
1628627940000,8.3709,8.3709,8.3709,8.3709,0.30750175,
1628628060000,8.3512,8.3571,8.3571,8.3512,8.405439099999999,
1628628300000,8.3543,8.3603,8.3603,8.3543,6.99834781,
