time,open,close,high,low,volume,Unnamed: 0
1628623140000,8.4021,8.4021,8.4021,8.4021,8.31329239,
1628623260000,8.4141,8.4141,8.4141,8.4141,4.16657927,
1628623680000,8.519,8.519,8.5193,8.519,50.60629001,
1628623740000,8.4863,8.4863,8.4863,8.4863,0.41747642,
1628623980000,8.4361,8.4361,8.4361,8.4361,0.45272953,
1628624460000,8.4463,8.4463,8.4463,8.4463,0.20508307,
1628624520000,8.4044,8.4141,8.4141,8.4044,0.49322382,
1628624760000,8.3811,8.3811,8.3811,8.3811,61.953,
1628625180000,8.33,8.3483,8.3483,8.33,71.01932961,
1628625420000,8.3507,8.3507,8.3507,8.3507,7.000277049999999,
1628625540000,8.3525,8.3527,8.3527,8.3525,5.59581687,
1628625600000,8.3581,8.3581,8.3581,8.3581,2.79780938,
1628625780000,8.3599,8.3599,8.3599,8.3599,4.19419903,
1628625900000,8.3365,8.3474,8.3474,8.3365,9.8090704,
1628625960000,8.3325,8.3325,8.3325,8.3325,3.158,
1628626020000,8.3495,8.3495,8.3495,8.3495,4.19568031,
1628626200000,8.3575,8.3575,8.3575,8.3575,6.9884648,
1628626500000,8.3659,8.3847,8.3847,8.3659,8.35904674,
1628626620000,8.4014,8.3795,8.4014,8.3795,4.52005643,
1628626680000,8.4088,8.4088,8.4088,8.4088,2.77803902,
1628626800000,8.402,8.4078,8.4078,8.402,5.55789963,
1628626860000,8.4164,8.4512,8.4512,8.4164,32.25411863,
1628627100000,8.4702,8.4772,8.4772,8.4702,11.03867071,
1628627580000,8.431,8.431,8.431,8.431,4.16132367,
1628628060000,8.3494,8.3494,8.3494,8.3494,4.20435678,
1628628120000,8.3632,8.3632,8.3632,8.3632,4.1975316,
1628628300000,8.3524,8.3585,8.3585,8.3524,6.99987187,
1628628360000,8.3655,8.3655,8.3655,8.3655,1.3980005,
1628628420000,8.3584,8.3584,8.3584,8.3584,4.19963312,
1628628540000,8.346,8.346,8.346,8.346,2.80156237,
1628628600000,8.3552,8.3552,8.3552,8.3552,7.00387003,
1628628720000,8.371,8.3741,8.3741,8.371,5.58196409,
1628628780000,8.4044,8.4044,8.4044,8.4044,2.78082173,
1628628840000,8.4097,8.4097,8.4097,8.4097,4.17537322,
1628629380000,8.3825,8.3825,8.3825,8.3825,0.20442183,
1628629440000,8.3814,8.3814,8.3814,8.3814,1.39495055,
1628629560000,8.3774,8.3774,8.3774,8.3774,4.19196959,
1628629680000,8.3754,8.3754,8.3754,8.3754,2.78687969,
1628629800000,8.3603,8.3603,8.3603,8.3603,1.39966293,
1628629860000,8.3556,8.3556,8.3556,8.3556,4.20142055,
1628629920000,8.3632,8.3632,8.3632,8.3632,2.79456682,
1628630280000,8.2854,8.2854,8.2854,8.2854,8.41968786,
1628630400000,8.3014,8.3014,8.3014,8.3014,4.22971566,
1628630460000,8.3184,8.3184,8.3184,8.3184,2.81433616,
1628630580000,8.2997,8.2997,8.2997,8.2997,1.40412317,
1628630640000,8.3006,8.3006,8.3006,8.3006,7.04454585,
1628630700000,8.3326,8.3326,8.3326,8.3326,4.20617261,
1628630820000,8.3558,8.3576,8.3576,8.3558,6.99924283,
1628630880000,8.3455,8.3455,8.3455,8.3455,0.26419492,
1628631180000,8.3335,8.3335,8.3335,8.3335,47.15445674,
1628631300000,8.3111,8.3111,8.3111,8.3111,4.22435372,
1628631360000,8.3142,8.3142,8.3142,8.3142,4.22232125,
1628631840000,8.2344,8.2344,8.2344,8.2344,0.24886642,
1628631960000,8.2485,8.2485,8.2485,8.2485,7.0951439,
1628632200000,8.2305,8.2305,8.2305,8.2305,4.2646092,
1628632380000,8.2238,8.2238,8.2238,8.2238,2.84301798,
1628632440000,8.2324,8.2324,8.2324,8.2324,4.26451966,
1628632920000,8.2381,8.2381,8.2381,8.2381,0.21418024,
1628633280000,8.2315,8.2607,8.2607,8.2315,8.46491409,
1628633400000,8.297,8.297,8.297,8.297,4.23168231,
1628634000000,8.2836,8.2836,8.2836,8.2836,0.23073372,
1628634420000,8.2456,8.2456,8.2456,8.2456,1.41966222,
1628634600000,8.244,8.2517,8.2517,8.244,11.32599807,
1628634780000,8.247,8.247,8.247,8.247,1.41911105,
1628634840000,8.25,8.25,8.25,8.25,2.8359136,
1628635020000,8.2335,8.2335,8.2335,8.2335,2.84063453,
1628635260000,8.1836,8.1836,8.1836,8.1836,1.42957618,
1628635380000,8.1882,8.1882,8.1882,8.1882,2.85963771,
1628635560000,8.1951,8.1951,8.1951,8.1951,4.28616945,
1628635620000,8.2026,8.2039,8.2039,8.2026,4.27923477,
1628635980000,8.1391,8.1391,8.1391,8.1391,48.58332157,
1628636040000,8.1268,8.1316,8.1316,8.1268,17.270198399999998,
1628636100000,8.143,8.143,8.143,8.143,1.43688853,
1628636160000,8.1338,8.1338,8.1338,8.1338,2.87898208,
1628636220000,8.1497,8.1497,8.1497,8.1497,4.30121428,
1628636520000,8.1631,8.1631,8.1631,8.1631,1.43466478,
1628636760000,8.1787,8.1787,8.1787,8.1787,0.25548368,
1628637120000,8.1484,8.1484,8.1484,8.1484,0.29713946,
1628637300000,8.1743,8.1743,8.1743,8.1743,2.85913213,
1628637840000,8.1449,8.1449,8.1449,8.1449,0.24231801,
1628638140000,8.1191,8.0919,8.1191,8.0919,51.986504880000005,
1628638260000,8.0826,8.1027,8.1027,8.0826,9.41309037,
1628638320000,8.1035,8.1035,8.1035,8.1035,2.88726646,
1628638500000,8.1568,8.1597,8.1597,8.1568,7.15240241,
1628638560000,8.1641,8.1641,8.1641,8.1641,1.4335526,
1628638620000,8.1376,8.1376,8.1376,8.1376,0.27122722,
1628638800000,8.1435,8.1438,8.1438,8.1435,7.16681189,
1628638860000,8.1262,8.1262,8.1262,8.1262,47.67643038,
1628638980000,8.1313,8.1313,8.1313,8.1313,1.43915477,
1628639040000,8.1519,8.1529,8.1529,8.1519,7.14941598,
1628639460000,8.1485,8.1485,8.1485,8.1485,1.43430667,
1628639520000,8.1542,8.1551,8.1551,8.1542,5.73924511,
1628639580000,8.1726,8.1726,8.1726,8.1726,4.29088276,
1628639700000,8.1741,8.1741,8.1741,8.1741,2.8619862,
1628639880000,8.1824,8.1824,8.1824,8.1824,1.42949385,
1628639940000,8.1857,8.1857,8.1857,8.1857,2.86040207,
1628640000000,8.1927,8.1927,8.1927,8.1927,4.28663019,
1628640120000,8.1856,8.1943,8.1943,8.1856,11.38546369,
1628640180000,8.217,8.217,8.217,8.217,1.41460524,
1628640300000,8.2117,8.223,8.223,8.2117,7.108994880000001,
1628640420000,8.2219,8.2216,8.2219,8.2216,4.50316075,
1628640600000,8.2258,8.2258,8.2258,8.2258,1.41960389,
1628640960000,8.239,8.2459,8.2459,8.239,4.25581331,
1628641500000,8.1429,8.1429,8.1429,8.1429,0.23351632,
1628641560000,8.1231,8.1231,8.1231,8.1231,0.23649699,
1628641620000,8.1419,8.1419,8.1419,8.1419,2.87390631,
1628641680000,8.1505,8.1616,8.1616,8.1505,8.602310419999998,
1628641800000,8.1894,8.1841,8.1894,8.1841,5.70565066,
1628641860000,8.1972,8.1972,8.1972,8.1972,2.85003879,
1628642400000,8.1225,8.1225,8.1225,8.1225,0.25009335,
1628642520000,8.133,8.133,8.133,8.133,2.87632892,
1628642700000,8.1386,8.1386,8.1386,8.1386,1.43647421,
1628643000000,8.1372,8.1372,8.1372,8.1372,1.43114954,
1628643060000,8.1438,8.1438,8.1438,8.1438,2.87207415,
1628643480000,8.1254,8.1254,8.1254,8.1254,1.43890967,
1628643540000,8.1374,8.1374,8.1374,8.1374,1.43637178,
1628643600000,8.1558,8.1558,8.1558,8.1558,2.86594308,
1628644140000,8.13,8.13,8.13,8.13,0.2272273,
1628644200000,8.1347,8.1347,8.1347,8.1347,2.87694016,
1628644740000,8.1574,8.1574,8.1574,8.1574,1.434018,
1628644920000,8.188,8.188,8.188,8.188,4.28698889,
1628645400000,8.2224,8.2208,8.2225,8.2208,4.52975628,
1628646000000,8.1989,8.1989,8.1989,8.1989,0.22385023,
1628646480000,8.1892,8.1892,8.1892,8.1892,0.22935812,
1628646600000,8.2057,8.2057,8.2057,8.2057,2.85085897,
1628646840000,8.2126,8.2126,8.2126,8.2126,1.42605681,
1628647200000,8.2284,8.2435,8.2435,8.2284,4.25893983,
