time,open,close,high,low,volume
1685775960000,1.4663,1.4663,1.4663,1.4663,2.72580202
1685776320000,1.4642,1.4642,1.4642,1.4642,3.61394094
1685777760000,1.4679,1.4679,1.4679,1.4679,2.59604186
1685779200000,1.4698,1.4698,1.4698,1.4698,2.36527647
1685780880000,1.4692,1.4692,1.4692,1.4692,3.49071589
1685781240000,1.4706,1.4706,1.4706,1.4706,3.01565819
1685782260000,1.4677,1.4677,1.4677,1.4677,2.43696982
1685783460000,1.4698,1.4698,1.4698,1.4698,3.17667064
1685784180000,1.472,1.472,1.472,1.472,496.06
1685785620000,1.4695,1.4695,1.4695,1.4695,2.33454989
1685786700000,1.4785,1.4785,1.4785,1.4785,3.33646428
1685786940000,1.4817,1.4817,1.4817,1.4817,701.66336428
1685787000000,1.4802,1.4802,1.4802,1.4802,387.14
1685787720000,1.4791,1.4791,1.4791,1.4791,706.44663215
1685788560000,1.484,1.484,1.484,1.484,100.0
1685789460000,1.4885,1.4885,1.4885,1.4885,2.23762529
1685789820000,1.4843,1.4843,1.4843,1.4843,3.61775048
1685791380000,1.4846,1.4846,1.4846,1.4846,235.58
1685792280000,1.4869,1.4869,1.4869,1.4869,3.47726829
1685792760000,1.4859,1.4859,1.4859,1.4859,3.52412452
1685793540000,1.4833,1.4833,1.4833,1.4833,3.1917914
1685794800000,1.4791,1.4791,1.4791,1.4791,2.84506276
1685796600000,1.4837,1.4837,1.4837,1.4837,3.53858923
1685797740000,1.4758,1.4758,1.4758,1.4758,3.64011831
1685798880000,1.4787,1.4787,1.4787,1.4787,2.00298923
1685799900000,1.4802,1.4802,1.4802,1.4802,2.5457192
1685800200000,1.481,1.481,1.481,1.481,3.15933904
1685801280000,1.4783,1.4783,1.4783,1.4783,2.03158494
1685801940000,1.4847,1.4869,1.4869,1.4847,914.96638137
1685802780000,1.494,1.494,1.494,1.494,3.53134864
1685803800000,1.4994,1.4994,1.4994,1.4994,2.08888472
1685803860000,1.4968,1.4968,1.4968,1.4968,497.0
1685804400000,1.4973,1.4974,1.4974,1.4973,70.10598444
1685804580000,1.4947,1.4947,1.4947,1.4947,9.96
1685805060000,1.4964,1.5203,1.5203,1.4964,815.6730428999999
1685806020000,1.5067,1.5067,1.5067,1.5067,3.33839103
1685806440000,1.5191,1.5217,1.5217,1.5191,690.54991789
1685807460000,1.5329,1.5329,1.5329,1.5329,3.96111801
1685807760000,1.5323,1.5323,1.5323,1.5323,210.0
1685808540000,1.5192,1.5192,1.5192,1.5192,230.17497
1685809440000,1.5159,1.5159,1.5159,1.5159,2.7204483
1685809980000,1.5098,1.5098,1.5098,1.5098,692.81
1685810040000,1.5129,1.5129,1.5129,1.5129,417.68
1685810820000,1.5079,1.5079,1.5079,1.5079,373.95
1685811240000,1.5054,1.5054,1.5054,1.5054,30.005773
1685812380000,1.4993,1.4993,1.4993,1.4993,3.43385312
1685812620000,1.4937,1.4937,1.4937,1.4937,30.0
1685812860000,1.4942,1.4942,1.4942,1.4942,3.19743186
1685813040000,1.4943,1.4943,1.4943,1.4943,699.57838127
1685813460000,1.4914,1.4914,1.4914,1.4914,701.8571653700001
1685814360000,1.4862,1.4862,1.4862,1.4862,3.63000337
1685814720000,1.4966,1.4966,1.4966,1.4966,210.0
1685814840000,1.4973,1.4973,1.4973,1.4973,2.63475604
1685815560000,1.4919,1.4919,1.4919,1.4919,3.54127819
1685816760000,1.4939,1.4939,1.4939,1.4939,3.4771418
1685817900000,1.499,1.499,1.499,1.499,2.14424568
1685818320000,1.4918,1.4918,1.4918,1.4918,3.6090628
1685819040000,1.4921,1.4921,1.4921,1.4921,701.52693365
1685820060000,1.4868,1.4868,1.4868,1.4868,3.26622285
1685821620000,1.4882,1.4882,1.4882,1.4882,3.42705292
1685822460000,1.4801,1.4801,1.4801,1.4801,2.6834018
1685824500000,1.4867,1.4867,1.4867,1.4867,2.62503257
1685824800000,1.4863,1.4863,1.4863,1.4863,701.51466441
1685824860000,1.4831,1.4831,1.4831,1.4831,3.05213276
1685826060000,1.4795,1.4795,1.4795,1.4795,3.55598479
1685826360000,1.4818,1.4808,1.4818,1.4808,278.58044183
1685826420000,1.4815,1.4815,1.4815,1.4815,2.53127644
1685826780000,1.4744,1.4744,1.4744,1.4744,244.79
1685828160000,1.472,1.472,1.472,1.472,246.26742
1685829720000,1.4701,1.4701,1.4701,1.4701,63.0
1685830740000,1.4754,1.4754,1.4754,1.4754,3.03985833
1685831160000,1.4765,1.4765,1.4765,1.4765,3.33225933
1685832060000,1.4803,1.4803,1.4803,1.4803,3.26314303
1685833320000,1.4841,1.4841,1.4841,1.4841,3.33415339
1685834160000,1.4794,1.4794,1.4794,1.4794,3.38717032
1685834520000,1.4813,1.4813,1.4813,1.4813,3.49526726
1685835420000,1.4788,1.4788,1.4788,1.4788,3.28433111
1685835900000,1.4773,1.4773,1.4773,1.4773,2.13105758
1685836800000,1.4784,1.4784,1.4784,1.4784,3.7864238
1685837160000,1.4789,1.4789,1.4789,1.4789,3.8891108
1685838420000,1.4772,1.4772,1.4772,1.4772,3.734708
1685839140000,1.471,1.471,1.471,1.471,3.62005005
1685840040000,1.4721,1.4721,1.4721,1.4721,3.26657767
1685840520000,1.4718,1.4718,1.4718,1.4718,3.39041082
1685841360000,1.4735,1.4735,1.4735,1.4735,3.1567945
1685843340000,1.4714,1.4714,1.4714,1.4714,3.78565235
1685843760000,1.4749,1.4749,1.4749,1.4749,2.93869848
1685845440000,1.4737,1.4737,1.4737,1.4737,2.23915467
1685847420000,1.4781,1.4781,1.4781,1.4781,2.10008962
1685848380000,1.4768,1.4768,1.4768,1.4768,2.33098691
1685849520000,1.4729,1.4729,1.4729,1.4729,3.04924668
1685849700000,1.4739,1.4739,1.4739,1.4739,2.12233932
1685851380000,1.4651,1.4651,1.4651,1.4651,2.10805784
1685852520000,1.4624,1.4624,1.4624,1.4624,3.06482488
1685854080000,1.4603,1.4603,1.4603,1.4603,3.27974885
