time,open,close,high,low,volume
1685775660000,1.4643,1.4643,1.4643,1.4643,2.11694706
1685777880000,1.4674,1.4674,1.4674,1.4674,3.8125112
1685778240000,1.4685,1.4685,1.4685,1.4685,2.27175895
1685779620000,1.4697,1.4697,1.4697,1.4697,3.61592188
1685779980000,1.4693,1.4693,1.4693,1.4693,426.6
1685782260000,1.4669,1.4669,1.4669,1.4669,2.17453047
1685783460000,1.469,1.469,1.469,1.469,2.56002529
1685783880000,1.4723,1.4723,1.4723,1.4723,3.31633725
1685784780000,1.4718,1.4718,1.4718,1.4718,3.72559533
1685785620000,1.4688,1.4688,1.4688,1.4688,2.95459403
1685786700000,1.478,1.478,1.478,1.478,2.52330536
1685786940000,1.4812,1.4812,1.4812,1.4812,701.66336428
1685787000000,1.4783,1.4783,1.4783,1.4783,3.85009095
1685787720000,1.4784,1.4784,1.4784,1.4784,706.45
1685788860000,1.4899,1.4899,1.4899,1.4899,3.48269698
1685790060000,1.4817,1.4817,1.4817,1.4817,2.5042146
1685791080000,1.4844,1.4844,1.4844,1.4844,3.44024416
1685791380000,1.484,1.484,1.484,1.484,235.68
1685792280000,1.4863,1.4863,1.4863,1.4863,2.29253022
1685792760000,1.4853,1.4853,1.4853,1.4853,3.16683701
1685793540000,1.4844,1.4844,1.4844,1.4844,3.26007306
1685793660000,1.4818,1.4818,1.4818,1.4818,355.915
1685794800000,1.4783,1.4783,1.4783,1.4783,2.66947531
1685795460000,1.4822,1.4822,1.4822,1.4822,61.83894541
1685795640000,1.4765,1.4759,1.4765,1.4759,703.4
1685795820000,1.4808,1.4808,1.4808,1.4808,236.92141
1685795880000,1.4832,1.4832,1.4832,1.4832,93.7045229
1685796060000,1.4861,1.4861,1.4861,1.4861,23.39409926
1685796840000,1.4812,1.4812,1.4812,1.4812,3.02534444
1685797920000,1.4763,1.4763,1.4763,1.4763,3.28423213
1685798940000,1.4791,1.4791,1.4791,1.4791,3.61560488
1685801820000,1.4835,1.4835,1.4835,1.4835,3.36260292
1685801940000,1.484,1.484,1.484,1.484,59.26512396
