time,open,close,high,low,volume
1682761500000,1.7471,1.7471,1.7471,1.7471,3.81013844
1682761920000,1.7481,1.7481,1.7481,1.7481,3.025678
1682762820000,1.7534,1.7534,1.7534,1.7534,3.3914238
1682763840000,1.7678,1.7678,1.7678,1.7678,3.0442036
1682764860000,1.7695,1.7695,1.7695,1.7695,3.92642866
1682765220000,1.7653,1.7653,1.7653,1.7653,2.59929162
1682765880000,1.7572,1.7501,1.7572,1.7501,10382.41354144
1682766840000,1.7477,1.7477,1.7477,1.7477,2.13015151
1682767680000,1.7437,1.7437,1.7437,1.7437,2.57757947
1682769000000,1.7434,1.7434,1.7434,1.7434,2.46192365
1682769840000,1.7459,1.7459,1.7459,1.7459,3.31264556
1682771100000,1.7524,1.7524,1.7524,1.7524,3.89347498
1682772240000,1.7503,1.7503,1.7503,1.7503,2.57132838
1682773020000,1.7444,1.744,1.7444,1.744,4.00170367
1682774400000,1.7456,1.7467,1.7467,1.7456,7.00355957
1682776320000,1.7486,1.7486,1.7486,1.7486,3.04588394
1682777520000,1.7411,1.7411,1.7411,1.7411,2.11426543
1682778720000,1.7528,1.7528,1.7528,1.7528,2.05507006
1682779080000,1.7535,1.7535,1.7535,1.7535,3.63769601
1682780640000,1.7494,1.7494,1.7494,1.7494,3.84039111
1682781060000,1.7555,1.7555,1.7555,1.7555,3.5998245
1682782080000,1.7522,1.7522,1.7522,1.7522,2.24806617
1682783340000,1.7443,1.7443,1.7443,1.7443,3.93372046
1682783760000,1.7418,1.7418,1.7418,1.7418,3.81577494
1682784720000,1.7429,1.7429,1.7429,1.7429,63.0
1682784840000,1.7408,1.7403,1.7408,1.7403,80.63280627
1682785920000,1.7374,1.7374,1.7374,1.7374,2.5266581
1682787060000,1.7406,1.7406,1.7406,1.7406,3.72741791
1682788260000,1.7441,1.7441,1.7441,1.7441,2.7629263
1682789400000,1.7313,1.7302,1.7313,1.7302,7.00143715
1682789520000,1.7257,1.7257,1.7257,1.7257,63.0
1682789640000,1.7281,1.7281,1.7281,1.7281,144.69267276
1682789760000,1.7271,1.7271,1.7271,1.7271,63.0
1682789880000,1.7268,1.7268,1.7268,1.7268,21.897227
1682790780000,1.7297,1.7297,1.7297,1.7297,2.11982457
1682791140000,1.7297,1.7297,1.7297,1.7297,3.55509554
1682792160000,1.7374,1.7374,1.7374,1.7374,2.77168199
1682793300000,1.7398,1.7398,1.7398,1.7398,2.32287649
1682794020000,1.7386,1.7386,1.7386,1.7386,63.0
1682795400000,1.7372,1.7372,1.7372,1.7372,2.29296597
1682795880000,1.7361,1.7361,1.7361,1.7361,3.76591673
1682796720000,1.7388,1.7388,1.7388,1.7388,2.31333889
1682797140000,1.7471,1.7471,1.7471,1.7471,2.94370765
1682798340000,1.7415,1.7415,1.7415,1.7415,3.22570247
1682798820000,1.7481,1.7481,1.7481,1.7481,2.17786564
1682799960000,1.7442,1.7442,1.7442,1.7442,3.36069997
1682800320000,1.7464,1.7464,1.7464,1.7464,3.46438133
1682801460000,1.7396,1.7396,1.7396,1.7396,2.26296813
1682802720000,1.7363,1.7363,1.7363,1.7363,3.68034141
1682803980000,1.7345,1.7345,1.7345,1.7345,2.07089867
1682804820000,1.7345,1.7345,1.7345,1.7345,63.0
1682805720000,1.7367,1.7367,1.7367,1.7367,3.77907981
1682806500000,1.7322,1.7322,1.7322,1.7322,2.12704549
1682807580000,1.7359,1.7364,1.7364,1.7359,4.01
1682808900000,1.7392,1.7392,1.7392,1.7392,3.84957181
1682809200000,1.7337,1.7337,1.7337,1.7337,3.94879207
1682810820000,1.7358,1.7358,1.7358,1.7358,3.05961528
1682812680000,1.7398,1.7398,1.7398,1.7398,3.13486335
1682813100000,1.7377,1.7377,1.7377,1.7377,2.8298587
1682814300000,1.7353,1.7353,1.7353,1.7353,2.33581182
1682815080000,1.731,1.731,1.731,1.731,3.52166043
1682815440000,1.729,1.729,1.729,1.729,3.02922685
1682816580000,1.7252,1.7252,1.7252,1.7252,3.2306427
1682818860000,1.7222,1.7222,1.7222,1.7222,3.04500159
1682820000000,1.7066,1.7066,1.7066,1.7066,2.0
1682820900000,1.7144,1.7144,1.7144,1.7144,2.55143088
1682822340000,1.7114,1.7114,1.7114,1.7114,2.43015902
1682822700000,1.712,1.712,1.712,1.712,3.80311026
1682824140000,1.715,1.715,1.715,1.715,2.23033716
1682824320000,1.713,1.713,1.713,1.713,63.0
1682825280000,1.7077,1.7077,1.7077,1.7077,2.55627219
1682826480000,1.7101,1.7101,1.7101,1.7101,2.46
1682826780000,1.71,1.71,1.71,1.71,3.17450248
1682827260000,1.7095,1.7096,1.7096,1.7095,133.36
1682827500000,1.7117,1.7118,1.7118,1.7117,133.16
1682830020000,1.715,1.715,1.715,1.715,3.53046256
1682830440000,1.7186,1.7186,1.7186,1.7186,3.66205286
1682831280000,1.7131,1.7131,1.7131,1.7131,2.90713262
1682831760000,1.7173,1.7173,1.7173,1.7173,3.00939263
1682833440000,1.7195,1.7195,1.7195,1.7195,2.34163959
1682834520000,1.7223,1.7223,1.7223,1.7223,2.85973601
1682835660000,1.7193,1.7193,1.7193,1.7193,3.92453607
1682836080000,1.7213,1.7213,1.7213,1.7213,3.01767131
1682838240000,1.7179,1.7179,1.7179,1.7179,3.11784642
1682840400000,1.7154,1.7154,1.7154,1.7154,2.24524772
1682840760000,1.7157,1.7157,1.7157,1.7157,3.80985606
1682842260000,1.7107,1.7107,1.7107,1.7107,2.01684473
1682843400000,1.7169,1.7169,1.7169,1.7169,2.08159973
1682844540000,1.7149,1.7149,1.7149,1.7149,3.92151946
1682846580000,1.7131,1.7131,1.7131,1.7131,3.43767105
1682846760000,1.7139,1.7139,1.7139,1.7139,3.0
1682848260000,1.715,1.715,1.715,1.715,2.8533438
1682849340000,1.7184,1.7184,1.7184,1.7184,3.2220922
1682849700000,1.7234,1.7234,1.7234,1.7234,2.2487469
1682850780000,1.7199,1.7199,1.7199,1.7199,3.16579028
1682851680000,1.7127,1.7116,1.7127,1.7116,658.310966
1682852580000,1.7129,1.7129,1.7129,1.7129,3.82344176
1682853360000,1.7098,1.7098,1.7098,1.7098,2.5022677
1682854980000,1.7064,1.7064,1.7064,1.7064,2.21919923
1682856300000,1.7,1.7,1.7,1.7,2.0
1682857920000,1.7017,1.7017,1.7017,1.7017,2.64638478
1682858760000,1.7045,1.7045,1.7045,1.7045,3.80001624
1682859120000,1.7081,1.7081,1.7081,1.7081,2.34079676
1682859480000,1.7057,1.7057,1.7057,1.7057,63.0
1682859660000,1.7051,1.7051,1.7051,1.7051,2.27821431
1682860380000,1.7087,1.7087,1.7087,1.7087,3.53924654
1682861400000,1.71,1.7091,1.71,1.7091,1481.1996720000002
1682864220000,1.7054,1.7054,1.7054,1.7054,3.98264642
1682865300000,1.708,1.708,1.708,1.708,2.3636378
1682866500000,1.7149,1.7149,1.7149,1.7149,3.47908583
1682866860000,1.7176,1.7176,1.7176,1.7176,3.42598455
1682867880000,1.7302,1.7302,1.7302,1.7302,2.65498568
1682868300000,1.73,1.73,1.73,1.73,3.00144616
1682869920000,1.7214,1.7214,1.7214,1.7214,3.20790864
1682870340000,1.7276,1.7276,1.7276,1.7276,2.62906395
1682871480000,1.7327,1.7327,1.7327,1.7327,2.27308279
1682875920000,1.7298,1.7298,1.7298,1.7298,3.26767924
1682877240000,1.7253,1.7253,1.7253,1.7253,2.19550355
1682878800000,1.7287,1.7287,1.7287,1.7287,3.49592571
1682879100000,1.7268,1.7268,1.7268,1.7268,3.64558732
1682880300000,1.7232,1.7232,1.7232,1.7232,63.0
1682881680000,1.7221,1.7221,1.7221,1.7221,3.71772697
1682882160000,1.7147,1.7147,1.7147,1.7147,3.01002563
1682882940000,1.7031,1.7031,1.7031,1.7031,2.70783267
1682885160000,1.6871,1.6871,1.6871,1.6871,2.69745921
1682885520000,1.6854,1.6854,1.6854,1.6854,2.34076347
1682886600000,1.6947,1.6947,1.6947,1.6947,3.4367023
1682888040000,1.6972,1.6972,1.6972,1.6972,2.69615835
1682888100000,1.6975,1.6975,1.6975,1.6975,63.0
1682889240000,1.6985,1.6985,1.6985,1.6985,2.03921494
1682889540000,1.6992,1.6992,1.6992,1.6992,3.18172036
1682889720000,1.6968,1.6968,1.6968,1.6968,63.0
1682891220000,1.6947,1.6947,1.6947,1.6947,3.56734036
1682892840000,1.698,1.698,1.698,1.698,63.0
1682893800000,1.7023,1.7023,1.7023,1.7023,3.86163516
1682895120000,1.7047,1.7047,1.7047,1.7047,2.04992652
1682896260000,1.7093,1.7093,1.7093,1.7093,2.49572192
1682897220000,1.7061,1.7061,1.7061,1.7061,3.27112233
1682898480000,1.7034,1.7034,1.7034,1.7034,2.54954511
1682899320000,1.6959,1.6959,1.6959,1.6959,2.95922719
1682899740000,1.7019,1.7019,1.7019,1.7019,2.24010839
1682900520000,1.6974,1.6974,1.6974,1.6974,3.11488576
1682900940000,1.7015,1.7015,1.7015,1.7015,3.27372183
1682901840000,1.7062,1.7062,1.7062,1.7062,3.62146675
1682902680000,1.703,1.703,1.703,1.703,3.20654862
1682903100000,1.7016,1.7016,1.7016,1.7016,3.38785409
1682904360000,1.697,1.697,1.697,1.697,3.61586161
1682905080000,1.6871,1.6867,1.6871,1.6867,4.04854569
1682906160000,1.653,1.653,1.653,1.653,3.52084085
1682906580000,1.6638,1.6638,1.6638,1.6638,3.16006763
1682907480000,1.6693,1.6693,1.6693,1.6693,3.9833401
1682907900000,1.6649,1.6649,1.6649,1.6649,3.91420378
1682908980000,1.6695,1.6685,1.6695,1.6685,15.70227436
1682913120000,1.6662,1.6662,1.6662,1.6662,2.40278352
1682913600000,1.6706,1.6706,1.6706,1.6706,3.99581425
1682914500000,1.6671,1.6671,1.6671,1.6671,2.08968112
1682914920000,1.6633,1.6633,1.6633,1.6633,2.43932181
1682915760000,1.6685,1.6685,1.6685,1.6685,2.44949239
1682916600000,1.6739,1.6739,1.6739,1.6739,3.85480793
1682917860000,1.6748,1.6748,1.6748,1.6748,3.46244241
1682918760000,1.6788,1.6788,1.6788,1.6788,2.47938247
1682919180000,1.6729,1.6729,1.6729,1.6729,2.9305309
1682921160000,1.6772,1.6772,1.6772,1.6772,3.83007853
1682922060000,1.6805,1.6805,1.6805,1.6805,3.46517481
1682924820000,1.6859,1.6859,1.6859,1.6859,3.47166184
1682925780000,1.6827,1.6827,1.6827,1.6827,2.23581055
1682926980000,1.6817,1.6817,1.6817,1.6817,3.37778725
1682927340000,1.6806,1.6806,1.6806,1.6806,2.89172313
1682928540000,1.6846,1.6846,1.6846,1.6846,2.37172306
1682929620000,1.6804,1.6804,1.6804,1.6804,2.64923473
1682930820000,1.683,1.683,1.683,1.683,2.49764251
1682933520000,1.6822,1.6822,1.6822,1.6822,63.0
1682934660000,1.6782,1.6782,1.6782,1.6782,3.57898137
1682935080000,1.6776,1.6776,1.6776,1.6776,2.92590624
1682935800000,1.6792,1.6792,1.6792,1.6792,3.66946762
1682936280000,1.6829,1.6829,1.6829,1.6829,2.4423731
1682937000000,1.6819,1.6819,1.6819,1.6819,3.51897963
1682938080000,1.6788,1.6788,1.6788,1.6788,2.21362287
1682938440000,1.6781,1.6781,1.6781,1.6781,3.95816348
1682939580000,1.6762,1.6762,1.6762,1.6762,2.4748113
1682942040000,1.6781,1.6781,1.6781,1.6781,2.57520606
1682944560000,1.6811,1.6811,1.6811,1.6811,3.63533558
1682946120000,1.6786,1.6786,1.6786,1.6786,2.19828932
1682948640000,1.6756,1.6756,1.6756,1.6756,3.51775331
1682949060000,1.6746,1.6746,1.6746,1.6746,2.65580721
1682949600000,1.6612,1.6612,1.6612,1.6612,2.0
1682950680000,1.677,1.677,1.677,1.677,3.0127046
1682951100000,1.6724,1.6724,1.6724,1.6724,2.47974342
1682953800000,1.6694,1.6694,1.6694,1.6694,2.41589662
1682954520000,1.6612,1.6612,1.6612,1.6612,100.0
1682955960000,1.6629,1.6629,1.6629,1.6629,3.65845354
1682957220000,1.6613,1.6613,1.6613,1.6613,2.16777217
1682958060000,1.6537,1.6537,1.6537,1.6537,2.39274803
1682958840000,1.6546,1.6546,1.6546,1.6546,2.45628557
1682959320000,1.6605,1.6605,1.6605,1.6605,3.81980598
1682959440000,1.6605,1.6605,1.6605,1.6605,245.93
1682959560000,1.6605,1.6605,1.6605,1.6605,0.00019402
1682960580000,1.6698,1.6698,1.6698,1.6698,3.52655904
1682960940000,1.6703,1.6703,1.6703,1.6703,2.12784649
1682961720000,1.6645,1.6645,1.6645,1.6645,3.32814033
1682963040000,1.6685,1.6685,1.6685,1.6685,3.28941043
1682963400000,1.6693,1.6693,1.6693,1.6693,2.96152536
1682964240000,1.666,1.666,1.666,1.666,3.84691513
1682964720000,1.6657,1.6657,1.6657,1.6657,63.0
1682966100000,1.6614,1.6614,1.6614,1.6614,2.66092543
1682966520000,1.6598,1.6598,1.6598,1.6598,3.01863284
1682968500000,1.6419,1.6419,1.6419,1.6419,2.0
1682969580000,1.6557,1.6557,1.6557,1.6557,2.32476268
1682969940000,1.6487,1.6487,1.6487,1.6487,3.31447049
1682971080000,1.6518,1.6518,1.6518,1.6518,2.69652984
1682971500000,1.6576,1.6576,1.6576,1.6576,2.60930529
1682971620000,1.656,1.656,1.656,1.656,63.0
1682972880000,1.6531,1.6531,1.6531,1.6531,2.61908222
1682973960000,1.6552,1.6552,1.6552,1.6552,3.70437284
1682974380000,1.6534,1.6534,1.6534,1.6534,2.87486864
1682975940000,1.656,1.656,1.656,1.656,2.2149117
1682976300000,1.6605,1.6605,1.6605,1.6605,2.3001969
1682977140000,1.6664,1.6664,1.6664,1.6664,2.32473905
1682977980000,1.6631,1.6631,1.6631,1.6631,2.68450178
1682978340000,1.6635,1.6635,1.6635,1.6635,3.62905195
1682979600000,1.6667,1.6667,1.6667,1.6667,3.01141651
1682980860000,1.6753,1.6753,1.6753,1.6753,2.61359923
1682981700000,1.6725,1.6725,1.6725,1.6725,3.92945594
1682982480000,1.6735,1.6735,1.6735,1.6735,3.98933665
1682983680000,1.6702,1.6702,1.6702,1.6702,3.36430536
1682984580000,1.6729,1.6729,1.6729,1.6729,3.20981586
1682984940000,1.6755,1.6755,1.6755,1.6755,2.85117012
1682986080000,1.6701,1.6701,1.6701,1.6701,3.87371744
1682986980000,1.6648,1.6648,1.6648,1.6648,3.49846999
1682987820000,1.6714,1.6714,1.6714,1.6714,2.92944792
1682988960000,1.6669,1.6669,1.6669,1.6669,3.18899689
1682989620000,1.6673,1.6673,1.6673,1.6673,63.0
1682990820000,1.6702,1.6702,1.6702,1.6702,2.82527476
1682992020000,1.6698,1.6698,1.6698,1.6698,3.82584734
1682992920000,1.665,1.665,1.665,1.665,3.5075082
1682995020000,1.6637,1.6637,1.6637,1.6637,3.78002002
1682996220000,1.6676,1.6676,1.6676,1.6676,3.55923956
1682997480000,1.6646,1.6646,1.6646,1.6646,2.69641177
1682998320000,1.6671,1.6671,1.6671,1.6671,3.95401145
1682999160000,1.672,1.672,1.672,1.672,2.58037078
1682999580000,1.6769,1.6769,1.6769,1.6769,2.72437595
1683002460000,1.6799,1.6799,1.6799,1.6799,2.80353803
1683003360000,1.674,1.674,1.674,1.674,3.17550764
1683003780000,1.6739,1.6739,1.6739,1.6739,3.25608985
1683004620000,1.6791,1.6791,1.6791,1.6791,3.08550497
1683005940000,1.6804,1.6804,1.6804,1.6804,2.27246362
1683006780000,1.6835,1.6835,1.6835,1.6835,2.72764204
1683007200000,1.6837,1.6837,1.6837,1.6837,2.87166087
1683008100000,1.6863,1.6863,1.6863,1.6863,3.25973941
1683010440000,1.6898,1.6898,1.6898,1.6898,3.33715997
1683010860000,1.6985,1.6985,1.6985,1.6985,3.09908289
1683013440000,1.7036,1.7036,1.7036,1.7036,2.85103465
1683014700000,1.6955,1.6955,1.6955,1.6955,13.659
1683015900000,1.6904,1.6904,1.6904,1.6904,3.22322444
1683016380000,1.6946,1.6946,1.6946,1.6946,2.37596239
1683017940000,1.6931,1.6931,1.6931,1.6931,3.45128678
1683018840000,1.6873,1.6873,1.6873,1.6873,3.62300992
1683019980000,1.6832,1.6832,1.6832,1.6832,2.00207995
1683021720000,1.6865,1.6865,1.6865,1.6865,3.84037031
1683022980000,1.6842,1.6842,1.6842,1.6842,3.89220329
1683023220000,1.6855,1.6855,1.6855,1.6855,29.780792
1683023400000,1.6862,1.6862,1.6862,1.6862,3.71145693
1683024660000,1.6931,1.6931,1.6931,1.6931,2.22962618
1683025020000,1.6867,1.6867,1.6867,1.6867,2.77360587
1683026820000,1.6904,1.6904,1.6904,1.6904,3.19120014
1683027120000,1.7012,1.7012,1.7012,1.7012,2.0741015
1683028500000,1.6899,1.6899,1.6899,1.6899,3.91303737
1683029040000,1.6911,1.6911,1.6911,1.6911,4.588285
1683029100000,1.6881,1.6881,1.6881,1.6881,2.300339
1683029760000,1.6859,1.6859,1.6859,1.6859,7.0
1683030600000,1.679,1.679,1.679,1.679,2.67710386
1683030780000,1.6808,1.6808,1.6808,1.6808,25.0
1683031140000,1.6864,1.6864,1.6864,1.6864,3.15106627
1683031980000,1.682,1.682,1.682,1.682,3.39477192
1683032700000,1.6832,1.6832,1.6832,1.6832,3.76907524
1683033600000,1.6793,1.6793,1.6793,1.6793,2.64020038
1683034440000,1.6816,1.6816,1.6816,1.6816,3.38958732
1683035400000,1.6761,1.6761,1.6761,1.6761,2.82861868
1683035460000,1.6731,1.6731,1.6731,1.6731,2.0
1683035880000,1.6706,1.6706,1.6706,1.6706,3.58294233
1683037200000,1.6765,1.6765,1.6765,1.6765,3.00252202
1683037740000,1.6875,1.6875,1.6875,1.6875,2.0756483
1683037800000,1.6901,1.6901,1.6901,1.6901,3.09969555
1683037860000,1.6902,1.6902,1.6902,1.6902,3.11
1683037980000,1.6941,1.6941,1.6941,1.6941,13.428
1683038760000,1.6897,1.6897,1.6897,1.6897,2.04226718
1683039180000,1.6852,1.6852,1.6852,1.6852,2.0
1683040200000,1.6896,1.6896,1.6896,1.6896,3.96070746
1683040740000,1.6941,1.6941,1.6941,1.6941,3.10070134
1683041580000,1.6922,1.6922,1.6922,1.6922,3.19818455
1683043020000,1.6892,1.6892,1.6892,1.6892,3.0655479
1683044400000,1.6898,1.6898,1.6898,1.6898,2.13109813
1683044820000,1.6941,1.6941,1.6941,1.6941,3.23307795
1683045780000,1.6898,1.6898,1.6898,1.6898,3.69559994
1683046560000,1.687,1.687,1.687,1.687,63.0
1683049140000,1.6902,1.6902,1.6902,1.6902,2.13657251
1683049440000,1.6934,1.6934,1.6934,1.6934,2.58989176
1683050640000,1.6898,1.6898,1.6898,1.6898,3.20586696
1683051540000,1.6949,1.6949,1.6949,1.6949,2.12237053
1683052680000,1.7029,1.7029,1.7029,1.7029,2.77909574
1683054540000,1.7062,1.7062,1.7062,1.7062,2.72947287
1683055440000,1.7106,1.7106,1.7106,1.7106,2.82721606
1683057180000,1.7099,1.7099,1.7099,1.7099,3.93134301
1683058440000,1.7059,1.7059,1.7059,1.7059,3.14463558
1683060420000,1.7024,1.7024,1.7024,1.7024,146.80863035
1683061980000,1.6988,1.6988,1.6988,1.6988,3.59725635
1683063660000,1.7035,1.7035,1.7035,1.7035,3.68937617
1683064920000,1.7024,1.7024,1.7024,1.7024,3.85004256
1683066720000,1.7064,1.7064,1.7064,1.7064,2.26524943
1683067080000,1.7032,1.7032,1.7032,1.7032,2.8078781
1683068520000,1.7045,1.7045,1.7045,1.7045,2.57998178
1683070620000,1.7012,1.7012,1.7012,1.7012,3.92803878
1683072900000,1.6963,1.6963,1.6963,1.6963,2.90705866
1683074340000,1.689,1.689,1.689,1.689,2.6256537
1683074820000,1.6922,1.6922,1.6922,1.6922,3.07745181
1683076080000,1.6873,1.6873,1.6873,1.6873,3.9722611
1683076500000,1.6924,1.6924,1.6924,1.6924,2.45935182
1683079680000,1.6854,1.6854,1.6854,1.6854,3.69940266
1683081120000,1.688,1.688,1.688,1.688,3.86743797
1683081600000,1.6909,1.6909,1.6909,1.6909,2.95981894
1683084300000,1.6947,1.6947,1.6947,1.6947,3.58217213
1683085920000,1.6954,1.6954,1.6954,1.6954,2.90755409
1683086760000,1.6909,1.6909,1.6909,1.6909,3.22210998
1683087780000,1.6964,1.6964,1.6964,1.6964,3.83833752
1683088680000,1.6942,1.6942,1.6942,1.6942,3.02769504
1683089820000,1.6922,1.6922,1.6922,1.6922,616.4
1683091020000,1.6963,1.6963,1.6963,1.6963,3.37931419
1683091440000,1.6929,1.6929,1.6929,1.6929,62.9921248
1683092400000,1.6952,1.6952,1.6952,1.6952,2.68938481
1683092580000,1.6958,1.6958,1.6958,1.6958,63.0
1683092880000,1.6951,1.6951,1.6951,1.6951,3.76443774
1683095040000,1.6992,1.6992,1.6992,1.6992,2.18338208
1683096000000,1.7006,1.7006,1.7006,1.7006,3.88366759
1683097740000,1.6963,1.6963,1.6963,1.6963,2.6272657
1683098220000,1.6964,1.6964,1.6964,1.6964,2.54767695
1683099180000,1.6933,1.6933,1.6933,1.6933,3.21186316
1683099660000,1.6943,1.6943,1.6943,1.6943,2.97840468
1683101460000,1.6904,1.6904,1.6904,1.6904,2.12010158
1683102360000,1.6864,1.6864,1.6864,1.6864,2.74848662
1683103380000,1.6945,1.6945,1.6945,1.6945,2.34603292
1683105180000,1.6929,1.6929,1.6929,1.6929,2.03763832
1683107640000,1.6937,1.6937,1.6937,1.6937,3.84013262
1683108060000,1.6969,1.6969,1.6969,1.6969,3.29051271
1683109140000,1.6932,1.6932,1.6932,1.6932,2.4682894
1683110040000,1.6914,1.6914,1.6914,1.6914,3.81434744
1683113940000,1.6848,1.6848,1.6848,1.6848,3.97736096
1683115020000,1.6776,1.6776,1.6776,1.6776,3.21193275
1683115800000,1.6672,1.6672,1.6672,1.6672,2.07126505
1683116760000,1.6623,1.6623,1.6623,1.6623,2.42795925
1683117540000,1.6653,1.6653,1.6653,1.6653,63.0
1683118740000,1.6589,1.6589,1.6589,1.6589,3.3284675
1683119220000,1.6621,1.6621,1.6621,1.6621,2.80978265
1683119820000,1.6685,1.668,1.6685,1.668,4.1
1683122880000,1.6629,1.6629,1.6629,1.6629,2.39135735
1683123840000,1.6599,1.6599,1.6599,1.6599,2.30672479
1683126480000,1.6566,1.6566,1.6566,1.6566,2.50297112
1683128040000,1.6545,1.6545,1.6545,1.6545,2.86626654
1683128520000,1.6546,1.6546,1.6546,1.6546,2.64850295
1683129480000,1.6589,1.6589,1.6589,1.6589,2.30711115
1683131040000,1.6655,1.6655,1.6655,1.6655,3.48834882
1683131520000,1.6627,1.6627,1.6627,1.6627,2.07974924
1683132600000,1.6666,1.6666,1.6666,1.6666,3.83015674
1683133620000,1.6695,1.6695,1.6695,1.6695,3.80658244
1683134820000,1.6629,1.6629,1.6629,1.6629,2.59639841
1683135300000,1.6609,1.6609,1.6609,1.6609,2.39577006
1683136500000,1.6684,1.6684,1.6684,1.6684,3.62145488
1683138000000,1.676,1.676,1.676,1.676,3.73622966
1683139020000,1.6652,1.6652,1.6652,1.6652,2.62070813
1683140100000,1.6875,1.6875,1.6875,1.6875,3.91684466
1683140700000,1.6959,1.6959,1.6959,1.6959,3.76367153
1683141360000,1.6892,1.6897,1.6897,1.6892,4.07
1683142260000,1.6954,1.6954,1.6954,1.6954,2.33093679
1683143160000,1.6889,1.6889,1.6889,1.6889,63.0
1683144900000,1.6948,1.6948,1.6948,1.6948,2.5076651
1683146280000,1.6891,1.6891,1.6891,1.6891,3.1579826
1683146940000,1.6913,1.6913,1.6913,1.6913,2.35478421
1683148020000,1.6999,1.6999,1.6999,1.6999,3.73678058
1683148980000,1.7153,1.7153,1.7153,1.7153,2.89499942
1683150000000,1.7244,1.7244,1.7244,1.7244,3.36492728
1683152220000,1.7257,1.7257,1.7257,1.7257,3.15475574
1683153960000,1.7275,1.7275,1.7275,1.7275,3.94606752
1683155280000,1.7255,1.7255,1.7255,1.7255,4.371677
1683155460000,1.7279,1.7279,1.7279,1.7279,5.347333
