time,open,close,high,low,volume
1682761920000,1.744,1.744,1.744,1.744,3.94086339
1682762400000,1.7435,1.7435,1.7435,1.7435,250.0
1682763180000,1.7567,1.7567,1.7567,1.7567,3.88312484
1682764260000,1.7691,1.7691,1.7691,1.7691,2.29205373
1682764560000,1.7694,1.7694,1.7694,1.7694,2.30637206
1682765580000,1.7604,1.7604,1.7604,1.7604,3.41443487
1682765880000,1.7561,1.756,1.7561,1.756,129.34545868
1682766120000,1.7497,1.7481,1.7497,1.7481,252.0
1682766960000,1.7474,1.7474,1.7474,1.7474,63.0
1682767500000,1.7425,1.7425,1.7425,1.7425,185.93
1682768580000,1.7402,1.7402,1.7402,1.7402,3.89688118
1682769840000,1.7467,1.7467,1.7467,1.7467,3.15156938
1682771100000,1.7508,1.7508,1.7508,1.7508,2.49539241
1682771340000,1.7512,1.7507,1.7512,1.7507,596.76670668
1682772240000,1.7489,1.7489,1.7489,1.7489,2.00890171
1682773440000,1.7452,1.7452,1.7452,1.7452,2.86493212
1682774280000,1.7409,1.7408,1.7409,1.7408,385.8564
1682774400000,1.7447,1.7458,1.7458,1.7447,6.976202089999999
1682774640000,1.7438,1.7438,1.7438,1.7438,63.0
1682776320000,1.7501,1.7501,1.7501,1.7501,2.00797505
1682776800000,1.7469,1.7469,1.7469,1.7469,2.39017467
1682777940000,1.7434,1.7434,1.7434,1.7434,2.93814985
1682779080000,1.7521,1.7521,1.7521,1.7521,3.24921248
1682780640000,1.7496,1.7496,1.7496,1.7496,2.47119162
1682781060000,1.7512,1.7512,1.7512,1.7512,3.12318913
1682782920000,1.7489,1.7489,1.7489,1.7489,63.0
1682783520000,1.741,1.741,1.741,1.741,144.7535
1682784720000,1.7418,1.7418,1.7418,1.7418,63.0
1682785920000,1.7364,1.7364,1.7364,1.7364,3.44285739
1682786340000,1.7341,1.7341,1.7341,1.7341,3.31042577
1682787480000,1.7404,1.7404,1.7404,1.7404,2.21868821
1682788260000,1.7432,1.7432,1.7432,1.7432,2.1604243
1682789400000,1.729,1.7214,1.729,1.7214,496.77133139
1682790420000,1.7291,1.7291,1.7291,1.7291,2.71820675
1682791440000,1.7323,1.7323,1.7323,1.7323,2.44914387
1682793300000,1.7379,1.7379,1.7379,1.7379,2.48820054
1682794020000,1.7373,1.7373,1.7373,1.7373,63.0
1682795400000,1.7353,1.7353,1.7353,1.7353,2.65155918
1682796720000,1.7396,1.7396,1.7396,1.7396,2.54432656
1682797140000,1.7434,1.7434,1.7434,1.7434,2.75974705
1682797200000,1.745,1.745,1.745,1.745,2.094
1682798400000,1.7433,1.7433,1.7433,1.7433,3.54041602
1682798760000,1.7437,1.7437,1.7437,1.7437,3.97329411
1682800320000,1.7424,1.7424,1.7424,1.7424,2.98688827
1682801400000,1.7403,1.7403,1.7403,1.7403,3.81923333
1682801820000,1.7371,1.7371,1.7371,1.7371,3.12545684
1682803440000,1.7359,1.7359,1.7359,1.7359,2.84962564
1682803920000,1.7329,1.7329,1.7329,1.7329,3.8175228
1682804820000,1.7334,1.7327,1.7334,1.7327,126.0
1682805840000,1.7351,1.7351,1.7351,1.7351,63.0
1682807040000,1.7313,1.7313,1.7313,1.7313,3.0794631
1682807580000,1.7346,1.7346,1.7346,1.7346,2.0
1682808660000,1.7368,1.7368,1.7368,1.7368,2.23725784
1682809560000,1.7329,1.7329,1.7329,1.7329,2.14313199
1682810820000,1.7344,1.7344,1.7344,1.7344,3.90595738
1682811900000,1.7369,1.7369,1.7369,1.7369,3.91607273
1682813460000,1.7348,1.7348,1.7348,1.7348,3.61550833
1682814240000,1.7341,1.7341,1.7341,1.7341,2.40810154
1682815440000,1.7279,1.7279,1.7279,1.7279,2.21396542
1682816460000,1.7221,1.722,1.7221,1.722,446.52
1682817660000,1.7257,1.7257,1.7257,1.7257,3.30474668
1682818740000,1.7208,1.7208,1.7208,1.7208,2.42008954
1682819160000,1.7181,1.7181,1.7181,1.7181,3.23765494
1682820420000,1.7088,1.7088,1.7088,1.7088,3.7634943
1682822040000,1.7135,1.7135,1.7135,1.7135,3.8219106
1682822340000,1.7119,1.7119,1.7119,1.7119,3.89763709
1682824320000,1.7117,1.7117,1.7117,1.7117,63.0
1682825220000,1.7062,1.7062,1.7062,1.7062,3.49031216
1682826600000,1.7081,1.7081,1.7081,1.7081,2.33432143
1682828220000,1.71,1.71,1.71,1.71,2.17155955
1682829720000,1.7123,1.7123,1.7123,1.7123,2.62812191
1682831760000,1.7137,1.7137,1.7137,1.7137,3.72836959
1682832180000,1.7145,1.7145,1.7145,1.7145,2.2558975
1682833080000,1.7165,1.7165,1.7165,1.7165,2.02051099
1682833440000,1.7202,1.7202,1.7202,1.7202,2.0
1682836440000,1.717,1.717,1.717,1.717,3.20160694
1682836740000,1.7194,1.7194,1.7194,1.7194,3.53591087
1682838720000,1.7155,1.7155,1.7155,1.7155,2.26219167
1682839620000,1.7178,1.7178,1.7178,1.7178,3.70514488
1682840400000,1.7141,1.7141,1.7141,1.7141,3.85193106
1682840760000,1.7142,1.7142,1.7142,1.7142,3.22178285
1682842260000,1.7122,1.7122,1.7122,1.7122,3.70500503
1682843400000,1.7156,1.7156,1.7156,1.7156,3.87461629
1682844540000,1.7096,1.7096,1.7096,1.7096,3.27143887
1682844960000,1.7156,1.7156,1.7156,1.7156,3.25487833
1682846460000,1.7126,1.7126,1.7126,1.7126,2.27246538
1682846820000,1.711,1.711,1.711,1.711,3.13986694
1682848080000,1.7147,1.7147,1.7147,1.7147,3.69394969
1682848860000,1.7179,1.7179,1.7179,1.7179,3.08746433
1682849340000,1.7223,1.7223,1.7223,1.7223,2.7241974
1682850420000,1.7176,1.7176,1.7176,1.7176,3.65055425
1682851380000,1.7115,1.7115,1.7115,1.7115,608.2
1682852220000,1.708,1.708,1.708,1.708,2.12385084
1682852580000,1.7141,1.7141,1.7141,1.7141,3.75102684
1682853780000,1.7102,1.7102,1.7102,1.7102,2.79405296
1682854560000,1.7077,1.7077,1.7077,1.7077,3.21888635
1682856300000,1.6988,1.6988,1.6988,1.6988,3.23757471
1682856660000,1.702,1.702,1.702,1.702,3.83647352
1682857200000,1.7029,1.7029,1.7029,1.7029,63.0
1682859180000,1.7074,1.7074,1.7074,1.7074,3.22949128
1682859480000,1.7045,1.7045,1.7045,1.7045,63.0
1682860440000,1.7064,1.7064,1.7064,1.7064,3.14403736
1682861760000,1.7091,1.7091,1.7091,1.7091,3.04089516
1682863440000,1.7082,1.7082,1.7082,1.7082,187.84
1682864640000,1.7045,1.7045,1.7045,1.7045,3.10531933
1682865180000,1.706,1.706,1.706,1.706,3.17536465
1682866020000,1.7111,1.7111,1.7111,1.7111,2.68157381
1682866440000,1.7128,1.7128,1.7128,1.7128,3.64070109
1682867520000,1.7247,1.7247,1.7247,1.7247,3.02117807
1682867580000,1.7247,1.7247,1.7247,1.7247,63.0
1682867880000,1.7315,1.7315,1.7315,1.7315,2.1332613
1682869740000,1.7184,1.7184,1.7184,1.7184,2.02884829
1682870640000,1.7348,1.7348,1.7348,1.7348,3.15713552
1682871480000,1.7331,1.7331,1.7331,1.7331,2.2695034
1682871780000,1.7312,1.7312,1.7312,1.7312,3.53582627
1682874060000,1.734,1.734,1.734,1.734,3.03050537
1682875140000,1.7303,1.7303,1.7303,1.7303,3.32296001
1682875500000,1.7329,1.7329,1.7329,1.7329,3.29738298
1682875800000,1.7298,1.7298,1.7298,1.7298,63.0
1682875860000,1.7284,1.7284,1.7284,1.7284,63.0
1682877120000,1.723,1.723,1.723,1.723,3.29483988
1682877600000,1.7207,1.7207,1.7207,1.7207,3.37268127
1682878800000,1.7256,1.7256,1.7256,1.7256,2.29985977
1682880300000,1.7224,1.7224,1.7224,1.7224,63.0
1682881260000,1.7198,1.7198,1.7198,1.7198,3.05121476
1682882580000,1.6968,1.6968,1.6968,1.6968,3.42276104
1682883900000,1.7006,1.7006,1.7006,1.7006,3.77830086
1682885100000,1.6841,1.6841,1.6841,1.6841,3.33745132
1682886120000,1.688,1.688,1.688,1.688,3.79631233
1682886480000,1.6951,1.6951,1.6951,1.6951,3.24507035
1682888100000,1.6946,1.6946,1.6946,1.6946,63.0
1682889180000,1.6963,1.6963,1.6963,1.6963,3.86210899
1682889600000,1.6976,1.6976,1.6976,1.6976,3.95207667
1682889720000,1.6954,1.6954,1.6954,1.6954,63.0
1682890500000,1.6953,1.6954,1.6954,1.6953,126.0
1682892120000,1.6937,1.6937,1.6937,1.6937,3.82630572
1682892840000,1.6966,1.6984,1.6984,1.6966,313.0
1682893860000,1.7006,1.7006,1.7006,1.7006,3.69857247
1682894220000,1.7039,1.7039,1.7039,1.7039,2.67780238
1682896260000,1.7081,1.7081,1.7081,1.7081,3.86427475
1682897160000,1.7061,1.7061,1.7061,1.7061,3.52024456
1682897580000,1.706,1.706,1.706,1.706,2.15598146
1682898780000,1.7,1.7,1.7,1.7,2.03933351
1682899140000,1.6986,1.6986,1.6986,1.6986,2.51723348
1682900340000,1.7004,1.7004,1.7004,1.7004,186.9967
1682901360000,1.7029,1.7029,1.7029,1.7029,2.16263003
1682902680000,1.7002,1.7002,1.7002,1.7002,2.29250544
1682904240000,1.6974,1.6974,1.6974,1.6974,2.77483822
1682904660000,1.7005,1.7005,1.7005,1.7005,3.50224227
1682905080000,1.6854,1.6848,1.6854,1.6848,5.12933257
1682905860000,1.648,1.648,1.648,1.648,2.10155799
1682907120000,1.6658,1.6658,1.6658,1.6658,2.39086337
1682907600000,1.6666,1.6666,1.6666,1.6666,3.77026082
1682910360000,1.6672,1.6672,1.6672,1.6672,63.0
1682910600000,1.6664,1.6664,1.6664,1.6664,63.0
1682911920000,1.6694,1.6694,1.6694,1.6694,3.36128421
1682913120000,1.6652,1.6652,1.6652,1.6652,3.2783636
1682914020000,1.6679,1.6679,1.6679,1.6679,2.46793183
1682914500000,1.6639,1.6639,1.6639,1.6639,3.22965712
1682915160000,1.6682,1.6682,1.6682,1.6682,20.86904723
1682916600000,1.6721,1.6721,1.6721,1.6721,2.70609982
1682917860000,1.6734,1.6734,1.6734,1.6734,2.16951348
1682918760000,1.6773,1.6773,1.6773,1.6773,2.75321982
1682919000000,1.6737,1.6737,1.6737,1.6737,182.17
1682920740000,1.6743,1.6743,1.6743,1.6743,191.45
1682921940000,1.6781,1.6781,1.6781,1.6781,2.72474187
1682924520000,1.6792,1.6792,1.6792,1.6792,2.79980519
1682924880000,1.6873,1.6873,1.6873,1.6873,3.60643119
1682925780000,1.6812,1.6812,1.6812,1.6812,3.8792471
1682927700000,1.6791,1.6791,1.6791,1.6791,3.59154654
1682928480000,1.6821,1.6813,1.6821,1.6813,210.41035177
1682931120000,1.6798,1.6798,1.6798,1.6798,2.92213438
1682931480000,1.6818,1.6818,1.6818,1.6818,3.70296099
1682933520000,1.681,1.681,1.681,1.681,63.0
1682934720000,1.6763,1.6763,1.6763,1.6763,2.66356282
1682935860000,1.6806,1.6806,1.6806,1.6806,2.41645662
1682936640000,1.6794,1.6794,1.6794,1.6794,7.5
1682937720000,1.6773,1.6773,1.6773,1.6773,3.67889628
1682939640000,1.6744,1.6744,1.6744,1.6744,2.21037756
1682942040000,1.6768,1.6768,1.6768,1.6768,3.00985918
1682944500000,1.6784,1.6784,1.6784,1.6784,2.66042607
1682946060000,1.6749,1.6749,1.6749,1.6749,2.1511172
1682947260000,1.6773,1.6773,1.6773,1.6773,3.56996989
1682948580000,1.6747,1.6747,1.6747,1.6747,2.34855463
1682949840000,1.6715,1.6715,1.6715,1.6715,3.37391977
1682950740000,1.6762,1.6762,1.6762,1.6762,3.89455644
1682951880000,1.6726,1.6726,1.6726,1.6726,2.18570376
1682952240000,1.6687,1.6687,1.6687,1.6687,3.69400555
1682953380000,1.6713,1.6713,1.6713,1.6713,3.33181209
1682954520000,1.6589,1.6578,1.6589,1.6578,125.43533757
1682955480000,1.6596,1.6596,1.6596,1.6596,2.28704332
1682955900000,1.662,1.662,1.662,1.662,2.83149699
1682957220000,1.6604,1.6604,1.6604,1.6604,3.54527309
1682958120000,1.6533,1.6533,1.6533,1.6533,2.49717632
1682958300000,1.6475,1.6467,1.6475,1.6467,493.73322433
1682959260000,1.6591,1.6591,1.6591,1.6591,2.87778587
1682959680000,1.6587,1.6587,1.6587,1.6587,3.832908
1682960880000,1.6676,1.6676,1.6676,1.6676,2.81576086
1682962080000,1.6603,1.6603,1.6603,1.6603,2.29562447
1682962560000,1.6638,1.6638,1.6638,1.6638,184.0108
1682963700000,1.667,1.667,1.667,1.667,2.42518427
1682964540000,1.6659,1.6659,1.6659,1.6659,2.81776017
1682965380000,1.6636,1.6636,1.6636,1.6636,2.4487367
1682966520000,1.6584,1.6584,1.6584,1.6584,3.07965217
1682968440000,1.6498,1.6498,1.6498,1.6498,3.75077744
1682968860000,1.6427,1.6427,1.6427,1.6427,3.60870769
1682969700000,1.6521,1.6521,1.6521,1.6521,3.63295438
1682970000000,1.6472,1.6472,1.6472,1.6472,63.5012
1682971020000,1.6504,1.6504,1.6504,1.6504,2.92767581
1682971620000,1.6551,1.6551,1.6551,1.6551,63.0
1682973060000,1.6577,1.6577,1.6577,1.6577,2.62886637
1682973600000,1.6594,1.6594,1.6594,1.6594,3.02971617
1682974800000,1.6517,1.6517,1.6517,1.6517,2.92778528
1682975640000,1.6524,1.6524,1.6524,1.6524,2.85775705
1682976720000,1.6633,1.6633,1.6633,1.6633,2.23437189
1682977140000,1.6653,1.6653,1.6653,1.6653,3.11401702
1682977980000,1.6642,1.6642,1.6642,1.6642,3.33146913
1682979600000,1.6672,1.6672,1.6672,1.6672,2.9459161
1682980860000,1.6729,1.6729,1.6729,1.6729,2.62273947
1682981280000,1.6735,1.6735,1.6735,1.6735,2.77694845
1682983680000,1.6692,1.6692,1.6692,1.6692,3.10626527
1682984520000,1.6732,1.6732,1.6732,1.6732,3.1423477
1682984880000,1.6708,1.6708,1.6708,1.6708,2.5641504
1682987040000,1.6642,1.6642,1.6642,1.6642,3.33575686
1682987460000,1.67,1.67,1.67,1.67,2.86565671
1682988960000,1.6653,1.6653,1.6653,1.6653,2.18997776
1682989320000,1.669,1.669,1.669,1.669,3.0348697
1682990460000,1.6656,1.6656,1.6656,1.6656,3.40079756
1682991060000,1.6692,1.6692,1.6692,1.6692,63.0
1682992080000,1.6617,1.6617,1.6617,1.6617,2.44722317
1682992440000,1.6621,1.6621,1.6621,1.6621,63.0
1682992500000,1.658,1.658,1.658,1.658,241.674
1682993400000,1.6634,1.6634,1.6634,1.6634,2.86451858
1682995020000,1.6594,1.6594,1.6594,1.6594,21.7925
1682996220000,1.6663,1.6663,1.6663,1.6663,2.48972282
1682997480000,1.6634,1.6634,1.6634,1.6634,3.210967
1682998740000,1.6713,1.6713,1.6713,1.6713,3.55400243
1682999880000,1.6769,1.6769,1.6769,1.6769,2.11750267
1683000780000,1.674,1.674,1.674,1.674,3.56383661
1683001260000,1.6743,1.6743,1.6743,1.6743,186.56
1683001620000,1.6761,1.6761,1.6761,1.6761,185.55
1683002160000,1.6807,1.6807,1.6807,1.6807,2.0
1683003360000,1.6714,1.6714,1.6714,1.6714,3.06321909
1683004260000,1.6761,1.6761,1.6761,1.6761,3.64868305
1683005460000,1.6801,1.6801,1.6801,1.6801,2.165505
1683005940000,1.6798,1.6798,1.6798,1.6798,2.90639864
1683007260000,1.682,1.682,1.682,1.682,2.40323227
1683007620000,1.6845,1.6845,1.6845,1.6845,3.50641931
1683008820000,1.6813,1.6813,1.6813,1.6813,3.52769519
1683009180000,1.686,1.686,1.686,1.686,3.98227495
1683010440000,1.6888,1.6888,1.6888,1.6888,3.36024488
1683010860000,1.6974,1.6974,1.6974,1.6974,2.90341149
1683012120000,1.6965,1.6965,1.6965,1.6965,190.97
1683013080000,1.6975,1.6975,1.6975,1.6975,3.55645385
1683014820000,1.6954,1.6954,1.6954,1.6954,3.82879318
1683015000000,1.6944,1.6944,1.6944,1.6944,2.07645656
1683015840000,1.6901,1.6901,1.6901,1.6901,2.87678399
1683016860000,1.6922,1.6922,1.6922,1.6922,2.29386613
1683017100000,1.6951,1.6951,1.6951,1.6951,3.69226686
1683018060000,1.6913,1.6913,1.6913,1.6913,2.50972125
1683018180000,1.6878,1.6878,1.6878,1.6878,3.34491778
1683019500000,1.6823,1.6823,1.6823,1.6823,3.41021476
1683019620000,1.6843,1.6843,1.6843,1.6843,3.93933161
1683021720000,1.6862,1.6862,1.6862,1.6862,3.74929622
1683022560000,1.6837,1.6837,1.6837,1.6837,3.78309915
1683023580000,1.686,1.686,1.686,1.686,3.70848505
1683024540000,1.6903,1.6903,1.6903,1.6903,2.58384001
1683024780000,1.6902,1.6902,1.6902,1.6902,3.00888094
1683025620000,1.6862,1.6862,1.6862,1.6862,3.01012348
1683026580000,1.6905,1.6905,1.6905,1.6905,2.54430185
1683027420000,1.6978,1.6978,1.6978,1.6978,3.73744335
1683027540000,1.6981,1.6981,1.6981,1.6981,156.7997
1683028680000,1.6902,1.6902,1.6902,1.6902,2.7702147
1683029580000,1.6842,1.6842,1.6842,1.6842,2.46729016
1683030420000,1.6783,1.6783,1.6783,1.6783,3.11836048
1683031620000,1.6839,1.6839,1.6839,1.6839,2.57428314
1683032820000,1.6797,1.6797,1.6797,1.6797,2.13014285
1683034560000,1.675,1.675,1.675,1.675,3.12385643
1683035460000,1.672,1.672,1.672,1.672,3.12118853
1683036240000,1.6706,1.6706,1.6706,1.6706,3.39164354
1683036480000,1.6691,1.667,1.6691,1.667,5.50453519
1683037080000,1.6791,1.6791,1.6791,1.6791,2.0
1683037140000,1.6788,1.6788,1.6788,1.6788,2.09427781
1683037260000,1.6805,1.6814,1.6814,1.6805,195.7438
1683037440000,1.6826,1.6843,1.6843,1.6826,5.20919409
1683037560000,1.6849,1.6849,1.6849,1.6849,3.11877999
1683037680000,1.6843,1.6849,1.6849,1.6843,5.19857207
1683037740000,1.687,1.687,1.687,1.687,3.11112678
1683037860000,1.6888,1.6888,1.6888,1.6888,56.94886615
1683037920000,1.6892,1.6911,1.6911,1.6892,54.27304876
1683039180000,1.6838,1.6838,1.6838,1.6838,2.07
1683040200000,1.6892,1.6892,1.6892,1.6892,3.51738437
1683041100000,1.692,1.692,1.692,1.692,2.1433805
1683042000000,1.6945,1.6945,1.6945,1.6945,3.43243466
1683042060000,1.6988,1.6988,1.6988,1.6988,2.70863504
1683042960000,1.6923,1.6923,1.6923,1.6923,3.77398225
1683043020000,1.6881,1.6881,1.6881,1.6881,2.40994963
1683044820000,1.6925,1.6925,1.6925,1.6925,2.97356982
1683045780000,1.6909,1.6909,1.6909,1.6909,2.36523229
1683046620000,1.6855,1.6855,1.6855,1.6855,2.99099223
1683047460000,1.6883,1.6868,1.6883,1.6868,5.886489640000001
1683049080000,1.6906,1.6906,1.6906,1.6906,3.69568321
1683049860000,1.6925,1.6925,1.6925,1.6925,2.61324672
1683052680000,1.7018,1.7018,1.7018,1.7018,3.58917256
1683052740000,1.6987,1.6987,1.6987,1.6987,2.19676469
1683053760000,1.7018,1.7018,1.7018,1.7018,2.67232916
1683054540000,1.7056,1.7056,1.7056,1.7056,2.02621377
1683055500000,1.7129,1.7129,1.7129,1.7129,63.0
1683056760000,1.7115,1.7115,1.7115,1.7115,2.11278942
1683057600000,1.708,1.708,1.708,1.708,3.12657964
1683058680000,1.7051,1.7051,1.7051,1.7051,2.09233216
1683060720000,1.7004,1.7004,1.7004,1.7004,3.41737184
1683061920000,1.6974,1.6974,1.6974,1.6974,2.41744459
1683063600000,1.7021,1.7021,1.7021,1.7021,3.44463641
1683064440000,1.702,1.702,1.702,1.702,42.0
1683066720000,1.7055,1.7055,1.7055,1.7055,3.73099191
1683067560000,1.7034,1.7034,1.7034,1.7034,3.71524977
1683068580000,1.7051,1.7051,1.7051,1.7051,3.16935479
1683069540000,1.704,1.704,1.704,1.704,2.26009667
1683070380000,1.701,1.701,1.701,1.701,2.02923635
1683071820000,1.7024,1.7024,1.7024,1.7024,2.4988651
1683072720000,1.6948,1.6948,1.6948,1.6948,3.15856274
1683072900000,1.6981,1.6981,1.6981,1.6981,2.08921421
1683073920000,1.6949,1.6949,1.6949,1.6949,2.72193264
1683074820000,1.6886,1.6886,1.6886,1.6886,3.32706242
