time,open,close,high,low,volume,Unnamed: 0
1629281700000,5.5e-05,5.5e-05,5.5e-05,5.5e-05,1000.02,
1629282000000,4.5e-05,4.5e-05,4.5e-05,4.5e-05,1.0,
1629282060000,6e-05,6e-05,6e-05,6e-05,0.13044,
1629282120000,4.5e-05,4.5e-05,4.5e-05,4.5e-05,0.130179,
1629282180000,4.5e-05,4.5e-05,4.5e-05,4.5e-05,499.01996,
1629283680000,5.331e-05,5.331e-05,5.331e-05,5.331e-05,125320.52035135,
1629284280000,5.247e-05,5.327e-05,5.327e-05,5.247e-05,1982481.051594,
1629284340000,5.348e-05,5.168e-05,5.348e-05,5.168e-05,255981.97,
1629284460000,5.321e-05,5.394e-05,5.394e-05,5.321e-05,193404818.19196355,
1629284520000,5.398e-05,5.398e-05,5.398e-05,5.398e-05,63554971.07694551,
1629284640000,5.323e-05,5.323e-05,5.323e-05,5.323e-05,1851851.85185185,
1629284880000,5.364e-05,5.381e-05,5.381e-05,5.364e-05,80475354.65584648,
1629285000000,5.37e-05,5.402e-05,5.402e-05,5.37e-05,140382287.26217163,
1629285060000,5.402e-05,5.402e-05,5.456e-05,5.402e-05,122244481.8460252,
1629285120000,5.402e-05,5.402e-05,5.402e-05,5.402e-05,33355569.42426272,
1629285180000,5.402e-05,5.402e-05,5.402e-05,5.402e-05,4017661.46754046,
1629285240000,5.359e-05,5.398e-05,5.398e-05,5.359e-05,100000000.0,
1629286080000,5.349e-05,5.243e-05,5.349e-05,5.243e-05,300000000.0,
1629286140000,5.192e-05,5.192e-05,5.192e-05,5.192e-05,100000.0,
1629286320000,5.243e-05,5.243e-05,5.243e-05,5.243e-05,200000.0,
1629286380000,5.243e-05,5.243e-05,5.243e-05,5.243e-05,368155.948633,
1629286800000,5.243e-05,5.243e-05,5.243e-05,5.243e-05,200267.022696,
1629287880000,5.196e-05,5.196e-05,5.196e-05,5.196e-05,1629204.06,
1629288180000,5.243e-05,5.243e-05,5.243e-05,5.243e-05,1238269.907831,
1629289320000,5.243e-05,5.243e-05,5.243e-05,5.243e-05,100000.0,
1629290340000,5.243e-05,5.243e-05,5.243e-05,5.243e-05,1000000.0,
1629291360000,5.243e-05,5.2e-05,5.243e-05,5.2e-05,674324.39,
1629291600000,5.201e-05,5.201e-05,5.201e-05,5.201e-05,2000000.91,
1629292380000,5.242e-05,5.242e-05,5.242e-05,5.242e-05,100000.0,
1629292980000,5.242e-05,5.242e-05,5.242e-05,5.242e-05,900000.72,
1629293820000,5.241e-05,5.153e-05,5.241e-05,5.153e-05,50000000.81999999,
1629294480000,5.31e-05,5.31e-05,5.31e-05,5.31e-05,163447.723912,
1629295740000,5.34e-05,5.34e-05,5.34e-05,5.34e-05,1030085.635641,
1629297420000,5.395e-05,5.395e-05,5.395e-05,5.395e-05,100952.39392907,
1629298980000,5.35e-05,5.225e-05,5.35e-05,5.225e-05,670940.61053173,
1629299040000,5.259e-05,5.259e-05,5.259e-05,5.259e-05,288944.52271711,
1629299160000,5.271e-05,5.271e-05,5.271e-05,5.271e-05,14000000.0,
1629299880000,5.3e-05,5.346e-05,5.346e-05,5.3e-05,3024418.58084708,
1629300060000,5.225e-05,5.381e-05,5.381e-05,5.182e-05,228000000.0,
1629300240000,5.322e-05,5.322e-05,5.322e-05,5.322e-05,5000000.0,
1629300300000,5.33e-05,5.33e-05,5.33e-05,5.33e-05,4000000.0,
1629300360000,5.261e-05,5.397e-05,5.397e-05,5.208e-05,132694573.28464174,
1629300480000,5.353e-05,5.353e-05,5.353e-05,5.353e-05,396627.94032133,
1629300540000,5.353e-05,5.4e-05,5.4e-05,5.196e-05,181200000.0,
1629300660000,5.241e-05,5.38e-05,5.38e-05,5.181e-05,226100000.0,
1629300780000,5.338e-05,5.174e-05,5.338e-05,5.174e-05,249000000.0,
1629300840000,5.308e-05,5.369e-05,5.369e-05,5.193e-05,66500000.0,
1629300900000,5.327e-05,5.327e-05,5.327e-05,5.327e-05,100000.0,
1629300960000,5.341e-05,5.306e-05,5.341e-05,5.188e-05,227200000.0,
1629301140000,5.32e-05,5.302e-05,5.32e-05,5.186e-05,122210000.0,
1629301440000,5.301e-05,5.3e-05,5.301e-05,5.3e-05,110618.28,
1629302760000,5.456e-05,5.456e-05,5.456e-05,5.456e-05,100000.0,
1629303120000,5.465e-05,5.465e-05,5.465e-05,5.465e-05,300000.0,
1629303180000,5.412e-05,5.412e-05,5.412e-05,5.412e-05,300000.0,
1629303240000,5.4e-05,5.4e-05,5.4e-05,5.4e-05,915078.56181241,
1629304200000,5.239e-05,5.239e-05,5.239e-05,5.239e-05,377493.06982385,
1629304380000,5.239e-05,5.341e-05,5.341e-05,5.239e-05,212710.94817953,
1629304920000,5.381e-05,5.381e-05,5.381e-05,5.381e-05,1592786.868543,
1629305280000,5.371e-05,5.371e-05,5.371e-05,5.371e-05,200000.0,
1629307380000,5.485e-05,5.485e-05,5.485e-05,5.485e-05,200000.0,
1629307440000,5.485e-05,5.485e-05,5.485e-05,5.485e-05,100000.0,
1629308220000,5.485e-05,5.485e-05,5.485e-05,5.485e-05,200000.0,
1629309720000,5.409e-05,5.409e-05,5.409e-05,5.409e-05,116836.79125507,
1629311220000,5.4e-05,5.568e-05,5.568e-05,5.4e-05,1100000.0,
1629311280000,5.593e-05,5.593e-05,5.593e-05,5.593e-05,100000.0,
1629311340000,5.4e-05,5.511e-05,5.511e-05,5.322e-05,64443481.6056174,
1629312120000,5.493e-05,5.493e-05,5.493e-05,5.493e-05,100000.0,
1629313680000,5.171e-05,5.15e-05,5.171e-05,5.15e-05,2000000.0,
1629314280000,5.392e-05,5.392e-05,5.392e-05,5.392e-05,1000000.0,
1629314580000,5.359e-05,5.359e-05,5.359e-05,5.359e-05,1000009.0,
1629315060000,5.333e-05,5.333e-05,5.333e-05,5.333e-05,200000.0,
1629316740000,5.326e-05,5.326e-05,5.326e-05,5.326e-05,101715.97664621,
1629318240000,5.295e-05,5.295e-05,5.295e-05,5.295e-05,116895.72774976,
1629318420000,5.316e-05,5.316e-05,5.316e-05,5.316e-05,100000.0,
1629320100000,5.316e-05,5.316e-05,5.316e-05,5.316e-05,110428.00613044,
1629320160000,5.205e-05,5.175e-05,5.205e-05,5.175e-05,109950.86131916,
1629321840000,5.315e-05,5.315e-05,5.315e-05,5.315e-05,107850.8632768,
1629323460000,5.316e-05,5.316e-05,5.316e-05,5.316e-05,128546.88814259,
1629325140000,5.308e-05,5.308e-05,5.308e-05,5.308e-05,122070.03724772,
1629325200000,5.215e-05,5.215e-05,5.215e-05,5.215e-05,116416.71087418,
1629325800000,5.303e-05,5.317e-05,5.317e-05,5.303e-05,4991286.123552211,
1629326400000,5.215e-05,5.17e-05,5.215e-05,5.17e-05,776353.38,
1629327840000,5.316e-05,5.316e-05,5.316e-05,5.316e-05,116140.66267763,
1629329460000,5.316e-05,5.316e-05,5.316e-05,5.316e-05,129417.13092673,
1629330900000,5.316e-05,5.388e-05,5.388e-05,5.316e-05,114470.58679317,
1629332700000,5.389e-05,5.389e-05,5.389e-05,5.389e-05,124515.1049671,
1629333300000,5.4e-05,5.4e-05,5.4e-05,5.4e-05,379931.75203101,
1629335040000,5.4e-05,5.465e-05,5.465e-05,5.4e-05,238250.90288618,
1629336540000,5.4e-05,5.4e-05,5.4e-05,5.4e-05,126647.75571527,
1629337080000,5.402e-05,5.4e-05,5.402e-05,5.4e-05,1038191.19689429,
1629337680000,5.613e-05,5.613e-05,5.613e-05,5.613e-05,1000000.0,
1629339420000,5.557e-05,5.185e-05,5.557e-05,5.185e-05,244699.4654633,
1629341100000,5.616e-05,5.616e-05,5.616e-05,5.616e-05,107344.03869814,
1629341880000,5.586e-05,5.586e-05,5.586e-05,5.586e-05,10000000.0,
1629342420000,5.7e-05,5.7e-05,5.7e-05,5.7e-05,100000.0,
1629343560000,5.215e-05,5.187e-05,5.215e-05,5.187e-05,1496000.59,
