time,open,close,high,low,volume
1682761560000,2.99e-05,2.99e-05,2.99e-05,2.99e-05,81159.631843
1682762580000,3.037e-05,3.037e-05,3.037e-05,3.037e-05,75214.82458228001
1682763360000,3.034e-05,3.034e-05,3.034e-05,3.034e-05,52126.99373975
1682764380000,3.044e-05,3.044e-05,3.044e-05,3.044e-05,73822.55800073
1682765580000,3.06e-05,3.06e-05,3.06e-05,3.06e-05,41000.0
1682766420000,3.033e-05,3.033e-05,3.033e-05,3.033e-05,69773.26975125
1682766840000,2.995e-05,2.995e-05,2.995e-05,2.995e-05,71878.21227575
1682767680000,3.027e-05,3.027e-05,3.027e-05,3.027e-05,79636.46329143
1682768580000,3.033e-05,3.033e-05,3.033e-05,3.033e-05,56322.53257838
1682769840000,3.021e-05,3.021e-05,3.021e-05,3.021e-05,79314.41885709
1682770620000,3.021e-05,3.021e-05,3.021e-05,3.021e-05,35865.2508967
1682771160000,3.021e-05,3.021e-05,3.021e-05,3.021e-05,494562.81056145
1682771220000,3.021e-05,3.021e-05,3.021e-05,3.021e-05,133105.5248919
1682771340000,3.021e-05,3.021e-05,3.021e-05,3.021e-05,1e-08
1682772240000,3.023e-05,3.023e-05,3.023e-05,3.023e-05,45942.22547194
1682772660000,2.991e-05,2.991e-05,2.991e-05,2.991e-05,52782.47170155
1682773800000,3.008e-05,3.008e-05,3.008e-05,3.008e-05,56113.61220652
1682774640000,3.025e-05,3.025e-05,3.025e-05,3.025e-05,58359.26361682
1682775060000,3.014e-05,3.014e-05,3.014e-05,3.014e-05,80812.53143456
1682776320000,3.023e-05,3.029e-05,3.029e-05,3.023e-05,68404.20252398
1682777160000,3.026e-05,3.026e-05,3.026e-05,3.026e-05,68805.57386455
1682778300000,3.023e-05,3.023e-05,3.023e-05,3.023e-05,55436.90523714
1682778720000,3.014e-05,3.014e-05,3.014e-05,3.014e-05,62842.26622746
1682779920000,3.023e-05,3.023e-05,3.023e-05,3.023e-05,45089.49831831
1682781060000,3.023e-05,3.023e-05,3.023e-05,3.023e-05,80883.42023514
1682782080000,3.023e-05,3.023e-05,3.023e-05,3.023e-05,46868.53089325
1682782920000,3.023e-05,3.023e-05,3.023e-05,3.023e-05,44892.08269697
1682783700000,3.014e-05,3.014e-05,3.014e-05,3.014e-05,100000.0
1682784240000,3.014e-05,3.014e-05,3.014e-05,3.014e-05,170000.0
1682785200000,3.022e-05,3.022e-05,3.022e-05,3.022e-05,70323.07838258
1682785500000,3.014e-05,3.014e-05,3.014e-05,3.014e-05,51238.6684646
1682786160000,3.014e-05,3.014e-05,3.014e-05,3.014e-05,495599.66259361
1682786340000,3.014e-05,3.014e-05,3.014e-05,3.014e-05,329632.81679413
1682787480000,3.015e-05,3.015e-05,3.015e-05,3.015e-05,43679.69138243
1682788260000,3.015e-05,3.015e-05,3.015e-05,3.015e-05,45388.04901317
1682789100000,3.015e-05,3.015e-05,3.015e-05,3.015e-05,44156.16988169
1682789460000,2.991e-05,2.991e-05,2.991e-05,2.991e-05,499605.45896272
1682790420000,3.003e-05,3.003e-05,3.003e-05,3.003e-05,41650.03299178
1682791500000,3.003e-05,3.003e-05,3.003e-05,3.003e-05,50359.54751462
1682792580000,3.003e-05,3.003e-05,3.003e-05,3.003e-05,69525.21205168
1682793720000,3.003e-05,3.003e-05,3.003e-05,3.003e-05,77556.1432096
1682794920000,3.003e-05,3.003e-05,3.003e-05,3.003e-05,46334.4002435
1682795400000,2.992e-05,2.992e-05,2.992e-05,2.992e-05,67889.25496498
1682796060000,2.992e-05,2.991e-05,2.992e-05,2.991e-05,215841.11
1682797140000,3.003e-05,3.003e-05,3.003e-05,3.003e-05,43242.46594367
1682798340000,3.003e-05,3.003e-05,3.003e-05,3.003e-05,73153.2993458
1682798700000,3.003e-05,3.003e-05,3.003e-05,3.003e-05,164994.26409596
1682799540000,3.026e-05,3.026e-05,3.026e-05,3.026e-05,65043.10448186
1682799960000,2.992e-05,2.992e-05,2.992e-05,2.992e-05,43394.57940923
1682801100000,3.025e-05,3.025e-05,3.025e-05,3.025e-05,53197.90523743
1682801460000,2.993e-05,2.993e-05,2.993e-05,2.993e-05,43733.74325417
1682802720000,3.054e-05,3.054e-05,3.054e-05,3.054e-05,58567.58873902
1682804280000,3.034e-05,3.034e-05,3.034e-05,3.034e-05,50178.67135959
1682804700000,2.992e-05,2.992e-05,2.992e-05,2.992e-05,55409.59641083
1682805660000,3.034e-05,3.04e-05,3.04e-05,3.034e-05,864628.50896377
1682805780000,3.047e-05,3.047e-05,3.047e-05,3.047e-05,100000.0
1682806080000,3.047e-05,3.047e-05,3.047e-05,3.047e-05,64196.08294943
1682806140000,3.047e-05,3.047e-05,3.047e-05,3.047e-05,728609.16468507
1682808900000,3.039e-05,3.039e-05,3.039e-05,3.039e-05,67698.40438553
1682811900000,3.041e-05,3.041e-05,3.041e-05,3.041e-05,45220.84789304
1682812320000,3.008e-05,3.008e-05,3.008e-05,3.008e-05,47153.72490852
1682813460000,3.028e-05,3.028e-05,3.028e-05,3.028e-05,75919.15144803
1682814660000,3.03e-05,3.03e-05,3.03e-05,3.03e-05,56849.40050202
1682815080000,3.016e-05,3.016e-05,3.016e-05,3.016e-05,81412.79549201
1682815440000,3.016e-05,3.016e-05,3.016e-05,3.016e-05,340427.72531363
1682815620000,3.016e-05,3.016e-05,3.016e-05,3.016e-05,167364.60856565
1682815680000,3.016e-05,3.016e-05,3.016e-05,3.016e-05,112279.03234768
1682815740000,3.016e-05,3.016e-05,3.016e-05,3.016e-05,227256.15804558
1682815860000,3.016e-05,3.016e-05,3.016e-05,3.016e-05,112950.95705776
1682816100000,3.011e-05,3.011e-05,3.011e-05,3.011e-05,169755.35952398
1682816160000,3.007e-05,3.007e-05,3.007e-05,3.007e-05,282044.45105946
1682817360000,3.015e-05,3.015e-05,3.015e-05,3.015e-05,50123.84640009
1682817900000,3.006e-05,3.006e-05,3.006e-05,3.006e-05,58025.68148209
1682819160000,3.001e-05,3.001e-05,3.001e-05,3.001e-05,49735.93665763
1682819820000,2.995e-05,2.993e-05,2.995e-05,2.993e-05,339777.51034341
1682819880000,2.993e-05,2.99e-05,2.993e-05,2.99e-05,499918.40361681
1682820900000,2.995e-05,2.995e-05,2.995e-05,2.995e-05,47561.74145481
1682821260000,2.99e-05,2.99e-05,2.99e-05,2.99e-05,63457.73809801
1682822340000,2.996e-05,2.996e-05,2.996e-05,2.996e-05,57977.1660847
1682823480000,2.998e-05,2.998e-05,2.998e-05,2.998e-05,42479.69578861
1682824500000,2.997e-05,2.997e-05,2.997e-05,2.997e-05,74154.31991101
1682824920000,2.99e-05,2.99e-05,2.99e-05,2.99e-05,71461.01511338
1682825940000,2.993e-05,2.993e-05,2.993e-05,2.993e-05,47119.37660595
1682827440000,2.995e-05,2.995e-05,2.995e-05,2.995e-05,45270.35452791
1682828700000,2.997e-05,2.997e-05,2.997e-05,2.997e-05,59780.91623403
1682829000000,2.99e-05,2.99e-05,2.99e-05,2.99e-05,59527.50033096
1682829780000,2.997e-05,2.997e-05,2.997e-05,2.997e-05,75130.00763171
1682830860000,2.997e-05,2.997e-05,2.997e-05,2.997e-05,52936.07468584
1682831280000,2.99e-05,2.99e-05,2.99e-05,2.99e-05,58271.05375948
1682832240000,2.997e-05,2.997e-05,2.997e-05,2.997e-05,70816.46498291
1682833080000,2.997e-05,2.997e-05,2.997e-05,2.997e-05,76327.41494697
1682833920000,2.997e-05,2.997e-05,2.997e-05,2.997e-05,64410.19499458
1682834880000,2.997e-05,2.997e-05,2.997e-05,2.997e-05,79135.73632318
1682835000000,2.997e-05,2.997e-05,2.997e-05,2.997e-05,261011.9376506
1682836080000,3.011e-05,3.011e-05,3.011e-05,3.011e-05,54894.25072027
1682836560000,2.997e-05,2.997e-05,2.997e-05,2.997e-05,80411.87013969
1682837820000,3.011e-05,3.011e-05,3.011e-05,3.011e-05,54828.0573746
1682838720000,3.011e-05,3.011e-05,3.011e-05,3.011e-05,53151.49557869
1682839980000,3.009e-05,3.009e-05,3.009e-05,3.009e-05,64803.69321548
1682840820000,3.011e-05,3.012e-05,3.012e-05,3.011e-05,76980.53960269
1682842980000,3.011e-05,3.011e-05,3.011e-05,3.011e-05,68663.79264957001
1682843760000,3.016e-05,3.016e-05,3.016e-05,3.016e-05,65609.83278333
