time,open,close,high,low,volume
1685776320000,114.8,114.8,114.8,114.8,0.02727285
1685777940000,114.79,114.79,114.79,114.79,0.06095182
1685780220000,114.94,115.0,115.0,114.94,138.11457988
1685780280000,115.0,115.0,115.0,115.0,114.8
1685780340000,115.0,115.0,115.0,115.0,4.03702116
1685780820000,115.0,115.0,115.0,115.0,11.6
1685782140000,115.0,115.0,115.0,115.0,18.64048896
1685783040000,114.86,114.86,114.86,114.86,0.03711567
1685783460000,114.93,114.93,114.93,114.93,0.03652981
1685783700000,114.8,114.8,114.8,114.8,1.5
1685784780000,114.9,114.9,114.9,114.9,0.02269998
1685786520000,114.93,114.93,114.93,114.93,0.5
1685790360000,114.99,114.99,114.99,114.99,0.25
1685791740000,115.09,115.09,115.09,115.09,1.11282772
1685796540000,115.16,115.19,115.19,115.16,3.243876
1685796600000,115.19,115.19,115.19,115.19,0.069662
1685796780000,115.19,115.19,115.19,115.19,0.213484
1685796840000,115.19,115.19,115.19,115.19,0.049301
1685796900000,115.19,115.19,115.19,115.19,0.074203
1685797740000,114.92,114.92,114.92,114.92,0.02359816
1685801280000,114.88,114.88,114.88,114.88,0.2
1685802420000,114.98,114.98,114.98,114.98,0.03267087
1685802780000,115.04,115.04,115.04,115.04,0.02001662
1685802900000,115.03,115.03,115.03,115.03,0.1
1685805420000,115.04,115.09,115.09,115.04,2.463561
1685806140000,115.1,115.1,115.1,115.1,0.36384
1685807820000,115.2,115.2,115.2,115.2,0.0321141
1685808000000,115.29,115.3,115.3,115.29,1.241391
1685808180000,115.39,115.39,115.39,115.39,0.037507
1685809440000,115.31,115.31,115.31,115.31,0.569015
1685809500000,115.39,115.39,115.39,115.39,1.331325
1685809740000,115.34,115.34,115.34,115.34,0.045695
1685812140000,115.31,115.31,115.31,115.31,2.9
1685813640000,115.13,115.13,115.13,115.13,0.02070061
1685813820000,115.1,115.1,115.1,115.1,0.19417339
1685814840000,114.98,114.98,114.98,114.98,0.03412589
1685815560000,114.93,114.93,114.93,114.93,0.19662276
1685819640000,114.77,114.77,114.77,114.77,0.03985565
1685820060000,114.77,114.77,114.77,114.77,0.16571127
1685820300000,114.57,114.57,114.57,114.57,0.2817923
1685826780000,114.53,114.53,114.53,114.53,2.40635
1685830080000,114.69,114.69,114.69,114.69,0.03540088
1685830200000,114.77,114.77,114.77,114.77,0.02533756
1685830260000,114.72,114.72,114.72,114.72,0.024
1685831100000,114.77,114.77,114.77,114.77,0.06488982
1685832420000,114.93,114.93,114.93,114.93,0.02186457
1685836500000,115.01,115.01,115.01,115.01,0.1901296
1685838420000,114.85,114.85,114.85,114.85,0.03481227
1685839020000,114.77,114.77,114.77,114.77,0.21638623
1685839380000,114.47,114.47,114.47,114.47,0.1
1685839920000,114.57,114.57,114.57,114.57,2.9
1685840280000,114.47,114.47,114.47,114.47,0.35343263
1685840460000,114.44,114.44,114.44,114.44,0.20398833
1685841780000,114.63,114.63,114.63,114.63,0.02567622
1685842200000,114.79,114.79,114.79,114.79,5.886706
1685842260000,114.79,114.79,114.79,114.79,0.03128
1685843340000,114.61,114.61,114.61,114.61,0.03808698
1685845800000,114.76,114.76,114.76,114.76,0.03669251
1685847060000,114.8,114.8,114.8,114.8,0.02511953
1685847420000,114.98,114.98,114.98,114.98,0.03959936
1685853240000,115.22,115.22,115.22,115.22,0.02108231
1685853600000,115.17,115.17,115.17,115.17,0.03949276
1685854980000,115.22,115.22,115.22,115.22,0.00242457
1685856240000,115.28,115.28,115.28,115.28,0.08552698
1685857200000,115.1,115.1,115.1,115.1,0.02125964
1685858820000,115.2,115.2,115.2,115.2,0.02435402
1685859780000,115.46,115.46,115.46,115.46,0.02304999
1685860140000,115.42,115.42,115.42,115.42,0.02385235
1685860260000,115.47,115.47,115.47,115.47,2.526479
1685860680000,115.52,115.52,115.52,115.52,0.03972266
1685860980000,115.59,115.59,115.59,115.59,8.67659544
1685862000000,115.83,115.83,115.83,115.83,0.02984721
1685862060000,115.93,115.93,115.93,115.93,2.7073558
1685862360000,115.98,116.02,116.02,115.98,4.67566838
1685863020000,116.35,116.43,116.43,116.35,5.065721679999999
1685863200000,116.43,116.43,116.43,116.43,0.54143042
1685864280000,116.61,116.61,116.61,116.61,0.0290231
1685864460000,116.82,116.82,116.82,116.82,2.9
1685864760000,116.82,116.9,116.9,116.82,5.581843879999999
1685865960000,116.79,116.79,116.79,116.79,0.03396413
1685866980000,116.73,116.73,116.73,116.73,1.0
1685867880000,116.34,116.34,116.34,116.34,0.02042481
1685870100000,116.57,116.57,116.57,116.57,0.02552646
1685870580000,116.79,116.79,116.79,116.79,0.02020003
1685873340000,116.59,116.59,116.59,116.59,0.02504163
1685873400000,116.67,116.67,116.67,116.67,0.809943
1685874240000,116.65,116.65,116.65,116.65,0.08552698
1685875200000,116.69,116.69,116.69,116.69,0.61649297
1685876220000,116.51,116.51,116.51,116.51,0.03880482
1685879580000,116.36,116.36,116.36,116.36,0.02487332
1685882100000,116.41,116.41,116.41,116.41,6.70860825
1685885280000,116.48,116.48,116.48,116.48,0.03230995
1685885640000,116.79,116.79,116.79,116.79,0.03215876
1685886840000,116.61,116.61,116.61,116.61,0.03266653
1685887440000,116.39,116.31,116.39,116.31,12.747623
1685889240000,116.28,116.28,116.28,116.28,0.20288511
1685889480000,116.24,116.24,116.24,116.24,0.2029548
1685890500000,116.54,116.69,116.69,116.54,0.89664823
1685890860000,116.69,116.69,116.69,116.69,0.02694226
1685891940000,116.77,116.77,116.77,116.77,0.797365
1685893200000,116.6,116.55,116.6,116.55,0.52465984
1685894280000,116.67,116.67,116.67,116.67,0.02023489
1685895900000,116.51,116.51,116.51,116.51,0.03238859
1685896140000,116.42,116.42,116.42,116.42,0.05
1685898720000,116.52,116.52,116.52,116.52,0.03545385
1685900040000,116.48,116.48,116.48,116.48,0.05
1685900340000,116.48,116.4,116.48,116.4,0.30107431
1685901660000,116.25,116.25,116.25,116.25,0.03429047
1685902860000,116.56,116.56,116.56,116.56,0.03081179
1685903220000,116.78,116.78,116.78,116.78,0.03925971
1685904120000,116.67,116.67,116.67,116.67,0.02931207
1685907420000,116.49,116.49,116.49,116.49,0.02078758
1685911140000,116.66,116.66,116.66,116.66,0.03645992
1685911260000,116.79,116.79,116.79,116.79,0.22635752
1685911560000,116.85,116.85,116.85,116.85,0.0309901
1685911860000,116.85,116.85,116.85,116.85,0.0142147
1685914080000,116.88,116.87,116.88,116.87,1.336759
1685914860000,116.59,116.59,116.59,116.59,0.02932529
1685916960000,116.78,116.78,116.78,116.78,0.07037632
1685918340000,116.49,116.49,116.49,116.49,0.03597856
1685920620000,116.3,116.3,116.3,116.3,0.02403883
1685920980000,116.18,116.18,116.18,116.18,3.657194
1685921820000,115.84,115.84,115.84,115.84,0.03972194
1685922120000,115.89,115.89,115.89,115.89,0.02204576
