time,open,close,high,low,volume
1682761860000,119.25,119.25,119.25,119.25,0.02114593
1682762220000,119.17,119.17,119.17,119.17,0.22049549
1682762280000,119.27,119.27,119.27,119.27,1.039429
1682762340000,119.17,119.17,119.17,119.17,0.03733585
1682763240000,119.44,119.44,119.44,119.44,0.02280673
1682763600000,119.27,119.27,119.27,119.27,0.02593906
1682764740000,119.45,119.45,119.45,119.45,0.0205683
1682766000000,119.36,119.36,119.36,119.36,0.03470162
1682766240000,119.27,119.27,119.27,119.27,5.8
1682766420000,119.41,119.41,119.41,119.41,0.02918495
1682767320000,119.66,119.66,119.66,119.66,0.02243478
1682768160000,119.47,119.47,119.47,119.47,0.03235515
1682769000000,119.65,119.65,119.65,119.65,0.02519722
1682769360000,119.68,119.68,119.68,119.68,0.03637093
1682770980000,119.54,119.54,119.54,119.54,0.02365359
1682771040000,119.55,119.55,119.55,119.55,5.8
1682772000000,119.68,119.68,119.68,119.68,0.63
1682772180000,119.68,119.68,119.68,119.68,0.00703104
1682772300000,119.69,119.69,119.69,119.69,1.43379516
1682772720000,119.79,119.79,119.79,119.79,3.34345
1682774340000,120.02,120.02,120.02,120.02,0.22026577
1682774460000,120.02,120.02,120.02,120.02,5.8
1682776260000,120.16,120.16,120.16,120.16,5.8
1682777100000,120.15,120.12,120.15,120.12,2.81461947
1682778360000,120.08,120.08,120.08,120.08,0.02595548
1682779860000,119.89,119.89,119.89,119.89,0.02474775
1682783160000,119.81,119.81,119.81,119.81,5.8
1682783220000,119.68,119.68,119.68,119.68,3.343735
1682783280000,119.38,119.38,119.38,119.38,5.8
1682783700000,119.5,119.5,119.5,119.5,5.8
1682784480000,119.63,119.63,119.63,119.63,0.03026685
1682784840000,119.6,119.6,119.6,119.6,0.03285222
1682785860000,119.42,119.42,119.42,119.42,0.02166513
1682789400000,119.24,118.78,119.24,118.78,0.2182840499999999
1682789460000,118.19,118.19,118.19,118.19,3.0
1682789520000,118.64,118.64,118.64,118.64,3.37
1682789820000,118.63,118.63,118.63,118.63,5.8
1682791320000,119.02,119.02,119.02,119.02,0.03099765
1682794260000,119.21,119.21,119.21,119.21,0.02195449
1682795460000,119.33,119.33,119.33,119.33,0.03299977
1682795820000,119.43,119.43,119.43,119.43,0.03052482
1682796780000,119.64,119.64,119.64,119.64,8.0
1682799180000,119.81,119.81,119.81,119.81,0.03757563
1682799540000,119.61,119.61,119.61,119.61,0.03487423
