time,open,close,high,low,volume,Unnamed: 0
1628669940000,0.83777,0.83947,0.83947,0.83777,364.33200362,
1628670300000,0.83947,0.8442,0.8442,0.83947,1176.62605271,
1628670360000,0.84471,0.84964,0.84964,0.84471,1597.59721352,
1628670420000,0.85082,0.85525,0.85525,0.85082,1487.09665769,
1628670480000,0.85654,0.86363,0.86363,0.85654,1698.64394077,
1628670540000,0.86427,0.87174,0.87174,0.86427,1968.12548791,
1628670600000,0.87277,0.87505,0.87505,0.87277,1187.69344886,
1628671440000,0.87588,0.87969,0.87969,0.87588,1164.94795546,
1628671500000,0.8811,0.88725,0.88725,0.8811,1703.39544175,
1628671560000,0.8884,0.89527,0.89527,0.8884,2083.7066927,
1628671620000,0.89579,0.90047,0.90047,0.89579,1749.73459799,
1628671680000,0.90139,0.90326,0.90326,0.90139,632.57031833,
1628671740000,0.90463,0.90939,0.90939,0.90463,1616.79491029,
1628671800000,0.91031,0.91334,0.91334,0.91031,884.62395393,
1628671860000,0.91409,0.92501,0.92501,0.91409,3027.30699268,
1628676000000,0.91853,0.91638,0.91853,0.91638,781.7582000699999,
1628676060000,0.91495,0.90968,0.91495,0.90968,1587.54037073,
1628677140000,0.90968,0.90246,0.90968,0.90246,1989.402941,
1628681520000,0.90939,0.91954,0.91954,0.90939,2500.0,
1628681640000,0.91954,0.9261,0.9261,0.91954,1500.0,
1628681700000,0.9261,0.9299,0.9299,0.9261,900.0,
1628681760000,0.9299,0.9299,0.9299,0.9299,15.0,
1628682840000,0.9299,0.9299,0.9299,0.9299,1.0,
1628693340000,0.9299,0.94,0.94,0.9299,264.15900678,
1628702520000,0.94041,0.94001,0.94041,0.94001,35.0,
1628702940000,0.94001,0.94001,0.94001,0.94001,20.0,
1628703480000,0.94001,0.94001,0.94001,0.94001,10.0,
1628704260000,0.94986,0.96557,0.96557,0.94986,24.85985535,
1628704320000,0.96557,0.96557,0.96557,0.96557,15.14014465,
1628705820000,0.96847,0.96847,0.96847,0.96847,0.001,
1628706660000,0.969,0.969,0.969,0.969,1.0,
1628735040000,0.97,0.97,0.97,0.97,18.464579,
1628757060000,0.97178,0.97178,0.97178,0.97178,1.0,
1628762160000,0.969,0.96847,0.969,0.96847,31.35716001,
1628767140000,0.96847,0.96847,0.96847,0.96847,27.64183999,
1628767260000,0.94,0.94,0.94,0.94,65.48353559,
1628768100000,0.97178,0.975,0.975,0.97178,49.47988141,
1628768220000,0.975,0.975,0.975,0.975,21.21065865,
1628776500000,0.97999,0.97999,0.97999,0.97999,14.372361,
1628780880000,0.97999,0.97487,0.99,0.97487,3604.08929894,
1628784240000,0.9299,0.9299,0.9299,0.9299,10.186754,
1628789220000,0.9299,0.9299,0.9299,0.9299,14.343617,
1628851500000,0.93102,0.93102,0.93102,0.93102,2.385136,
1628853660000,0.93102,0.93176,0.93176,0.93102,381.82693791,
1628853720000,0.93176,0.93551,0.93551,0.93176,1000.0,
1628856780000,0.93837,0.93988,0.93988,0.93837,500.0,
1628856840000,0.93988,0.94177,0.94177,0.93988,500.0,
1628856900000,0.94177,1.05,1.05,0.94177,1364.43465458,
1628891340000,1.05,1.05,1.05,1.05,135.678418,
1628915100000,1.0005,1.0005,1.0005,1.0005,41.28580728,
1628923740000,1.0412,1.05,1.05,1.0412,1876.78002983,
1628923800000,0.94554,0.939,0.94554,0.939,18.447114000000003,
1628941680000,0.939,0.939,0.939,0.939,16.934421,
1628964840000,0.9463,0.9463,0.9463,0.9463,213.04026207,
1628964900000,0.9473,0.9479,0.9479,0.9473,565.19267214,
1628964960000,0.9479,0.952,0.952,0.9479,1010.29193268,
1629007500000,0.96246,0.96246,0.96246,0.96246,5.0,
1629008640000,0.96686,0.96686,0.96686,0.96686,14.62888802,
1629008880000,0.9455,0.94535,0.9455,0.94535,79.503738,
1629014640000,0.95272,0.96969,0.96969,0.95272,4200.0,
1629015300000,0.96968,0.98499,0.98499,0.96968,4000.0,
1629015360000,0.98499,0.99486,0.99486,0.98499,2000.0,
1629015420000,0.99486,0.99982,0.99982,0.99486,810.0,
1629025920000,0.99982,1.0067,1.0067,0.99982,1600.25667626,
1629028620000,1.0067,1.009,1.009,1.0067,963.30795598,
1629035340000,1.045,1.09,1.09,1.045,36.310773,
1629044940000,1.492,1.8643,1.8643,1.492,75.434692,
1629045720000,1.0409,1.0123,1.0409,1.0123,5.0,
1629048060000,1.7985,1.7985,1.7985,1.7985,4.989718,
1629048840000,1.0998,1.0123,1.0998,1.0123,4.979738,
1629049680000,1.789,1.85,1.85,1.789,41.324068,
1629049740000,1.033,1.033,1.033,1.033,41.241419,
1629054960000,1.072,1.0532,1.072,1.0532,41.241419,
1629097080000,1.0654,1.0654,1.0654,1.0654,1.238937,
1629098460000,1.0654,1.02,1.0654,1.02,564.5676960000001,
1629103920000,1.0114,1.013,1.013,1.0114,381.82693791,
1629113400000,1.0411,1.0448,1.0448,1.0411,1241.40705808,
1629113460000,1.0456,1.0506,1.0506,1.0456,1020.121652,
1629115560000,1.0506,1.0542,1.0542,1.0506,1054.78419168,
1629123060000,1.055,1.0468,1.055,1.0468,199.6,
1629129540000,1.0553,1.0553,1.0553,1.0553,154.0,
1629129660000,1.0553,1.0563,1.0563,1.0553,33.81177822,
1629130860000,1.0563,1.0563,1.0563,1.0563,88.015187,
1629134520000,1.0563,1.0563,1.0563,1.0563,50.0,
1629134820000,1.0563,1.0573,1.0573,1.0563,46.8,
1629135180000,1.0573,1.0586,1.0586,1.0573,228.84844595,
1629136680000,1.0552,1.0552,1.0552,1.0552,213.664554,
1629136740000,1.0499,1.0499,1.0499,1.0499,14.728996,
1629140280000,1.0586,1.0586,1.0586,1.0586,85.0,
1629140340000,1.0586,1.0586,1.0586,1.0586,3.0,
1629154620000,1.0586,1.0586,1.0586,1.0586,1.0,
1629184680000,1.0499,1.0499,1.0499,1.0499,87.824,
1629186480000,1.0499,1.0499,1.0499,1.0499,2.380365,
1629191820000,1.0586,1.0681,1.0681,1.0586,2000.0,
1629201060000,1.0681,1.0701,1.0701,1.0681,464.8165943,
1629201120000,1.0709,1.105,1.105,1.0709,1314.97813122,
1629205740000,1.0688,1.0688,1.0688,1.0688,2.0,
1629208440000,1.0724,1.0724,1.0724,1.0724,1.10244997,
1629208500000,1.0724,1.0724,1.0724,1.0724,0.00816409,
1629208620000,1.0639,1.0639,1.0639,1.0639,0.00338176,
1629208980000,1.0724,1.0778,1.0778,1.0724,1487.12923719,
1629277020000,1.148,1.2476,1.2476,1.148,451.43338388,
1629281220000,1.1458,1.1458,1.1458,1.1458,0.146353,
1629285660000,1.14,1.14,1.14,1.14,51.4,
1629287880000,1.11,1.11,1.11,1.11,10.0,
1629289080000,1.1,1.1,1.1,1.1,8.530219,
1629289200000,1.1,1.0704,1.1,1.0704,30.0,
1629310740000,1.1077,1.11,1.11,1.1077,500.0,
1629312180000,1.1072,1.11,1.11,1.1072,100.0,
1629312720000,1.1052,1.12,1.12,1.1052,1519.584621,
1629335340000,1.12,1.12,1.12,1.12,8.41012,
1629356760000,1.0742,1.0703,1.0742,1.0703,19.0,
