time,open,close,high,low,volume
1682589480000,0.39142,0.39142,0.39142,0.39142,119.77255469
1682589600000,0.39142,0.39123,0.39142,0.39123,75.2304379
1682589660000,0.39135,0.39135,0.39135,0.39135,3.6692
1682589720000,0.39197,0.39197,0.39197,0.39197,3.7239
1682589780000,0.39214,0.39269,0.39269,0.39214,22.2079
1682589840000,0.39307,0.39289,0.39307,0.39289,8.3211
1682589900000,0.3936,0.39302,0.39414,0.39302,19.4052
1682589960000,0.39379,0.39395,0.39395,0.39379,10.2471
1682590020000,0.39417,0.39352,0.39417,0.39346,23.9353
1682590080000,0.39342,0.39515,0.39515,0.39342,18.6508
1682590140000,0.3954,0.39502,0.3954,0.39502,10.6093
1682590200000,0.39533,0.39625,0.39625,0.3949,18.4529
1682590260000,0.39653,0.39769,0.39769,0.39653,15.5777
1682590320000,0.39682,0.39447,0.39682,0.39406,21.8933
1682590380000,0.39436,0.39486,0.39486,0.39428,22.258000000000003
1682590440000,0.3944,0.3951,0.3951,0.3944,13.0124
1682590500000,0.39616,0.39682,0.39682,0.39616,21.0668
1682590560000,0.39656,0.39705,0.39705,0.39656,13.7691
1682590620000,0.39751,0.39726,0.39859,0.39726,24.4125
1682590680000,0.39845,0.39654,0.39845,0.39654,15.2138
1682590740000,0.39739,0.39716,0.39739,0.39716,12.7893
1682590800000,0.39707,0.39669,0.39707,0.39639,21.8912
1682590860000,0.39641,0.39743,0.39743,0.39641,11.8956
1682590920000,0.39649,0.39923,0.39923,0.39649,17.293599999999998
1682590980000,0.40065,0.40084,0.40084,0.39879,18.2381
1682591040000,0.40313,0.40206,0.40313,0.40206,7.3602
1682591100000,0.39932,0.39974,0.40032,0.39932,17.015900000000002
1682591160000,0.40129,0.40604,0.40604,0.40129,22.2688
1682591220000,0.40915,0.40118,0.40915,0.40118,11.7688
1682591280000,0.39855,0.40244,0.40244,0.39855,20.8321
1682591340000,0.39973,0.3996,0.39973,0.3996,13.16
1682591400000,0.40166,0.40188,0.40188,0.40031,23.9314
1682591460000,0.40136,0.4017,0.4017,0.40001,13.8306
1682591520000,0.4014,0.40045,0.4014,0.40045,11.0247
1682591580000,0.4001,0.40133,0.40133,0.4001,13.5833
1682591640000,0.40108,0.40028,0.40108,0.40028,9.1239
1682591700000,0.40176,0.40125,0.40176,0.40125,20.4306
1682591760000,0.40127,0.40111,0.40127,0.40084,25.2986
1682591820000,0.40106,0.4016,0.4016,0.40106,6.8159
1682591880000,0.40149,0.4014,0.40149,0.40063,18.9069
1682591940000,0.40255,0.40136,0.40255,0.40136,13.0475
1682592000000,0.40225,0.40237,0.40237,0.40225,13.2489
1682592060000,0.40136,0.40161,0.40161,0.40018,21.0946
1682592120000,0.40224,0.4039,0.4039,0.40224,104.16856516
1682592180000,0.40181,0.40214,0.40338,0.40181,13.3214
1682592240000,0.4034,0.40277,0.4034,0.40277,85.99180007
1682592300000,0.40328,0.40377,0.40377,0.40317,23.892
1682592360000,0.40306,0.40341,0.40341,0.40306,16.7413
1682592420000,0.40353,0.40398,0.40398,0.40353,11.7924
1682592480000,0.40388,0.40372,0.40459,0.40372,23.0911
1682592540000,0.40341,0.40406,0.40406,0.40341,11.6963
1682592600000,0.40314,0.40277,0.40314,0.40277,16.1839
1682592660000,0.40461,0.40358,0.40461,0.40358,14.8907
1682592720000,0.40431,0.4034,0.40431,0.4034,12.8866
1682592780000,0.40489,0.40254,0.40503,0.40254,21.179
1682592840000,0.40209,0.40486,0.40486,0.40209,18.4379
1682592900000,0.4033,0.40436,0.40436,0.403,17.160027810000003
1682592960000,0.40415,0.40318,0.40415,0.40301,12.0997
1682593020000,0.40444,0.40411,0.40444,0.4038,19.53283475
1682593080000,0.40381,0.40437,0.40437,0.4033,13.9688
1682593140000,0.4035,0.40349,0.40351,0.40349,19.4455
1682593200000,0.40327,0.40407,0.40407,0.40327,10.8123
1682593260000,0.40432,0.40438,0.40438,0.40432,25.2779
1682593320000,0.4034,0.40469,0.40469,0.4034,11.4744
1682593380000,0.40423,0.40428,0.40478,0.40423,15.5916
1682593440000,0.40447,0.404,0.40458,0.404,20.0579
1682593500000,0.40484,0.40472,0.40484,0.40472,15.0253
1682593560000,0.40469,0.40418,0.40469,0.40404,20.2782
1682593620000,0.40465,0.40509,0.40509,0.40465,14.7603
1682593680000,0.40312,0.40552,0.40552,0.40312,17.2637
1682593740000,0.40436,0.40413,0.40479,0.40413,23.2518
1682593800000,0.40417,0.4043,0.4043,0.40417,15.633
1682593860000,0.40494,0.40757,0.40757,0.40494,16.0872
1682593920000,0.40525,0.40824,0.40824,0.40525,15.499199999999998
1682593980000,0.40569,0.40676,0.40676,0.40569,16.1607
1682594040000,0.40731,0.40726,0.40731,0.40711,19.4519
1682594100000,0.40654,0.40585,0.40654,0.40585,12.4991
1682594160000,0.40649,0.40735,0.40735,0.40649,22.9945
1682594220000,0.40721,0.40769,0.40797,0.40721,25.1072
1682594280000,0.40765,0.40646,0.40765,0.40646,13.1085
1682594340000,0.40607,0.40731,0.40804,0.40607,15.6794
1682594400000,0.40766,0.40713,0.40766,0.40713,16.7534
1682594460000,0.40872,0.40809,0.40872,0.40809,22.6967
1682594520000,0.40881,0.40811,0.40881,0.40811,22.3195
1682594580000,0.40848,0.40894,0.40894,0.40848,12.6813
1682594640000,0.40901,0.40943,0.40943,0.40851,16.1485
1682594700000,0.4084,0.40939,0.40939,0.4084,17.762
1682594760000,0.40899,0.4083,0.40899,0.4083,13.349
1682594820000,0.4084,0.4088,0.4088,0.40819,16.4077
1682594880000,0.40735,0.40903,0.40903,0.40735,15.9526
1682594940000,0.41018,0.40974,0.41018,0.40952,22.5276
1682595000000,0.40986,0.40968,0.40987,0.40968,17.1698
1682595060000,0.40984,0.41068,0.41094,0.40984,22.3919
1682595120000,0.41104,0.41074,0.41104,0.41074,20.4526
1682595180000,0.41033,0.41057,0.41057,0.41033,17.0065
1682595240000,0.4105,0.41073,0.41086,0.4105,11.4296
1682595300000,0.41016,0.41023,0.41093,0.41016,13.7835
1682595360000,0.41076,0.41131,0.41131,0.41076,13.2605
1682595420000,0.41096,0.41074,0.4113,0.41074,18.6454
1682595480000,0.411,0.41046,0.411,0.41046,14.2962
1682595540000,0.41109,0.41022,0.41109,0.41022,18.3199
1682595600000,0.41143,0.41128,0.41143,0.41128,20.2874
1682595660000,0.41203,0.41222,0.41222,0.41203,14.2811
1682595720000,0.41175,0.41197,0.41197,0.41141,21.5055
1682595780000,0.41161,0.41105,0.41161,0.41105,14.0116
1682595840000,0.41105,0.41191,0.41191,0.41105,14.3156
1682595900000,0.41163,0.41154,0.41163,0.41109,25.1359
