time,open,close,high,low,volume
1685784960000,0.52332,0.52332,0.52332,0.52332,955.4
1685791440000,0.522,0.522,0.522,0.522,209.58
1685791800000,0.52343,0.52343,0.52343,0.52343,0.85091952
1685802480000,0.52678,0.52679,0.52679,0.52678,1000.0
1685802600000,0.526,0.526,0.526,0.526,10000.0
1685802900000,0.525,0.525,0.525,0.525,10000.0
1685803500000,0.52523,0.52554,0.52554,0.52523,1000.0
1685803620000,0.525,0.525,0.525,0.525,5000.0
1685803860000,0.52585,0.526,0.526,0.52585,2890.3
1685804220000,0.527,0.527,0.527,0.527,12000.0
1685805240000,0.523,0.523,0.523,0.523,5000.0
1685805780000,0.52424,0.5244,0.5244,0.52424,2000.0
1685811420000,0.52042,0.52042,0.52042,0.52042,0.34574618
1685813400000,0.51122,0.51122,0.51122,0.51122,2.03219128
1685815680000,0.50534,0.50534,0.50534,0.50534,989.4
1685817960000,0.50373,0.50373,0.50373,0.50373,7.99027743
1685824260000,0.49737,0.49737,0.49737,0.49737,2.87565857
1685825160000,0.49663,0.49663,0.49663,0.49663,4.41868692
1685829300000,0.49738,0.49706,0.49738,0.49706,2855.0
1685831460000,0.4994,0.4994,0.4994,0.4994,0.97898615
1685933520000,0.49194,0.49186,0.49194,0.49186,2855.0
1685934000000,0.48068,0.48047,0.48068,0.48047,1124.0
1685935860000,0.48308,0.48284,0.48308,0.48284,2855.0
1685938560000,0.4824,0.4824,0.4824,0.4824,2.52386369
1685941560000,0.48116,0.48116,0.48116,0.48116,1.16033103
1685945760000,0.48399,0.48399,0.48399,0.48399,0.26575037
1685978340000,0.46854,0.46881,0.46881,0.46854,2262.0
1685980680000,0.44814,0.44814,0.44814,0.44759,112.63754266
1685980740000,0.44527,0.44525,0.44527,0.44525,1718.0
1685980800000,0.42089,0.4097,0.42089,0.4097,630.34322939
1685980860000,0.41203,0.4176,0.4176,0.41203,1249.0
1685980920000,0.41612,0.41195,0.41612,0.41195,4457.0
1685980980000,0.40981,0.406,0.40981,0.406,561.0
1685981040000,0.406,0.406,0.406,0.406,700.0
1685981160000,0.40488,0.40666,0.41713,0.40473,6958.40764
1685981220000,0.41844,0.42957,0.42957,0.41844,898.69120077
1685981340000,0.42781,0.42781,0.42781,0.42781,859.0
1685981400000,0.43009,0.43009,0.43009,0.43009,9.97129942
1685981520000,0.43399,0.43399,0.43399,0.43399,859.0
1685981640000,0.43938,0.43938,0.43938,0.43938,1.98676829
1685982240000,0.44039,0.44398,0.44398,0.44039,600.40764
1685982360000,0.43929,0.43929,0.43929,0.43929,477.0
1685982540000,0.43948,0.43948,0.43948,0.43948,571.0
1685985240000,0.43157,0.43102,0.43157,0.43102,3571.0
1685988840000,0.43055,0.43055,0.43055,0.43055,2.06183335
1685995620000,0.43227,0.43227,0.43227,0.43227,0.32889033
1686002820000,0.43028,0.43028,0.43028,0.43028,1.20011818
1686003000000,0.43114,0.43114,0.43114,0.43114,0.39319154
1686010020000,0.43713,0.43713,0.43713,0.43713,0.78737077
1686017280000,0.43083,0.43083,0.43083,0.43083,4.12735808
1686018240000,0.43342,0.43342,0.43342,0.43342,1.22936641
1686025440000,0.42929,0.42929,0.42929,0.42929,0.50973238
1686031680000,0.42807,0.42807,0.42807,0.42807,2.88246862
1686032700000,0.42914,0.42914,0.42914,0.42914,1.05971086
1686038880000,0.43136,0.43136,0.43136,0.43136,0.10573427
1686040140000,0.42908,0.42908,0.42908,0.42908,1.55735766
1686047340000,0.43615,0.43615,0.43615,0.43615,2.05237576
