time,open,close,high,low,volume
1682766600000,0.70581,0.70581,0.70581,0.70581,4.06829202
1682767980000,0.70522,0.70522,0.70522,0.70522,713.9
1682773620000,0.71585,0.71585,0.71585,0.71585,349.2
1682776800000,0.72067,0.72067,0.72067,0.72067,346.9
1682778780000,0.72425,0.72439,0.72439,0.72425,690.2
1682779080000,0.7237,0.7237,0.7237,0.7237,345.4
1682779440000,0.7284,0.7284,0.7284,0.7284,343.2
1682779500000,0.72762,0.72801,0.72801,0.72762,2855.0
1682782440000,0.71915,0.71915,0.71915,0.71915,347.6
1682782860000,0.7166,0.7166,0.7166,0.7166,348.8
1682784840000,0.71429,0.71429,0.71429,0.71429,800.2
1682788080000,0.7156,0.7156,0.7156,0.7156,0.96961548
1682788260000,0.71381,0.71381,0.71381,0.71381,3.3414035
1682795460000,0.70334,0.70334,0.70334,0.70334,0.49154682
1682797020000,0.7093,0.7093,0.7093,0.7093,765.0
1682807040000,0.7037,0.7037,0.7037,0.7037,757.9
1682809200000,0.70119,0.70119,0.70119,0.70119,1487.27079691
1682811180000,0.70001,0.70001,0.70001,0.70001,1488.34703845
1682811300000,0.70059,0.70059,0.70059,0.70059,859.0
1682813340000,0.70859,0.70859,0.70859,0.70859,1475.6638499
1682813400000,0.70965,0.70965,0.70965,0.70965,0.05191475
1682813460000,0.70965,0.70982,0.70982,0.70965,1056.54808525
1682813580000,0.71083,0.71083,0.71083,0.71083,351.7
1682813700000,0.71161,0.71161,0.71161,0.71161,0.16343482
1682813940000,0.72011,0.72011,0.72011,0.72011,347.1
1682814540000,0.72103,0.72103,0.72103,0.72103,346.7
1682815020000,0.71898,0.71898,0.71898,0.71898,1449.85937457
1682815080000,0.71634,0.71634,0.71634,0.71634,348.39806569
1682815200000,0.71701,0.71701,0.71701,0.71701,348.6
1682815320000,0.71649,0.71649,0.71649,0.71649,348.67017196
1682815440000,0.71719,0.71649,0.71719,0.71649,1207.60210555
1682815560000,0.71546,0.71546,0.71546,0.71546,55.126056
1682816220000,0.72222,0.72233,0.72233,0.72222,1038.3000000000002
1682816520000,0.7159,0.7164,0.7164,0.7159,2855.0
1682819400000,0.72174,0.72174,0.72174,0.72174,484.9
1682820060000,0.7155,0.7155,0.7155,0.7155,1121.4
1682824560000,0.72357,0.72357,0.72357,0.72357,0.44407009
1682825580000,0.72877,0.72877,0.72877,0.72877,101.197644
1682832480000,0.73419,0.73419,0.73419,0.73419,859.0
1682834460000,0.73365,0.73365,0.73365,0.73365,315.9129112
1682835540000,0.73792,0.73792,0.73792,0.73792,0.3354268
1682836860000,0.74002,0.74072,0.74072,0.74002,945.2
1682838420000,0.7358,0.7358,0.7358,0.7358,0.47811653
1682845200000,0.7359,0.7359,0.7359,0.7359,1.26624012
1682845260000,0.73606,0.73606,0.73606,0.73606,0.33174821
1682845920000,0.73944,0.73944,0.73944,0.73944,338.0
1682845980000,0.73944,0.73944,0.73944,0.73944,1014.1
1682846280000,0.73657,0.73657,0.73657,0.73657,811.3
1682850120000,0.73493,0.73493,0.73493,0.73493,340.1
1682851140000,0.73318,0.73318,0.73318,0.73318,0.07676736
1682851200000,0.73341,0.73395,0.73395,0.73341,681.4000000000001
1682851740000,0.72903,0.72903,0.72903,0.72903,988.6
1682853180000,0.72235,0.72235,0.72235,0.72235,181.3
1682854740000,0.72495,0.72495,0.72495,0.72495,3595.70949836
1682854860000,0.71907,0.71907,0.71907,0.71907,825.1
1682854920000,0.7182,0.7182,0.7182,0.7182,725.4
1682855280000,0.72372,0.72372,0.72372,0.72372,181.2
1682855580000,0.72123,0.72123,0.72123,0.72123,346.6
1682858340000,0.70958,0.70958,0.70958,0.70958,0.94985683
1682859660000,0.71181,0.71181,0.71181,0.71181,5.27397004
1682865660000,0.7167,0.7167,0.7167,0.7167,0.6193045
1682872860000,0.7125,0.7125,0.7125,0.7125,1.34453523
1682874360000,0.71427,0.71312,0.71427,0.71312,6161.55209271
1682874420000,0.71122,0.71122,0.71122,0.71122,733.6245240200001
1682874480000,0.7109,0.7109,0.7109,0.7109,7.3
1682878080000,0.70955,0.70955,0.70955,0.70955,858.1
1682880000000,0.70933,0.70933,0.70933,0.70933,0.51670537
1682880060000,0.70907,0.70907,0.70907,0.70907,2.03351122
1682887200000,0.71692,0.71692,0.71692,0.71692,0.03506117
1682887320000,0.71729,0.71761,0.71761,0.71729,2.19449594
1682893200000,0.72219,0.72219,0.72219,0.72219,346.1
1682894400000,0.71597,0.71597,0.71597,0.71597,0.94156563
1682901180000,0.70798,0.70798,0.70798,0.70798,1473.58757677
1682901600000,0.70464,0.70464,0.70464,0.70464,1.02136028
1682901720000,0.70418,0.70418,0.70418,0.70418,3.15015999
1682901960000,0.6941,0.6941,0.6941,0.6941,98.2
1682902920000,0.6885,0.6885,0.6885,0.6885,77.1
1682905620000,0.67811,0.67772,0.67811,0.67772,1084.0
1682907060000,0.68326,0.68326,0.68326,0.68326,256.1
1682907720000,0.68287,0.68287,0.68287,0.68287,779.8
1682909220000,0.67752,0.67752,0.67752,0.67752,859.0
1682910720000,0.67494,0.67494,0.67494,0.67494,859.0
1682916180000,0.68214,0.68214,0.68214,0.68214,2.41343055
1682916900000,0.68481,0.68481,0.68481,0.68481,586.0
1682921460000,0.68324,0.68324,0.68324,0.68324,1527.05301178
1682922720000,0.68201,0.68181,0.68201,0.68181,1115.6
1682923080000,0.68019,0.68019,0.68019,0.68019,859.0
1682923260000,0.68246,0.68246,0.68246,0.68246,0.21204296
1682923380000,0.68079,0.68079,0.68079,0.68079,2.29002536
1682924460000,0.68078,0.68078,0.68078,0.68078,751.7
1682927400000,0.68203,0.68203,0.68203,0.68203,859.0
1682928180000,0.68209,0.68209,0.68209,0.68209,792.5
1682931540000,0.68227,0.68227,0.68227,0.68227,816.2
1682932560000,0.68012,0.68012,0.68012,0.68012,772.6
1682932740000,0.68079,0.68079,0.68079,0.68079,0.59566738
1682937300000,0.68058,0.68058,0.68058,0.68058,752.2
1682938140000,0.6797,0.6797,0.6797,0.6797,859.0
1682940240000,0.67476,0.67461,0.67476,0.67461,1916.68414854
1682940840000,0.67785,0.67785,0.67785,0.67785,1.8875017
1682945280000,0.67872,0.67872,0.67872,0.67872,757.5
1682947260000,0.67779,0.67779,0.67779,0.67779,795.8
1682947440000,0.67801,0.67801,0.67801,0.67801,784.2
1682948100000,0.67772,0.67772,0.67772,0.67772,859.0
1682948460000,0.67835,0.67835,0.67835,0.67835,0.0103996
1682953200000,0.66855,0.66855,0.66855,0.66855,3911.7
1682953260000,0.67162,0.67429,0.67429,0.67162,1487.1999999999998
1682953320000,0.68654,0.68772,0.68772,0.68654,3307.33128844
1682953740000,0.69128,0.69128,0.69128,0.69128,753.70411242
