time,open,close,high,low,volume,Unnamed: 0
1617378300000,5.0,5.0,5.0,5.0,0.2,
1617378360000,3.4524,3.4524,3.4524,3.4524,0.2994,
1617378480000,3.3131,3.3131,3.3131,3.3131,0.001,
1617380400000,2.8964,2.7747,2.9098,2.72,632.97290474,
1617380460000,2.6386,2.7001,2.7001,2.6386,176.03300137,
1617380640000,2.7747,2.7747,2.7747,2.7747,10.53008596,
1617380700000,2.7681,2.72,2.7681,2.72,1787.37624506,
1617380760000,2.72,2.624,2.72,2.624,1031.87489008,
1617381420000,2.624,2.624,2.624,2.624,0.46557987,
1617381540000,2.624,2.624,2.624,2.624,1.08449798,
1617382740000,2.6656,2.6656,2.6656,2.6656,21.94818,
1617382800000,2.6656,2.6656,2.6656,2.6656,11.21149,
1617383040000,2.6656,2.6656,2.6656,2.6656,18.71312,
1617383220000,2.6323,2.6323,2.6323,2.6323,24.18673,
1617383460000,2.6692,2.6692,2.6692,2.6692,19.96531,
1617383520000,2.6284,2.624,2.6284,2.624,0.43142663,
1617383700000,2.6266,2.6266,2.6266,2.6266,26.6307,
1617384000000,2.624,2.6974,2.6974,2.624,16.509116929999998,
1617384060000,2.624,2.624,2.624,2.624,4.16323527,
1617384180000,2.6847,2.6847,2.6847,2.6847,26.34437,
1617384360000,2.7535,2.624,2.7535,2.624,25.04358011,
1617384480000,2.6268,2.6331,2.6331,2.6268,180.36084959,
1617384780000,2.624,2.6435,2.6435,2.624,20.54035102,
1617384900000,2.624,2.624,2.624,2.624,2.98275994,
1617384960000,2.6272,2.6272,2.6272,2.6272,17.22576,
1617385020000,2.624,2.624,2.624,2.624,2.98275498,
1617385200000,2.6421,2.6421,2.6421,2.6421,10.28809,
1617385260000,2.6462,2.6462,2.6462,2.6462,61.96970093,
1617385320000,2.633,2.633,2.633,2.633,11.55931,
1617385380000,2.6462,2.6724,2.6724,2.6462,394.12782489,
1617385440000,2.6615,2.6615,2.6615,2.6615,26.43697,
1617385620000,2.6461,2.6461,2.6461,2.6461,3.21117185,
1617385740000,2.6460000000000004,2.6487,2.6487,2.6460000000000004,16.13200277,
1617385860000,2.6460000000000004,2.6460000000000004,2.6460000000000004,2.6460000000000004,3.16000001,
1617385980000,2.6623,2.6723,2.6723,2.6623,25.36550108,
1617386280000,2.6512,2.6512,2.6512,2.6512,15.14013,
1617386460000,2.668,2.668,2.668,2.668,16.9735,
1617386640000,2.6723,2.6579,2.6855,2.6579,70.83173363,
1617386880000,2.6828,2.659,2.6828,2.659,17.922761989999994,
1617387060000,2.6855,2.6632,2.6855,2.6632,69.00308488,
1617387360000,2.6819,2.6819,2.6819,2.6819,22.62787,
1617387420000,2.6855,2.6855,2.6855,2.6855,56.17805381,
1617387600000,2.6646,2.6646,2.6646,2.6646,9.44982,
1617387780000,2.6739,2.6739,2.6739,2.6739,23.16559,
1617388020000,2.6617,2.6617,2.6617,2.6617,9.56294,
1617388260000,2.6726,2.6726,2.6726,2.6726,22.81333,
1617388380000,2.6625,2.6625,2.6625,2.6625,25.2335,
1617388440000,2.6855,2.6986,2.6986,2.6855,97.83313947,
1617388500000,2.6828,2.6828,2.6828,2.6828,14.83855,
1617388680000,2.6775,2.6986,2.6986,2.6775,41.72482909,
1617388860000,2.6986,2.6986,2.6986,2.6986,0.98875861,
1617388920000,2.6959,2.6959,2.6959,2.6959,16.490660000000002,
1617389100000,2.6986,2.6986,2.6986,2.6986,80.12780987,
1617389220000,2.6814,2.6814,2.6814,2.6814,10.9887,
1617389400000,2.6925,2.6925,2.6925,2.6925,9.6011,
1617389460000,2.6722,2.7117,2.7117,2.6721,10.63449818,
1617389640000,2.6805,2.6805,2.6805,2.6805,27.14244,
1617389760000,2.7007,2.7007,2.7007,2.7007,23.55686,
1617389880000,2.6878,2.7117,2.7117,2.6878,29.00459848,
1617390120000,2.6999,2.6999,2.6999,2.6999,13.85945,
1617390360000,2.6935,2.6935,2.6935,2.6935,18.25627,
1617390600000,2.708,2.708,2.708,2.708,24.75932,
1617390900000,2.6969,2.6969,2.6969,2.6969,18.38303,
1617391200000,2.709,2.709,2.709,2.709,17.81851,
1617391500000,2.7034,2.7117,2.7117,2.7034,16.87687487,
