time,open,close,high,low,volume,Unnamed: 0
1647530580000,6.95,6.95,6.95,6.95,0.001,
1648419960000,6.77,6.77,6.77,6.77,0.0987,
1648420200000,6.77,6.7501,6.77,6.7501,0.0452,
1648424820000,6.7501,6.75,6.7501,6.75,0.0485,
1648424940000,6.7501,6.75,6.7501,6.75,0.0492,
1648425000000,6.75,6.75,6.75,6.75,0.0326,
1648427700000,6.7,6.7,6.7,6.7,0.031,
1656256140000,6.9,6.3,6.9,6.3,0.07,
1656256200000,7.1999,7.1999,7.1999,7.1999,0.07,
1656680460000,7.1999,7.1999,7.1999,7.1999,0.01,
1656712020000,7.1999,7.1999,7.1999,7.1999,0.01,
1657921380000,7.0001,7.0001,7.0001,7.0001,0.01,
1669347180000,8.4,8.4,8.4,8.4,0.00117504,
