time,open,close,high,low,volume,Unnamed: 0
1646142480000,320000,320000,320000,320000,0.05,
1647527880000,290000,290000,290000,290000,0.01,
1647530220000,290000,290000,290000,290000,0.001,
1648419960000,314910,314910,314910,314910,0.0987,
1648420200000,314990,314990,314990,314990,0.0452,
1648424820000,314990,314990,314990,314990,0.0485,
1648424940000,314990,314990,314990,314990,0.0492,
1648425000000,314990,314990,314990,314990,0.0326,
1648427700000,314990,314990,314990,314990,0.031,
1648743960000,310000,310000,310000,310000,1.0,
1648744080000,310000,310000,310000,310000,13.0,
1648744140000,310000,310000,310000,310000,2.232732,
1649336940000,315000,315000,315000,315000,0.3176,
1651669080000,309190,309190,309190,309190,1.0,
1651669140000,309190,309190,309190,309190,2.0,
1651669200000,309190,309190,309190,309190,2.0,
1651669260000,309190,309190,309190,309190,2.0,
1651669320000,309190,309190,309190,309190,0.693129,
1656240900000,160010,160010,160010,160010,0.01,
1656240960000,160010,160000,160010,160000,0.2,
1656241080000,160010,160000,160010,160000,0.3399999999999999,
1656246120000,160010,150000,160010,150000,0.24,
1656246360000,160010,160010,160010,160010,0.01,
1656246420000,161000,161000,161000,161000,0.003,
1656246480000,161010,161010,161010,161010,0.003,
1656246780000,160010,160010,160010,160010,0.0005,
1656247740000,162310,162310,162310,162310,0.0003,
1656528120000,150010,150000,150010,150000,0.0499999999999999,
1656528180000,150000,150000,150010,150000,0.4,
1656528240000,150010,150000,150010,150000,0.3062,
1657906440000,144980,144980,144980,144980,0.01,
1660111380000,157990,157990,157990,157990,0.01,
1686558600000,200000,200000,200000,200000,0.01,
1686558780000,199000,199000,199000,199000,0.01,
1688491560000,202000,202000,202000,202000,0.01,
1688493480000,203000,203000,203000,203000,0.01,
