time,open,close,high,low,volume
1682785380000,0.21848,0.21848,0.21848,0.21848,12.388
1682814480000,0.21705,0.21705,0.21705,0.21705,40.70925
1682889060000,0.19502,0.19502,0.19502,0.19502,7.164828
1682914320000,0.19501,0.195,0.19501,0.195,698.8607999999999
1682917020000,0.20897,0.20897,0.20897,0.20897,271.82909572
1682917680000,0.21305,0.21305,0.21305,0.21305,350.0
1682917800000,0.21197,0.21221,0.21221,0.21197,554.0
1682917860000,0.21343,0.21343,0.21343,0.21343,144.0
1682918340000,0.21432,0.21436,0.21436,0.21405,773.0
1682923380000,0.21578,0.21578,0.21578,0.21578,12.07517319
1682932200000,0.21204,0.21204,0.21204,0.21204,617.0
1682935560000,0.21148,0.21148,0.21148,0.21148,1158.0
1683000960000,0.2118,0.2118,0.2118,0.2118,497.0
1683039180000,0.21094,0.21094,0.21094,0.21094,2010.584339
1683068460000,0.20899,0.20899,0.20899,0.20899,1685.0
1683086640000,0.20643,0.20643,0.20643,0.20643,87.0
1683089340000,0.20664,0.20664,0.20664,0.20664,8.32350923
1683180120000,0.20489,0.20369,0.20489,0.20369,9.87550251
1683182880000,0.20451,0.20451,0.20451,0.20451,4.57549409
1683203040000,0.20293,0.20293,0.20293,0.20293,240.272198
1683218820000,0.20101,0.19692,0.20101,0.19692,342.34646264
1683219960000,0.20107,0.20107,0.20107,0.20107,6.20278141
1683220620000,0.19975,0.19975,0.19975,0.19975,19.40816288
1683227700000,0.20146,0.20146,0.20146,0.20146,4.57894022
1683234840000,0.19971,0.19971,0.19971,0.19971,40.556144
1683284220000,0.195,0.195,0.195,0.195,150.0
1683288000000,0.195,0.195,0.195,0.195,0.02267289
