time,open,close,high,low,volume,Unnamed: 0
1666264980000,1.0984,1.0984,1.0984,1.0984,0.26226183,0.0
1666270500000,1.0892,1.0892,1.0892,1.0892,0.33224673,1.0
1666273380000,1.086,1.086,1.086,1.086,0.10516079,2.0
1666275840000,1.0918,1.0918,1.0918,1.0918,0.04507714,3.0
1666298760000,1.0884,1.0884,1.0884,1.0884,1.78320831,4.0
1666299780000,1.0837,1.0837,1.0837,1.0837,0.68176388,5.0
1666300860000,1.0901,1.0901,1.0901,1.0901,0.11659773,6.0
1666303380000,1.0916,1.0916,1.0916,1.0916,0.03481551,7.0
1666346580000,1.0678,1.0678,1.0678,1.0678,0.08647505,8.0
1666349160000,1.062,1.062,1.062,1.062,0.54622569,9.0
1666447860000,1.0955,1.0955,1.0955,1.0955,0.5904533,10.0
1666448220000,1.0955,1.0955,1.0955,1.0955,0.36496866,11.0
1666450080000,1.0905,1.0905,1.0905,1.0905,0.14594499,12.0
1666459200000,1.0835,1.0835,1.0835,1.0835,0.35457705,13.0
1666462200000,1.0822,1.0822,1.0822,1.0822,0.04445265,14.0
1666464360000,1.0854,1.0854,1.0854,1.0854,0.15817329,15.0
1666465140000,1.0854,1.0854,1.0854,1.0854,0.37587362,16.0
1666608180000,1.0704,1.0704,1.0704,1.0704,0.5871726,17.0
1666677120000,1.0863,1.0863,1.0863,1.0863,0.02159473,18.0
1666678380000,1.0846,1.0846,1.0846,1.0846,0.05316206,19.0
1666732080000,1.114,1.114,1.114,1.114,2.20164145,20.0
1666733580000,1.1161,1.1161,1.1161,1.1161,0.89431912,21.0
1666759080000,1.1359,1.1359,1.1359,1.1359,0.34983254,22.0
1666761120000,1.1301,1.1301,1.1301,1.1301,1.17642143,23.0
1666855260000,1.2393,1.2371,1.2393,1.2371,6.50203385,24.0
1666857180000,1.2358,1.2358,1.2358,1.2358,0.48600927,25.0
1666860480000,1.2215,1.2215,1.2215,1.2215,0.10128914,26.0
1666861320000,1.2231,1.2231,1.2231,1.2231,0.04114422,27.0
1667064060000,1.2447,1.2447,1.2447,1.2447,0.21832774,28.0
1667064300000,1.2441,1.2441,1.2441,1.2441,0.58661936,29.0
1667162760000,1.3284,1.3284,1.3284,1.3284,1.9093312,30.0
1667169240000,1.2849,1.283,1.2849,1.283,5.1301344,31.0
1667227020000,1.3157,1.3157,1.3157,1.3157,31.01517859,32.0
1667227140000,1.3385,1.3385,1.3385,1.3385,0.17808259,33.0
1667228340000,1.3381,1.3381,1.3381,1.3381,0.47848567,34.0
1667327280000,1.2817,1.2817,1.2817,1.2817,2.99092201,35.0
1667335560000,1.2427,1.2427,1.2427,1.2427,0.38173496,36.0
1667338980000,1.2309,1.2309,1.2309,1.2309,0.05243811,37.0
1667365680000,1.1955,1.1955,1.1955,1.1955,8.52083629,38.0
1667366460000,1.204,1.204,1.204,1.204,0.10339986,39.0
1667368440000,1.2049,1.2049,1.2049,1.2049,0.05268983,40.0
1667375880000,1.1921,1.1921,1.1921,1.1921,0.37514418,41.0
1667441100000,1.1801,1.1739,1.1801,1.1739,77.74050851,42.0
1667441160000,1.1623,1.1617,1.1623,1.1617,9.16,43.0
1667446920000,1.1909,1.1909,1.1909,1.1909,0.17996469,44.0
1667452500000,1.1974,1.1974,1.1974,1.1974,2.00689925,45.0
1667469900000,1.2795,1.3115,1.3115,1.2795,51.62995755,46.0
1667470680000,1.2755,1.2755,1.2755,1.2755,2.3439947,47.0
1667472300000,1.4013,1.4003,1.4013,1.4003,6.29802092,48.0
1667474940000,1.4247,1.4222,1.4247,1.4222,7.19594557,49.0
1667475240000,1.4321,1.4321,1.4321,1.4321,3.7076,50.0
1667475300000,1.4502,1.4502,1.4502,1.4502,29.64709766,51.0
1667476080000,1.4287,1.4287,1.4287,1.4287,1.31356046,52.0
1667477880000,1.4941,1.4941,1.4941,1.4941,3.16706427,53.0
1667497080000,1.4545,1.4545,1.4545,1.4545,0.53466491,54.0
1667506980000,1.4413,1.4413,1.4413,1.4413,1.15145252,55.0
1667509440000,1.4443,1.4443,1.4443,1.4443,0.1867214,56.0
1667514180000,1.4088,1.4088,1.4088,1.4088,0.67377024,57.0
1667521380000,1.4019,1.4019,1.4019,1.4019,0.86556037,58.0
1667535000000,1.4399,1.4399,1.4399,1.4399,0.42796289,59.0
1667539860000,1.4872,1.4872,1.4872,1.4872,0.72534888,60.0
1667541120000,1.4742,1.4742,1.4742,1.4742,1.32385396,61.0
1667547600000,1.4789,1.4789,1.4789,1.4789,0.05493635,62.0
1667554380000,1.4959,1.4959,1.4959,1.4959,0.26776717,63.0
1667556720000,1.5409,1.5409,1.5409,1.5409,0.11349044,64.0
1667557440000,1.5275,1.5275,1.5275,1.5275,0.30493463,65.0
1667643660000,1.6315,1.6315,1.6315,1.6315,2.06734643,66.0
1667643840000,1.6292,1.6001,1.6292,1.6001,5.554701570000001,67.0
1667650440000,1.6247,1.6247,1.6247,1.6247,1.11323156,68.0
1667651940000,1.6155,1.6155,1.6155,1.6155,2.34257489,69.0
1667670780000,1.5539,1.5539,1.5539,1.5539,11.60546047,70.0
1667673780000,1.5355,1.5355,1.5355,1.5355,11.60546047,71.0
1667682360000,1.5433,1.5433,1.5433,1.5433,0.07613879,72.0
