time,open,close,high,low,volume,Unnamed: 0
1628623080000,1.0547,1.0547,1.0547,1.0547,0.00129052,
1628623200000,1.0553,1.0553,1.0553,1.0553,0.29317093,
1628623440000,1.0569,1.0569,1.0569,1.0569,0.01981088,
1628623560000,1.0583,1.0583,1.0583,1.0583,0.05271904,
1628624160000,1.0693,1.0677,1.0693,1.0677,0.00217801,
1628624700000,1.0658,1.0658,1.0658,1.0658,0.0011576,
1628624760000,1.0667,1.0667,1.0667,1.0667,0.48265614,
1628624940000,1.0569,1.0569,1.0569,1.0569,177.67936013,
1628625000000,1.0522,1.052,1.0522,1.052,168.76604195,
1628625540000,1.0454,1.0454,1.0454,1.0454,0.00117009,
1628625720000,1.0542,1.0547,1.0547,1.0542,66.37824713,
1628625900000,1.0671,1.0671,1.0671,1.0671,0.30997656,
1628626500000,1.084,1.084,1.084,1.084,0.00112033,
1628626560000,1.083,1.083,1.083,1.083,0.53692008,
1628626620000,1.0736,1.0736,1.0736,1.0736,3.977157,
1628626740000,1.0754,1.0754,1.0754,1.0754,2.33703965,
1628627280000,1.0612,1.0612,1.0612,1.0612,0.00105734,
1628627340000,1.0602,1.0602,1.0602,1.0602,66.01842834,
1628627400000,1.0572,1.0572,1.0572,1.0572,3.8538512,
1628627520000,1.0557,1.0557,1.0557,1.0557,0.77372297,
1628627580000,1.0565,1.0565,1.0565,1.0565,0.04939135,
1628627640000,1.0543,1.0543,1.0543,1.0543,0.18116762,
1628627760000,1.0547,1.0547,1.0547,1.0547,0.57095011,
1628627820000,1.0532,1.0532,1.0532,1.0532,0.01321978,
1628627940000,1.055,1.055,1.055,1.055,0.28636953,
1628628060000,1.0542,1.0542,1.0542,1.0542,0.00990826,
1628628180000,1.0551,1.054,1.0551,1.054,0.21123463,
1628628360000,1.0554,1.0554,1.0554,1.0554,0.05203261,
1628628480000,1.0543,1.0543,1.0543,1.0543,0.0462517,
1628628600000,1.0553,1.0553,1.0553,1.0553,0.03633028,
1628629140000,1.0713,1.0713,1.0713,1.0713,0.00116422,
1628629740000,1.0778,1.0783,1.0783,1.0778,1.6285807,
1628629860000,1.0818,1.0818,1.0818,1.0818,0.12436593,
1628630400000,1.0759,1.0759,1.0759,1.0759,0.00126227,
1628630520000,1.0768,1.0768,1.0768,1.0768,1.62309446,
1628631060000,1.0813,1.0813,1.0813,1.0813,0.00108657,
1628631660000,1.0966,1.0966,1.0966,1.0966,0.00116839,
1628632260000,1.0959,1.0961,1.0961,1.0959,0.00234614,
1628632320000,1.0966,1.0966,1.0966,1.0966,0.12024881,
1628632740000,1.1067,1.1067,1.1067,1.1067,0.38540465,
1628632800000,1.0906,1.0906,1.0906,1.0906,181.54198792,
1628632860000,1.0881,1.0881,1.0881,1.0881,1.45026278,
1628632980000,1.0862,1.0862,1.0862,1.0862,0.60899664,
1628633100000,1.0863,1.0863,1.0863,1.0863,0.46471231,
1628633280000,1.0906,1.0906,1.0906,1.0906,178.53593544,
1628633880000,1.0746,1.0749,1.0749,1.0746,4.4429663900000005,
1628634420000,1.0724,1.0724,1.0724,1.0724,0.00121361,
1628634480000,1.0731,1.0731,1.0731,1.0731,10.91779148,
1628634540000,1.0762,1.0762,1.0762,1.0762,0.45110063,
