time,open,close,high,low,volume,Unnamed: 0
1628623080000,1.0537,1.0537,1.0537,1.0537,2.3060714,
1628623200000,1.0557,1.0557,1.0557,1.0557,0.15583161,
1628623440000,1.0573,1.0573,1.0573,1.0573,0.41468596,
1628623620000,1.0585,1.0585,1.0585,1.0585,0.36182163,
1628623680000,1.0593,1.0593,1.0593,1.0593,0.04599839,
1628623980000,1.0627,1.0629,1.0629,1.0627,33.08815473,
1628624220000,1.0678,1.0675,1.0678,1.0675,2.71052255,
1628624760000,1.0645,1.0645,1.0645,1.0645,0.00117013,
1628624880000,1.0643,1.0618,1.0643,1.0618,0.26110845,
1628624940000,1.0608,1.061,1.061,1.0608,190.95668773,
1628625000000,1.0543,1.0524,1.0543,1.0524,205.34934319,
1628625120000,1.0484,1.0463,1.0484,1.0463,0.21418913,
1628625600000,1.0454,1.0454,1.0454,1.0454,0.22054796,
1628625660000,1.0464,1.0464,1.0464,1.0464,1.73482187,
1628625720000,1.0529,1.0529,1.0529,1.0529,33.23762266,
1628625780000,1.0652,1.0652,1.0652,1.0652,2.43826382,
1628625960000,1.0725,1.0725,1.0725,1.0725,3.18490737,
1628626020000,1.0778,1.0778,1.0778,1.0778,0.40489738,
1628626260000,1.0859,1.0859,1.0859,1.0859,217.85125,
1628626680000,1.0712,1.0729,1.0729,1.0712,213.78020191,
1628626800000,1.0727,1.0727,1.0727,1.0727,0.05729508,
1628626920000,1.0731,1.0731,1.0731,1.0731,0.4506809,
1628627220000,1.0662,1.0662,1.0662,1.0662,374.67701,
1628627340000,1.0628,1.0623,1.0628,1.0623,65.9689145,
1628627460000,1.0552,1.0552,1.0552,1.0552,0.58830366,
1628627700000,1.0541,1.0541,1.0541,1.0541,0.0462254,
1628628060000,1.0538,1.0538,1.0538,1.0538,0.46829377,
1628628300000,1.0549,1.0549,1.0549,1.0549,0.03635096,
1628628480000,1.0546,1.0546,1.0546,1.0546,0.3638141,
1628628720000,1.0551,1.0551,1.0551,1.0551,0.25981789,
1628628840000,1.0664,1.0664,1.0664,1.0664,0.03303066,
1628629200000,1.0727,1.0734,1.0734,1.0727,4.61122325,
1628629740000,1.0783,1.0791,1.0791,1.0783,220.20688138,
1628629860000,1.0826,1.0826,1.0826,1.0826,0.01581065,
1628629980000,1.0837,1.0817,1.0837,1.0817,0.97760782,
1628630520000,1.0757,1.0757,1.0757,1.0757,0.00109996,
1628630640000,1.0755,1.0755,1.0755,1.0755,0.22456638,
1628631180000,1.0828,1.0849,1.0849,1.0828,1.25925729,
1628631360000,1.0937,1.0937,1.0937,1.0937,500.0,
1628631660000,1.0953,1.0953,1.0953,1.0953,0.47419212,
1628631780000,1.0986,1.0986,1.0986,1.0986,3.72997717,
1628631900000,1.0967,1.0967,1.0967,1.0967,176.42041314,
1628632440000,1.1008,1.1008,1.1008,1.1008,0.12024881,
1628632800000,1.0915,1.0915,1.0915,1.0915,216.68133,
1628632860000,1.0881,1.0881,1.0881,1.0881,0.26179372,
1628633100000,1.086,1.086,1.086,1.086,0.05596432,
1628633220000,1.0797,1.0797,1.0797,1.0797,0.02449907,
1628633280000,1.0898,1.0898,1.0898,1.0898,196.32284,
1628633340000,1.0732,1.0691,1.0732,1.0691,198.47865596,
1628633940000,1.077,1.0772,1.0772,1.077,0.0022816,
1628634000000,1.077,1.077,1.077,1.077,0.0782594799999999,
1628634540000,1.0704,1.0704,1.0704,1.0704,0.04129901,
1628634660000,1.0715,1.0715,1.0715,1.0715,0.77595707,
1628634780000,1.0624,1.0624,1.0624,1.0624,0.36235477,
1628634900000,1.0618,1.0618,1.0618,1.0618,0.10401516,
1628635320000,1.0623,1.0623,1.0623,1.0623,0.00651931,
1628635560000,1.0606,1.0606,1.0606,1.0606,0.160494,
1628635800000,1.0534,1.0534,1.0534,1.0534,0.77871662,
1628635920000,1.0502,1.0502,1.0502,1.0502,0.0962356,
1628636220000,1.0494,1.0494,1.0494,1.0494,0.06000005,
1628636400000,1.0491,1.0481,1.0491,1.0481,33.608783880000004,
1628636460000,1.0499,1.0499,1.0499,1.0499,0.01335113,
1628637000000,1.0508,1.0508,1.0508,1.0508,0.60351557,
1628637120000,1.0504,1.0504,1.0504,1.0504,0.07657193,
1628637660000,1.0452,1.0452,1.0452,1.0452,0.2981752,
1628637780000,1.0448,1.0448,1.0448,1.0448,0.55701837,
1628637900000,1.0448,1.0448,1.0448,1.0448,0.00673191,
1628638260000,1.035,1.035,1.035,1.035,0.30574389,
1628638320000,1.0344,1.0344,1.0344,1.0344,0.32382463,
1628638740000,1.0354,1.0354,1.0354,1.0354,0.10777484,
1628638980000,1.0345,1.0345,1.0345,1.0345,0.10792066,
1628639580000,1.0364,1.0355,1.0364,1.0355,0.00224845,
1628639640000,1.034,1.0323,1.034,1.0323,0.84935105,
1628640120000,1.0244,1.0244,1.0244,1.0244,0.00102202,
1628640180000,1.0258,1.0258,1.0258,1.0258,0.00115734,
1628640240000,1.0258,1.0258,1.0258,1.0258,0.46671341,
1628640420000,1.0244,1.0244,1.0244,1.0244,0.35772341,
1628640540000,1.0269,1.0269,1.0269,1.0269,0.04547739,
1628640720000,1.0339,1.0339,1.0339,1.0339,21.07834955,
1628640900000,1.0376,1.0376,1.0376,1.0376,0.39049988,
1628640960000,1.0379,1.0379,1.0379,1.0379,3.07165718,
1628641140000,1.0489,1.0489,1.0489,1.0489,185.05659,
1628641440000,1.055,1.055,1.055,1.055,5.2755581,
1628641740000,1.0537,1.0537,1.0537,1.0537,0.41421517,
1628641980000,1.0558,1.0558,1.0558,1.0558,198.09457,
1628642040000,1.0577,1.0577,1.0577,1.0577,0.01320475,
1628642340000,1.0586,1.0586,1.0586,1.0586,0.19049408,
1628642460000,1.0562,1.0562,1.0562,1.0562,2.20159407,
1628642580000,1.058,1.058,1.058,1.058,1.72667345,
1628642760000,1.0437,1.0437,1.0437,1.0437,113.35212314,
1628642820000,1.0437,1.0437,1.0437,1.0437,0.08702675,
1628643000000,1.0521,1.0528,1.0528,1.0521,33.38162731,
1628643120000,1.0565,1.0565,1.0565,1.0565,183.88394,
1628643180000,1.056,1.0565,1.0565,1.056,57.41177916,
1628643240000,1.0543,1.0543,1.0543,1.0543,0.25213456,
1628643720000,1.0541,1.0541,1.0541,1.0541,0.00101657,
1628644260000,1.0469,1.0432,1.0469,1.0432,0.11154261,
1628644320000,1.0413,1.0413,1.0413,1.0413,0.00112077,
1628644560000,1.0418,1.0418,1.0418,1.0418,0.17177962,
1628644680000,1.041,1.041,1.041,1.041,0.00676813,
1628644800000,1.0403,1.0403,1.0403,1.0403,0.05399454,
1628645280000,1.0406,1.0406,1.0406,1.0406,0.24341908,
1628645400000,1.0434,1.0434,1.0434,1.0434,0.03051219,
1628645940000,1.0438,1.0437,1.0438,1.0437,0.72817435,
1628646540000,1.0423,1.0423,1.0423,1.0423,0.00120936,
1628646600000,1.0429,1.0429,1.0429,1.0429,0.2426261,
1628647140000,1.0416,1.0416,1.0416,1.0416,0.00123835,
1628647200000,1.0425,1.0425,1.0425,1.0425,0.00117877,
1628647260000,1.0427,1.0427,1.0427,1.0427,0.05410352,
1628647380000,1.0419,1.0419,1.0419,1.0419,0.02707252,
1628647500000,1.0431,1.0431,1.0431,1.0431,0.21597818,
1628647980000,1.0535,1.0535,1.0535,1.0535,0.00108989,
1628648040000,1.0498,1.0507,1.0507,1.0498,355.4995342,
1628648160000,1.0527,1.0467,1.0527,1.0467,180.77082458,
1628648400000,1.0432,1.0432,1.0432,1.0432,0.04023725,
1628649000000,1.0446,1.0446,1.0446,1.0446,0.0012982,
1628649480000,1.0446,1.0446,1.0446,1.0446,0.00106199,
1628649960000,1.0443,1.0443,1.0443,1.0443,0.01010269,
1628650020000,1.0441,1.0441,1.0441,1.0441,0.08059689,
1628650140000,1.0619,1.0619,1.0619,1.0619,186.27179,
1628650320000,1.06,1.0605,1.0605,1.06,66.33245273,
1628650500000,1.0777,1.0878,1.0878,1.0777,240.42591111,
1628650560000,1.1075,1.1464,1.1464,1.1075,2081.75721328,
