time,open,close,high,low,volume
1685776320000,0.17762,0.17762,0.17762,0.17762,10.20899323
1685776680000,0.17866,0.17762,0.17866,0.17762,19.18252645
1685777580000,0.17762,0.17762,0.17762,0.17762,53.85137727
1685777820000,0.17762,0.17762,0.17762,0.17762,31.64975786
1685777940000,0.17762,0.1776,0.17762,0.1776,191.37663947
1685778000000,0.1776,0.17755,0.1776,0.17755,112.19257798
1685778060000,0.17755,0.17755,0.17755,0.17755,58.37490983
1685779200000,0.1766,0.1766,0.1766,0.1766,10.0780913
1685780220000,0.1782,0.1782,0.1782,0.1782,11.52095652
1685781240000,0.1782,0.1782,0.1782,0.1782,8.34882751
1685782020000,0.17669,0.17669,0.17669,0.17669,6.55511657
1685783040000,0.1765,0.1765,0.1765,0.1765,10.74556229
1685783100000,0.17777,0.17777,0.17777,0.17777,6.5590354
1685783820000,0.1765,0.1765,0.1765,0.1765,11.35335224
1685784900000,0.1765,0.1765,0.1765,0.1765,6.36581314
1685784960000,0.17777,0.17777,0.17777,0.17777,10.59142422
1685785260000,0.17777,0.17777,0.17777,0.17777,6.35420787
1685786400000,0.17849,0.17849,0.17849,0.17849,8.95371261
1685786700000,0.17674,0.17674,0.17674,0.17674,6.46905406
1685787720000,0.17652,0.17652,0.17652,0.17652,11.83238045
1685787840000,0.1784,0.1784,0.1784,0.1784,9.02558655
1685788860000,0.17652,0.17651,0.17652,0.17651,10.36819672
1685788920000,0.17832,0.17832,0.17832,0.17832,11.44528182
1685789700000,0.17652,0.17652,0.17652,0.17652,9.71941545
1685790120000,0.17652,0.1765,0.17652,0.1765,285.33498403000004
1685791500000,0.1765,0.1765,0.1765,0.1765,7.89559556
1685791800000,0.17762,0.17762,0.17762,0.17762,8.40837772
1685792700000,0.1765,0.1765,0.1765,0.1765,7.75540319
1685793900000,0.1765,0.1765,0.1765,0.1765,11.59158999
1685794740000,0.1765,0.1765,0.1765,0.1765,9.18765537
1685795880000,0.1765,0.1765,0.1765,0.1765,11.93321257
1685796660000,0.17651,0.17651,0.17651,0.17651,11.82113502
1685797740000,0.17792,0.17792,0.17792,0.17792,11.65803871
1685798520000,0.17792,0.17792,0.17792,0.17792,9.1666997
1685798760000,0.17651,0.17651,0.17651,0.17651,9.72937638
1685799600000,0.17658,0.17658,0.17658,0.17658,10.02462403
1685799840000,0.17844,0.17844,0.17844,0.17844,7.25673564
1685800680000,0.17652,0.1765,0.17652,0.1765,9.71600849
1685801760000,0.1765,0.1765,0.1765,0.1765,10.51098267
1685802000000,0.1765,0.1765,0.1765,0.1765,37.72919409
1685802060000,0.1765,0.1765,0.1765,0.1765,12.0
1685802120000,0.1765,0.1765,0.1765,0.1765,1.9506665
1685803080000,0.17543,0.17543,0.17543,0.17543,8.90460931
1685804040000,0.17554,0.17554,0.17554,0.17554,7.4820259
1685804220000,0.17746,0.17746,0.17746,0.17746,6.33775209
1685805120000,0.17556,0.17556,0.17556,0.17556,8.72383478
1685805180000,0.17755,0.17755,0.17755,0.17755,6.08760396
1685806260000,0.17538,0.17538,0.17538,0.17538,10.07385346
1685809020000,0.17465,0.17465,0.17465,0.17465,7.23884863
1685810340000,0.17467,0.17467,0.17467,0.17467,10.73643962
1685810640000,0.17658,0.17658,0.17658,0.17658,7.62756563
1685811600000,0.1749,0.1749,0.1749,0.1749,11.56949467
1685811900000,0.17659,0.17659,0.17659,0.17659,8.41268592
1685812860000,0.17501,0.17501,0.17501,0.17501,10.42323385
1685813400000,0.1766,0.1766,0.1766,0.1766,6.72166503
1685814420000,0.1766,0.1766,0.1766,0.1766,10.87558589
1685815200000,0.17526,0.17526,0.17526,0.17526,9.23468696
1685816340000,0.17729,0.17729,0.17729,0.17729,8.01145324
1685817540000,0.17798,0.17798,0.17798,0.17798,11.47890624
1685818380000,0.17798,0.17798,0.17798,0.17798,8.76846215
1685818800000,0.17585,0.17585,0.17585,0.17585,8.6463659
1685819580000,0.17632,0.17632,0.17632,0.17632,7.42747522
1685820420000,0.1763,0.1763,0.1763,0.1763,9.63204336
1685820780000,0.17798,0.17798,0.17798,0.17798,8.25956329
1685821620000,0.17798,0.17798,0.17798,0.17798,8.28077008
1685821680000,0.17634,0.17634,0.17634,0.17634,11.5827177
1685822460000,0.17798,0.17798,0.17798,0.17798,8.10946337
1685825220000,0.17663,0.17663,0.17663,0.17663,10.10816463
1685826060000,0.17805,0.17805,0.17805,0.17805,6.59645052
1685826900000,0.17805,0.17805,0.17805,0.17805,9.74324906
1685826960000,0.17655,0.17655,0.17655,0.17655,6.37700451
1685828100000,0.17646,0.17646,0.17646,0.17646,9.65955727
1685828940000,0.17805,0.17805,0.17805,0.17805,7.23117854
1685829180000,0.17644,0.17644,0.17644,0.17644,9.78480838
