time,open,close,high,low,volume
1682762640000,0.19205,0.19205,0.19205,0.19205,6.04628886
1682763660000,0.18987,0.18987,0.18987,0.18987,10.70132034
1682764740000,0.18981,0.18981,0.18981,0.18981,7.99265571
1682766000000,0.18986,0.18986,0.18986,0.18986,7.39825693
1682766420000,0.1884,0.1884,0.1884,0.1884,10.55399102
1682766600000,0.18986,0.18986,0.18986,0.18986,12.56470814
1682767680000,0.18986,0.18986,0.18986,0.18986,9.52688979
1682768160000,0.1884,0.1884,0.1884,0.1884,10.4746343
1682769360000,0.19038,0.19038,0.19038,0.19038,8.19736204
1682769720000,0.18894,0.18894,0.18894,0.18894,10.15663159
1682770680000,0.18936,0.18936,0.18936,0.18936,9.33423221
1682771520000,0.19075,0.19075,0.19075,0.19075,8.89905491
1682771880000,0.18936,0.18936,0.18936,0.18936,8.07609242
1682773020000,0.18936,0.18936,0.18936,0.18936,10.04447714
1682773860000,0.18936,0.18936,0.18936,0.18936,6.34339252
1682774940000,0.19075,0.19075,0.19075,0.19075,6.90034201
1682775840000,0.19073,0.19073,0.19073,0.19073,8.65876461
1682776260000,0.18962,0.18962,0.18962,0.18962,11.64306406
1682777100000,0.19173,0.19173,0.19173,0.19173,11.00885132
1682778180000,0.19173,0.19173,0.19173,0.19173,8.10122534
1682779320000,0.19173,0.19173,0.19173,0.19173,8.85091462
1682779680000,0.19026,0.19026,0.19026,0.19026,6.1096276
1682780520000,0.19173,0.19173,0.19173,0.19173,8.45003469
1682781660000,0.18956,0.18956,0.18956,0.18956,7.47288878
1682782080000,0.1899,0.1899,0.1899,0.1899,7.94840422
1682783340000,0.18965,0.18965,0.18965,0.18965,6.46410978
1682783520000,0.1896,0.1896,0.1896,0.1896,44.75989908
1682784480000,0.1902,0.1902,0.1902,0.1902,9.07809
1682785560000,0.19083,0.19083,0.19083,0.19083,7.20880522
1682786340000,0.19083,0.19083,0.19083,0.19083,7.13978953
