time,open,close,high,low,volume
1685775600000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0015807
1685776680000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0013522
1685777760000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0016226
1685778840000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.001512
1685779200000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.0013715
1685780220000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0012158
1685781240000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0011357
1685782260000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0012936
1685783460000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0016639
1685784240000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0019753
1685785320000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0017273
1685786400000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0019035
1685787540000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.001703
1685788560000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.001832
1685789340000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0012135
1685790360000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0016413
1685791140000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0016024
1685792220000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0017414
1685793480000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,98089094.875045
1685794320000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0016042
1685795460000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0010416
1685796240000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0011292
1685797380000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0013896
1685798520000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0017069
1685799000000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.00318646
1685799960000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0015624
1685801040000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0012964
1685802120000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0010146
1685803260000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0010156
1685804400000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0013951
1685805480000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0017522
1685806560000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0016701
1685807700000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0010674
1685808000000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.0014983
1685808780000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0011363
1685809860000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0019343
1685811120000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0017047
1685811900000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0018461
1685812860000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0018952
1685815200000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.001807
1685816340000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0016952
1685817540000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0015262
1685818380000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0014609
1685819160000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0019433
1685820000000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.001068
1685820780000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0016327
1685821620000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0017613
1685822100000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.0016724
1685823240000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0018991
1685824320000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0012068
1685824680000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.0016241
1685825700000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0013495
1685826600000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0017596
1685827320000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0015288
1685828100000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0014568
1685828940000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0014997
1685829960000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0011153
1685830260000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.0017061
1685831580000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0015443
1685832420000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0012966
1685833260000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.001416
1685834160000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0012269
1685835000000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0014916
1685835480000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.001233
1685836260000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0010536
1685836560000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.001196
1685836620000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.00322789
1685837640000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0010481
1685838000000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.0014028
1685838900000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0010967
1685840100000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0011729
1685841300000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0019881
1685841660000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.001119
1685842920000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0017003
1685843820000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,17160982.26006234
1685844060000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,17160982.2673471
1685845020000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0014621
1685845920000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,4525862.06896548
1685847000000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0016686
1685847900000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0012899
1685849100000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.001871
1685849460000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,17160982.26465231
1685849700000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.0019612
1685850840000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0011274
1685851380000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.0011818
1685852520000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0019745
1685853600000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0014463
1685854440000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0013683
1685855580000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0016054
1685856660000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0015212
1685856960000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.0015739
1685858040000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0019097
1685858460000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.0010576
1685859540000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0015279
1685859780000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,17160982.2673471
1685860560000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0016164
1685860920000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.0010657
1685862180000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0010397
1685863080000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0016368
1685864340000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0014943
1685865600000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0012218
1685866800000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0010096
1685866980000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0023213
1685867520000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,4525862.06896548
1685868600000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0019921
1685868960000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.0016794
1685870100000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0011626
1685870940000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0011721
1685871240000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.0010331
1685872200000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0017338
1685873400000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0017914
1685874420000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0019713
1685874900000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.001719
1685875800000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0018206
1685876580000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0011096
1685877480000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0014469
1685878560000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0018447
1685879580000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0016522
1685880720000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0017378
1685881080000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.001885
1685881920000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0019426
1685882280000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.001599
1685883420000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0017624
1685884620000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0016842
1685885640000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0016475
1685886900000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0016152
1685887320000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.0018493
1685888520000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.001305
1685889060000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,4525862.06896548
1685890140000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0010439
1685891160000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0014561
1685892000000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0014279
1685892780000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0011526
1685893560000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0010472
1685894700000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0016479
1685895600000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,17160982.2593168
1685896680000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0012163
1685897460000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0013126
1685898240000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.00176838
1685899140000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0010861
1685899980000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.001787
1685900820000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0019875
1685902080000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0012304
1685902860000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.00475109
1685903700000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0016457
1685904060000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.0015081
1685905080000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0016465
1685906160000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0017606
1685906640000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.0016499
1685907480000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0018032
1685907900000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.001111
1685908800000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0018021
1685909940000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0015495
1685911140000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0017353
1685912160000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0010487
1685912520000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.0018298
1685912700000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,21686844.34528649
1685913660000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0011485
1685914860000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0016793
1685915760000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0015393
1685915940000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,4525862.06896548
1685916240000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.001126
1685917500000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0018549
1685918340000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0019672
1685919480000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0013776
1685920620000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.001103
1685921760000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0010304
1685922900000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0013531
1685923800000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0016866
1685924160000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.0015138
1685925300000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0018368
1685926080000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.001655
1685927040000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0018226
1685928240000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0016354
1685929440000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0012193
1685930220000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0011884
1685931300000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0011052
1685932620000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0015739
1685932980000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.0014105
1685933820000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0018563
1685934720000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0012782
1685935860000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0010549
1685937000000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0017312
1685937900000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0011135
1685938260000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.001645
1685939100000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0019109
1685940000000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0018448
1685941200000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0013478
1685942280000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.001989
1685943060000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.001613
1685943900000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0012968
1685944680000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0017275
1685945760000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,4525862.06896548
1685946660000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0016846
1685947020000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.0014161
1685947740000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0015538
1685948880000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0012004
1685949240000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.001655
1685950020000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0015309
1685951160000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0019618
1685952420000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0015512
1685953560000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0011799
1685954820000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0016846
1685955600000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0018642
1685956440000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0018398
1685956860000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.0014177
1685957280000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,17160982.2673471
1685958360000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0017004
1685958780000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.0018393
1685958960000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,4525862.06896549
1685959080000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,1077787899.925035
1685959980000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.00151691
1685960340000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.0015788
