time,open,close,high,low,volume
1685776320000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.0017331
1685777100000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.00140224
1685778120000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.00103436
1685779200000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.00140283
1685780220000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.00138758
1685781240000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.00199065
1685782260000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.00155904
1685783460000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.00136116
1685784300000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.00108817
1685785140000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.00141605
1685785980000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.00106071
1685787000000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.00199099
1685788080000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.00197629
1685789100000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.00178033
1685790180000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.00123683
1685791440000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.00172722
1685792760000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.00184298
1685793060000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,101785713.8926454
1685795520000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00180379
1685797380000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.00185973
1685798760000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00138273
1685800560000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00199442
1685801760000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.00196386
1685803440000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00109483
1685806440000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00130395
1685808240000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00168251
1685810340000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00196554
1685811600000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00197813
1685812860000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00176004
1685815200000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00154149
1685816700000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00158598
1685817960000,2.8e-07,2.7e-07,2.8e-07,2.7e-07,0.00158596
1685819160000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00192463
1685820060000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,626317020.4113041
1685820240000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,107161554.523015
1685822100000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00155487
1685823660000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.0017162
1685824800000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,749444428.915872
1685825160000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,17160982.26894587
1685826060000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.0010319
1685826900000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,0.00187955
1685827320000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00108089
1685827440000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,760647350.3364275
1685827860000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,425172957.169317
1685829540000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00127467
1685830140000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,689976025.344444
1685831100000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00180208
1685831460000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,4525862.07312315
1685832780000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00160445
1685835480000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00149215
1685836320000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.0017357
1685837220000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00151694
1685838420000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00164762
1685839200000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00125396
1685840520000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00105768
1685840640000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,781035714.630158
1685842500000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00180857
1685844120000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00150353
1685845440000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,787937256.7809638
1685846280000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00130866
1685846760000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,403000000.0
1685847900000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00138607
1685849460000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,17160982.2673471
1685849520000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,787749083.0031421
1685850060000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,7990074.487301
1685850960000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,787365769.2997633
1685851200000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,458485570.344444
1685852160000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00150297
1685854800000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00101348
1685855580000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,786310376.9411554
1685855760000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,28404369.844444
1685858400000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00101955
1685859900000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00133917
1685860200000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,787797356.7886097
1685860320000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,4525862.06896549
1685860440000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,30594679.273015
1685861340000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,787235858.3128155
1685861580000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,462121284.880158
1685864160000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00107302
1685865600000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00124834
1685865900000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,786423932.0779107
1685866320000,2.8e-07,2.8e-07,2.8e-07,2.8e-07,40862711.0
1685868300000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00122691
1685869680000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00104189
1685871720000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00116268
1685872860000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00192456
1685873340000,2.9e-07,2.9e-07,2.9e-07,2.9e-07,0.00112467
1685874180000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00412917
1685876640000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00181611
1685878260000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00197057
1685880480000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00199981
1685881200000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,21686844.34028297
1685882280000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00170192
1685884860000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00132576
1685886600000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00187231
1685888400000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00319809
1685890440000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00150787
1685891580000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00170547
1685892360000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00181603
1685893920000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00180434
1685895420000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00119663
1685897160000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00136223
1685897940000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00122694
1685898720000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00185955
1685899500000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00143249
1685900460000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00145899
1685903760000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.0019734
1685904480000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00154883
1685905800000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00136742
1685906580000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.00149455
