time,open,close,high,low,volume
1682761920000,4e-07,4e-07,4e-07,4e-07,0.0010065
1682762820000,4e-07,4e-07,4e-07,4e-07,0.0016904
1682763840000,4e-07,4e-07,4e-07,4e-07,0.001729
1682764260000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0019163
1682765280000,4e-07,4e-07,4e-07,4e-07,0.0019966
1682767320000,4e-07,4e-07,4e-07,4e-07,0.0010588
1682768580000,4e-07,4e-07,4e-07,4e-07,0.001919
1682769720000,4e-07,4e-07,4e-07,4e-07,0.0013217
1682770440000,4e-07,4e-07,4e-07,4e-07,0.013339
1682771340000,4e-07,4e-07,4e-07,4e-07,0.0013238
1682771820000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0013727
1682772660000,4e-07,4e-07,4e-07,4e-07,0.0012253
1682773380000,4e-07,4e-07,4e-07,4e-07,0.0013896
1682774220000,4e-07,4e-07,4e-07,4e-07,0.0010763
1682776320000,4e-07,4e-07,4e-07,4e-07,0.0011508
1682777160000,4e-07,4e-07,4e-07,4e-07,0.0019255
1682777520000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0017287
1682778780000,4.1e-07,4.1e-07,4.1e-07,4.1e-07,0.0019096
1682779860000,4e-07,4e-07,4e-07,4e-07,0.001715
1682781000000,4e-07,4e-07,4e-07,4e-07,0.001096
1682781840000,4e-07,4e-07,4e-07,4e-07,0.0017917
1682782140000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0018603
1682782980000,4e-07,4e-07,4e-07,4e-07,0.0010529
1682783340000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0016766
1682784480000,4e-07,4e-07,4e-07,4e-07,0.0017552
1682789280000,4e-07,4e-07,4e-07,4e-07,0.0012516
1682790540000,4e-07,4e-07,4e-07,4e-07,0.0015075
1682791680000,4e-07,4e-07,4e-07,4e-07,0.0013274
1682792520000,4e-07,4e-07,4e-07,4e-07,0.0018713
1682794920000,4e-07,4e-07,4e-07,4e-07,0.0010488
1682795400000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0015226
1682796240000,4e-07,4e-07,4e-07,4e-07,0.0018494
1682798760000,4e-07,4e-07,4e-07,4e-07,0.0012526
1682799900000,4e-07,4e-07,4e-07,4e-07,0.0016818
1682800680000,4e-07,4e-07,4e-07,4e-07,0.001806
1682801820000,4e-07,4e-07,4e-07,4e-07,0.0016919
1682802600000,4e-07,4e-07,4e-07,4e-07,0.001411
1682803020000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0010699
1682803920000,4e-07,4e-07,4e-07,4e-07,0.001177
1682804760000,4e-07,4e-07,4e-07,4e-07,0.001863
1682805240000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.00197
1682806140000,4e-07,4e-07,4e-07,4e-07,0.0012351
1682806500000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0019893
1682807340000,4e-07,4e-07,4e-07,4e-07,0.0016177
1682807760000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0010142
1682808600000,4e-07,4e-07,4e-07,4e-07,0.0018851
1682809080000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0017534
1682809860000,4e-07,4e-07,4e-07,4e-07,8991667.12390918
1682810640000,4e-07,4e-07,4e-07,4e-07,0.0013504
1682811000000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0013231
1682812080000,4e-07,4e-07,4e-07,4e-07,0.00122462
1682813160000,4e-07,4e-07,4e-07,4e-07,0.0014488
1682814300000,4e-07,4e-07,4e-07,4e-07,0.0014831
1682815440000,4e-07,4e-07,4e-07,4e-07,0.0011873
1682815800000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0019167
1682816880000,4e-07,4e-07,4e-07,4e-07,0.0018696
1682817720000,4e-07,4e-07,4e-07,4e-07,0.0018012
1682818080000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0011525
1682818140000,4e-07,4e-07,4e-07,4e-07,8991667.12390918
1682819160000,4e-07,4e-07,4e-07,4e-07,0.0012603
1682819520000,3.9e-07,3.8e-07,3.9e-07,3.8e-07,2355769.23076922
1682820420000,4e-07,4e-07,4e-07,4e-07,0.0013884
1682821140000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,8991667.12390918
1682821980000,4e-07,4e-07,4e-07,4e-07,0.0011708
1682823000000,4e-07,4e-07,4e-07,4e-07,0.0013124
1682824080000,4e-07,4e-07,4e-07,4e-07,0.0017207
1682825160000,4e-07,4e-07,4e-07,4e-07,0.0013697
1682826240000,4e-07,4e-07,4e-07,4e-07,0.0017631
1682826600000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0014508
1682827440000,4e-07,4e-07,4e-07,4e-07,0.0014875
1682827800000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0018089
1682828700000,4e-07,4e-07,4e-07,4e-07,0.0015801
1682829000000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0013466
1682829780000,4e-07,4e-07,4e-07,4e-07,0.0012541
1682830860000,4e-07,4e-07,4e-07,4e-07,0.0017831
1682831400000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0019281
1682832600000,4e-07,4e-07,4e-07,4e-07,0.0014625
1682833500000,4e-07,4e-07,4e-07,4e-07,0.0017885
1682833920000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0018294
1682835120000,4e-07,4e-07,4e-07,4e-07,0.0014939
1682836200000,4e-07,4e-07,4e-07,4e-07,0.0015875
1682837340000,4e-07,4e-07,4e-07,4e-07,0.0018392
1682838240000,4e-07,4e-07,4e-07,4e-07,0.0017865
1682839140000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0010168
1682839560000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0015766
1682840460000,4e-07,4e-07,4e-07,4e-07,0.0011578
1682841540000,4e-07,4e-07,4e-07,4e-07,0.0012736
1682842620000,4e-07,4e-07,4e-07,4e-07,0.0018112
1682843760000,4e-07,4e-07,4e-07,4e-07,0.0017158
1682844960000,4e-07,4e-07,4e-07,4e-07,0.001167
1682846100000,4e-07,4e-07,4e-07,4e-07,0.0016703
1682846460000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.001405
1682847660000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0016924
1682848800000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0014057
1682849940000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0013486
1682850360000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0015199
1682851140000,4e-07,4e-07,4e-07,4e-07,4835526.31578949
1682852160000,4e-07,4e-07,4e-07,4e-07,0.001303
1682852520000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0017274
1682853720000,4e-07,4e-07,4e-07,4e-07,0.0013839
1682854560000,4e-07,4e-07,4e-07,4e-07,0.0011722
1682854980000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0015549
1682855880000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0016512
1682856660000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0013701
1682857560000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.00109906
1682858340000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0017941
1682858760000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0010589
1682859660000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,18456579.88591886
1682860800000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0019403
1682861880000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0016064
1682862960000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0011096
1682863320000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0010666
1682864460000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0018345
1682865600000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.001492
1682866380000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0014037
1682867520000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0012961
1682869020000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0012233
1682870220000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0014531
1682871780000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0010664
1682872200000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0014245
1682872800000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,2479757.08502027
1682874780000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0014426
1682875260000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.001921
1682876400000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0011746
1682876820000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.001424
1682877960000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0010927
1682878740000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0018143
1682879100000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.001412
1682880060000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0015636
1682880420000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0018212
1682881260000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0010365
1682882580000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0010348
1682882940000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0017071
1682884020000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0011572
1682885100000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.001143
1682886180000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.001516
1682887140000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0012887
1682887620000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0010927
1682888460000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0019114
1682889540000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0019036
1682890440000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0019826
1682891640000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0012285
1682892480000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0011767
1682892900000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0016716
1682893860000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0013928
1682895120000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.001685
1682896320000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0013957
1682897160000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0013746
1682897580000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0019759
1682898720000,4e-07,4e-07,4e-07,4e-07,0.0015247
1682899140000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0019874
1682900100000,4e-07,4e-07,4e-07,4e-07,0.001587
1682901000000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0010618
1682901840000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0019981
1682903460000,3.9e-07,3.8e-07,3.9e-07,3.8e-07,1000000.0011559
1682904300000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0018932
1682905200000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0015449
1682906040000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,1000000.0
1682907120000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0013339
1682907600000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0017837
1682908380000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0012647
1682908680000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0012995
1682909880000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0019366
1682910300000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0018963
1682911140000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0013903
1682912040000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0010988
1682913120000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0016681
1682914080000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0017526
1682914500000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.0014342
1682915340000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.0017723
1682916600000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0018519
1682917020000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.0019861
1682918340000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0013421
1682918820000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.0016453
1682920080000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0010521
1682921100000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0019218
1682922300000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0015688
1682922720000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.0017195
1682923260000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,5093555.09355511
1682923380000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,9464912.76200968
1682924520000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0013315
1682925360000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0014756
1682925720000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.0014931
1682926980000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0015883
1682927760000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0016279
1682928120000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.0017776
1682929260000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0016837
1682929620000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.00151052
1682930580000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,9976529.66806424
1682931540000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0018634
1682932620000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0017436
1682933820000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.001252
1682934660000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.00142129
1682935080000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.00145118
1682936280000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.00160523
1682937420000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.0015689
1682938560000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.00158404
1682939640000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.00113315
1682940000000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.00191131
1682941200000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.0012374
1682942040000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.00183545
1682944140000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.00130873
1682944860000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,2613798.00853482
1682945760000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.00138761
1682946960000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.00122033
1682947260000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,0.00182588
1682948220000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.00149225
1682948460000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,12590327.67842507
1682948520000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,2382301.37207583
1682948700000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,3573452.05811377
1682949840000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.0012925
1682950260000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0015759
1682951160000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.0012121
1682952000000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.0014126
1682952960000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.0019003
1682953800000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.0012995
1682955000000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.001452
1682955900000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0014581
1682956260000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.0012201
1682956500000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,2613798.00853483
1682957460000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.001151
1682958540000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.0017349
1682959380000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.0010216
1682960580000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.0016957
1682960940000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0014693
1682961480000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,10530781.31629002
1682962320000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,7384333.234838
1682963340000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.0015119
1682964180000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.00175014
1682964960000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0017803
1682965020000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,13289790.32529904
1682966100000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0013902
1682966220000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,10530781.31629002
1682967300000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0017922
1682968440000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0019196
1682968800000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,2759009.00900902
1682968980000,3.6e-07,3.5e-07,3.6e-07,3.5e-07,10530781.31629002
1682969160000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,603838737.130363
1682970060000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,10530781.31629002
1682971020000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.0010013
1682971380000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0018048
1682971800000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,2916666.6666666
1682973060000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0016929
1682974020000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0013041
1682974440000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0011169
1682975580000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0017901
1682976720000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.0019178
1682977320000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,10530781.31437224
1682978340000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0012467
1682979120000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0011948
1682980440000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0010542
1682980860000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0016758
1682981640000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0019504
1682982480000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0015367
1682982840000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,3000000.0
1682982960000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0010849
1682984100000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0014779
1682984520000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,10530781.31629002
1682985720000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0015899
1682986200000,3.5e-07,3.6e-07,3.6e-07,3.5e-07,2916666.6684913
1682987040000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0014621
1682987460000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0013381
1682988660000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0017586
1682989740000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0018662
1682990040000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0015681
1682990820000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0014236
1682992080000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0011084
1682992500000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.001861
1682993760000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0015958
1682994180000,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.001851
1682995020000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.001962
1682995320000,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0010794
1682996580000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0014626
1682997900000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.001534
1682998260000,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.001348
1682999160000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0011168
1682999520000,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0013626
1682999820000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,3088235.29411766
1683000780000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0012356
1683001620000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0012961
1683002460000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0011668
1683002880000,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0014366
1683003720000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0017083
1683004260000,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0012214
1683004980000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0018455
1683005460000,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.001335
1683006300000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0018297
1683007020000,3.4e-07,3.4e-07,3.4e-07,3.4e-07,11787395.557393609
1683008100000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0012265
1683009240000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.001629
1683009600000,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0013695
1683010860000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0011529
1683011700000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0012972
1683012600000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0018939
1683013860000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0019468
1683014280000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0012629
1683015120000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0018535
1683016380000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,19314798.7305207
1683017220000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0013117
1683018480000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0014711
1683019620000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0017866
1683020400000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0014517
1683021000000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,49523100.91698
1683022140000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0010521
1683022980000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.001519
1683023340000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0018821
1683024120000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0015768
1683024540000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0016179
1683025740000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0019979
1683026580000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0012742
1683027420000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0014446
1683027660000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,2916666.66666666
1683028680000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0019499
1683029220000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0015153
1683030000000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0016309
1683030420000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0010336
1683031620000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0010027
1683034080000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0011132
1683036300000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0016548
1683036720000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0013995
1683037740000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.0015085
1683038760000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.00132012
1683039240000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0019439
1683040140000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.0010135
1683041100000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0012764
1683042120000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.001388
1683043080000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.0012467
1683043560000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0011663
1683044160000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,11132540.2486496
1683045300000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.0017838
1683046200000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.0015876
1683047040000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.001804
1683047940000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.0018659
1683049020000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0012783
1683049440000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0014683
1683050760000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0016727
1683051060000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0013799
1683051960000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0019635
1683052560000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0010644
1683053880000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0015939
1683054000000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,10530781.31629002
1683055260000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0012602
1683056400000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.00169972
1683056760000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.00128622
1683057600000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0016792
1683057960000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0014931
1683058860000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0013211
1683059400000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.001697
1683060360000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,0.0017047
1683061200000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0015721
1683062400000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.00156063
1683062820000,3.5e-07,3.5e-07,3.5e-07,3.5e-07,0.0018774
1683064080000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,0.0011177
