time,open,close,high,low,volume
1682761500000,4e-07,4e-07,4e-07,4e-07,0.00195244
1682762760000,4e-07,4e-07,4e-07,4e-07,0.00100147
1682763240000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.00159101
1682764320000,4e-07,4e-07,4e-07,4e-07,0.0010613
1682765160000,4e-07,4e-07,4e-07,4e-07,0.00145494
1682765520000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.00156686
1682766540000,4e-07,4e-07,4e-07,4e-07,0.00154291
1682769840000,4e-07,4e-07,4e-07,4e-07,0.00194105
1682770500000,4e-07,4e-07,4e-07,4e-07,1418806097.0265565
1682772660000,4e-07,4e-07,4e-07,4e-07,0.00186437
1682774280000,4e-07,4e-07,4e-07,4e-07,0.00113157
1682776320000,4e-07,4e-07,4e-07,4e-07,0.0015851
1682777460000,4e-07,4e-07,4e-07,4e-07,0.00114284
1682778540000,4e-07,4e-07,4e-07,4e-07,0.00193314
1682779320000,4e-07,4e-07,4e-07,4e-07,0.00198094
1682780100000,4e-07,4e-07,4e-07,4e-07,0.00114556
1682780880000,4e-07,4e-07,4e-07,4e-07,0.00184507
1682782020000,4e-07,4e-07,4e-07,4e-07,0.00111326
1682783100000,4e-07,4e-07,4e-07,4e-07,0.00191466
1682789220000,4e-07,4e-07,4e-07,4e-07,0.00148364
1682790540000,4e-07,4e-07,4e-07,4e-07,0.00197138
1682791680000,4e-07,4e-07,4e-07,4e-07,0.00129294
1682792880000,4e-07,4e-07,4e-07,4e-07,0.00148777
1682794920000,4e-07,4e-07,4e-07,4e-07,0.00157973
1682795880000,4e-07,4e-07,4e-07,4e-07,0.00182235
1682797500000,4e-07,4e-07,4e-07,4e-07,0.00149744
1682798820000,4e-07,4e-07,4e-07,4e-07,0.00191785
1682799960000,4e-07,4e-07,4e-07,4e-07,0.00138988
1682800740000,4e-07,4e-07,4e-07,4e-07,0.00163899
1682801460000,4e-07,4e-07,4e-07,4e-07,0.00155811
1682802720000,4e-07,4e-07,4e-07,4e-07,0.00185277
1682803200000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.00183531
1682803980000,4e-07,4e-07,4e-07,4e-07,0.0017733
1682804280000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.00100986
1682805180000,4e-07,4e-07,4e-07,4e-07,0.00165285
1682806140000,4e-07,4e-07,4e-07,4e-07,0.00162593
1682806500000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,0.00169488
1682807340000,4e-07,4e-07,4e-07,4e-07,0.00135082
1682808180000,4e-07,4e-07,4e-07,4e-07,0.00156945
1682809200000,4e-07,4e-07,4e-07,4e-07,0.00182967
1682809980000,4e-07,4e-07,4e-07,4e-07,0.00112171
1682810940000,3.8e-07,3.8e-07,3.8e-07,3.8e-07,8991667.12390918
1682811900000,4e-07,4e-07,4e-07,4e-07,0.00125432
1682813100000,4e-07,4e-07,4e-07,4e-07,0.00133341
1682814300000,4e-07,4e-07,4e-07,4e-07,0.00185603
1682814600000,3.9e-07,3.9e-07,3.9e-07,3.9e-07,300000.0
